"id","user_id","seq_id","purchase_date","loyalty_level","observation"
232,3,3,2014-02-01,"h","sm"
293,3,3,2014-04-03,"h","ss"
28,1,1,2014-01-28,"l","ll"
150,2,2,2014-02-19,"l","sl"
129,2,2,2014-01-29,"n","ll"
108,2,2,2014-01-08,"n","ms"
89,1,1,2014-03-30,"l","sm"
7,1,1,2014-01-07,"l","mm"
47,1,1,2014-02-16,"l","ml"
26,1,1,2014-01-26,"l","lm"
211,3,3,2014-01-11,"h","ml"
272,3,3,2014-03-13,"n","sm"
169,2,2,2014-03-10,"l","lm"
291,3,3,2014-04-01,"h","sm"
68,1,1,2014-03-09,"l","ls"
190,2,2,2014-03-31,"n","ll"
209,3,3,2014-01-09,"h","ms"
148,2,2,2014-02-17,"h","ml"
251,3,3,2014-02-20,"h","sm"
230,3,3,2014-01-30,"h","ls"
45,1,1,2014-02-14,"l","ls"
5,1,1,2014-01-05,"l","ml"
87,1,1,2014-03-28,"l","ml"
270,3,3,2014-03-11,"h","ls"
85,1,1,2014-03-26,"n","ms"
188,2,2,2014-03-29,"n","ms"
66,1,1,2014-03-07,"l","ll"
127,2,2,2014-01-27,"n","ls"
146,2,2,2014-02-15,"l","sl"
24,1,1,2014-01-24,"l","mm"
249,3,3,2014-02-18,"n","ml"
167,2,2,2014-03-08,"n","ll"
207,3,3,2014-01-07,"h","ss"
289,3,3,2014-03-30,"h","mm"
106,2,2,2014-01-06,"n","ml"
228,3,3,2014-01-28,"h","sm"
125,2,2,2014-01-25,"n","lm"
3,1,1,2014-01-03,"l","sl"
64,1,1,2014-03-05,"l","ll"
268,3,3,2014-03-09,"h","sl"
247,3,3,2014-02-16,"h","lm"
186,2,2,2014-03-27,"h","lm"
104,2,2,2014-01-04,"n","ml"
165,2,2,2014-03-06,"n","ll"
287,3,3,2014-03-28,"h","mm"
43,1,1,2014-02-12,"l","lm"
226,3,3,2014-01-26,"h","ss"
22,1,1,2014-01-22,"l","lm"
144,2,2,2014-02-13,"l","ls"
1,1,1,2014-01-01,"l","ll"
83,1,1,2014-03-24,"l","ms"
205,3,3,2014-01-05,"h","ll"
184,2,2,2014-03-25,"h","ms"
41,1,1,2014-02-10,"l","ls"
266,3,3,2014-03-07,"h","ms"
62,1,1,2014-03-03,"l","ll"
102,2,2,2014-01-02,"l","ls"
163,2,2,2014-03-04,"n","ms"
123,2,2,2014-01-23,"n","ms"
245,3,3,2014-02-14,"h","mm"
224,3,3,2014-01-24,"h","lm"
20,1,1,2014-01-20,"l","ll"
81,1,1,2014-03-22,"l","ls"
285,3,3,2014-03-26,"l","ls"
264,3,3,2014-03-05,"h","mm"
203,3,3,2014-01-03,"h","ss"
142,2,2,2014-02-11,"h","ss"
182,2,2,2014-03-23,"n","sl"
100,1,1,2014-04-10,"l","ll"
60,1,1,2014-03-01,"l","ll"
121,2,2,2014-01-21,"n","ss"
39,1,1,2014-02-08,"l","ms"
140,2,2,2014-02-09,"h","ss"
18,1,1,2014-01-18,"l","ms"
243,3,3,2014-02-12,"h","ll"
222,3,3,2014-01-22,"h","ms"
201,3,3,2014-01-01,"l","ll"
79,1,1,2014-03-20,"l","ml"
161,2,2,2014-03-02,"n","ml"
283,3,3,2014-03-24,"h","sm"
262,3,3,2014-03-03,"h","ll"
58,1,1,2014-02-27,"l","ll"
119,2,2,2014-01-19,"l","mm"
37,1,1,2014-02-06,"l","ls"
199,2,2,2014-04-09,"n","ls"
180,2,2,2014-03-21,"l","ll"
159,2,2,2014-02-28,"n","mm"
220,3,3,2014-01-20,"h","sm"
117,2,2,2014-01-17,"n","sm"
241,3,3,2014-02-10,"h","sm"
16,1,1,2014-01-16,"l","ml"
77,1,1,2014-03-18,"l","lm"
239,3,3,2014-02-08,"h","ss"
98,1,1,2014-04-08,"l","ll"
281,3,3,2014-03-22,"h","sm"
260,3,3,2014-03-01,"h","ss"
157,2,2,2014-02-26,"n","ll"
56,1,1,2014-02-25,"l","ss"
138,2,2,2014-02-07,"n","ss"
35,1,1,2014-02-04,"h","mm"
14,1,1,2014-01-14,"l","ls"
96,1,1,2014-04-06,"l","lm"
178,2,2,2014-03-19,"n","ms"
300,3,3,2014-04-10,"h","ss"
279,3,3,2014-03-20,"l","lm"
218,3,3,2014-01-18,"h","mm"
136,2,2,2014-02-05,"n","lm"
54,1,1,2014-02-23,"l","ml"
155,2,2,2014-02-24,"l","lm"
75,1,1,2014-03-16,"l","mm"
197,2,2,2014-04-07,"n","mm"
237,3,3,2014-02-06,"h","ml"
216,3,3,2014-01-16,"h","ms"
258,3,3,2014-02-27,"h","sl"
176,2,2,2014-03-17,"n","lm"
94,1,1,2014-04-04,"h","sl"
195,2,2,2014-04-05,"n","ml"
115,2,2,2014-01-15,"n","ls"
33,1,1,2014-02-02,"l","ls"
12,1,1,2014-01-12,"l","ss"
256,3,3,2014-02-25,"h","lm"
73,1,1,2014-03-14,"l","ms"
298,3,3,2014-04-08,"n","mm"
277,3,3,2014-03-18,"h","sm"
31,1,1,2014-01-31,"l","ll"
134,2,2,2014-02-03,"n","ll"
174,2,2,2014-03-15,"n","sm"
52,1,1,2014-02-21,"l","ll"
254,3,3,2014-02-23,"h","ss"
113,2,2,2014-01-13,"n","ml"
153,2,2,2014-02-22,"n","mm"
92,1,1,2014-04-02,"l","lm"
172,2,2,2014-03-13,"n","mm"
235,3,3,2014-02-04,"h","sm"
214,3,3,2014-01-14,"h","ms"
275,3,3,2014-03-16,"h","ls"
29,1,1,2014-01-29,"l","ml"
296,3,3,2014-04-06,"h","ss"
10,1,1,2014-01-10,"l","lm"
132,2,2,2014-02-01,"n","ls"
294,3,3,2014-04-04,"h","mm"
111,2,2,2014-01-11,"n","sm"
71,1,1,2014-03-12,"l","ms"
50,1,1,2014-02-19,"h","ms"
212,3,3,2014-01-12,"h","sm"
90,1,1,2014-03-31,"l","sl"
193,2,2,2014-04-03,"h","ml"
252,3,3,2014-02-21,"h","ss"
69,1,1,2014-03-10,"l","sl"
151,2,2,2014-02-20,"n","ms"
233,3,3,2014-02-02,"h","ss"
109,2,2,2014-01-09,"n","ll"
210,3,3,2014-01-10,"h","ml"
8,1,1,2014-01-08,"l","ms"
191,2,2,2014-04-01,"n","mm"
27,1,1,2014-01-27,"l","lm"
6,1,1,2014-01-06,"l","ll"
273,3,3,2014-03-14,"h","sl"
48,1,1,2014-02-17,"l","ll"
292,3,3,2014-04-02,"h","sm"
271,3,3,2014-03-12,"h","ms"
130,2,2,2014-01-30,"n","ml"
231,3,3,2014-01-31,"h","ml"
149,2,2,2014-02-18,"h","sl"
250,3,3,2014-02-19,"n","ss"
170,2,2,2014-03-11,"n","lm"
88,1,1,2014-03-29,"l","ss"
67,1,1,2014-03-08,"l","ms"
46,1,1,2014-02-15,"l","ml"
128,2,2,2014-01-28,"n","ml"
189,2,2,2014-03-30,"n","ss"
107,2,2,2014-01-07,"n","sm"
86,1,1,2014-03-27,"l","ll"
168,2,2,2014-03-09,"n","sm"
229,3,3,2014-01-29,"h","ls"
147,2,2,2014-02-16,"h","mm"
227,3,3,2014-01-27,"h","ss"
25,1,1,2014-01-25,"l","ls"
208,3,3,2014-01-08,"h","mm"
4,1,1,2014-01-04,"l","lm"
23,1,1,2014-01-23,"l","ll"
290,3,3,2014-03-31,"h","sm"
269,3,3,2014-03-10,"h","ss"
187,2,2,2014-03-28,"n","ml"
84,1,1,2014-03-25,"h","sm"
126,2,2,2014-01-26,"n","sm"
65,1,1,2014-03-06,"l","ll"
44,1,1,2014-02-13,"l","sl"
267,3,3,2014-03-08,"h","ss"
166,2,2,2014-03-07,"n","ms"
248,3,3,2014-02-17,"h","ll"
105,2,2,2014-01-05,"n","ms"
124,2,2,2014-01-24,"n","ss"
288,3,3,2014-03-29,"h","mm"
63,1,1,2014-03-04,"l","ll"
42,1,1,2014-02-11,"l","ml"
21,1,1,2014-01-21,"l","ml"
145,2,2,2014-02-14,"h","sl"
246,3,3,2014-02-15,"h","mm"
164,2,2,2014-03-05,"n","ml"
206,3,3,2014-01-06,"n","ml"
103,2,2,2014-01-03,"n","ml"
82,1,1,2014-03-23,"l","ll"
2,1,1,2014-01-02,"l","ml"
225,3,3,2014-01-25,"h","sl"
204,3,3,2014-01-04,"h","sm"
185,2,2,2014-03-26,"h","sm"
286,3,3,2014-03-27,"h","ss"
143,2,2,2014-02-12,"n","ms"
