"doc_id","category","token","frequency","location"
"5","no_crash","that","1","28"
"17","crash","at","2","12,16"
"5","no_crash","vehicle","1","17"
"17","crash","did","4","5,27,33,39"
"5","no_crash","referred","1","53"
"17","crash","rearended","1","9"
"3","no_crash","3)","1","18"
"17","crash","determine","1","35"
"3","no_crash","leaks;","1","16"
"17","crash","dual","1","3"
"3","no_crash","2)","1","13"
"17","crash","sustained","1","31"
"3","no_crash","head","1","14"
"17","crash","head-on","1","22"
"3","no_crash","out","1","11"
"13","no_crash","owners","1","18"
"3","no_crash","ball","1","8"
"13","no_crash","compartment","1","17"
"3","no_crash","excessively;","1","12"
"13","no_crash","engine","1","16"
"3","no_crash","1)","1","5"
"13","no_crash","side","2","13,29"
"3","no_crash","experienced","1","2"
"13","no_crash","left","1","12"
"3","no_crash","without","1","27"
"13","no_crash","on","1","10"
"3","no_crash","problems;","1","4"
"13","no_crash","fire","2","8,24"
"3","no_crash","following","1","3"
"13","no_crash","hour","1","6"
"3","no_crash","has","1","1"
"13","no_crash","for","1","4"
"3","no_crash","brake","1","31"
"13","no_crash","parked","1","3"
"3","no_crash","consumer","1","0"
"13","no_crash","vehicle","1","1"
"3","no_crash","joints","1","9"
"13","no_crash","while","1","0"
"3","no_crash","gasket","1","15"
"13","no_crash","ea02-025","1","34"
"3","no_crash","both","1","6"
"13","no_crash","started","1","9"
"3","no_crash","wear","1","10"
"13","no_crash","of","1","14"
"3","no_crash","lower","1","7"
"13","no_crash","saw","1","23"
"3","no_crash","cruise","1","19"
"13","no_crash","drivers","1","28"
"3","no_crash","pedal","1","32"
"13","no_crash","son","1","19"
"3","no_crash","on","1","30"
"13","no_crash","referenced","1","32"
"3","no_crash","pressing","1","29"
"13","no_crash","wheel","1","31"
"3","no_crash","foot","1","28"
"13","no_crash","front","1","30"
"3","no_crash","driving","1","26"
"13","no_crash","around","1","27"
"3","no_crash","while","1","25"
"13","no_crash","from","1","26"
"3","no_crash","off","1","24"
"13","no_crash","coming","1","25"
"3","no_crash","itself","1","23"
"13","no_crash","owner","1","22"
"3","no_crash","shut","1","22"
"13","no_crash","smoke","1","21"
"3","no_crash","would","1","21"
"13","no_crash","smelled","1","20"
"3","no_crash","control","1","20"
"11","crash","for","1","29"
"1","crash","not","1","38"
"11","crash","one","1","24"
"1","crash","deploy","1","25"
"11","crash","had","1","19"
"1","crash","folded","1","43"
"11","crash","condition","1","32"
"1","crash","ran","1","15"
"11","crash","idle","1","31"
"1","crash","side","2","21,32"
"11","crash","high","1","30"
"1","crash","injuries","1","45"
"11","crash","incident","1","28"
"1","crash","causing","1","44"
"11","crash","prior","1","26"
"1","crash","still","1","42"
"11","crash","week","1","25"
"1","crash","it","1","40"
"11","crash","approximately","1","23"
"1","crash","inflate","1","39"
"11","crash","shop","1","22"
"1","crash","opened","1","35"
"11","crash","been","1","20"
"1","crash","cover","1","34"
"11","crash","building","1","17"
"1","crash","airbag","1","33"
"11","crash","fence","1","14"
"1","crash","driver's","1","31"
"11","crash","crashed","1","11"
"1","crash","outward","1","30"
"11","crash","forward","1","9"
"1","crash","deployed","1","29"
"11","crash","lurched","1","8"
"1","crash","windshield","1","27"
"11","crash","park","1","6"
"1","crash","did","2","24,37"
"11","crash","slowing","1","4"
"1","crash","bag","1","23"
"11","crash","while","1","3"
"1","crash","air","1","22"
"11","crash","raced","1","2"
"1","crash","passenger's","1","20"
"11","crash","engine","1","1"
"1","crash","head-on","1","19"
"11","crash","car","3","0,7,18"
"1","crash","embankment","1","18"
"9","no_crash","reimbursement","1","20"
"1","crash","then","1","14"
"9","no_crash","made","1","15"
"1","crash","bumper","1","12"
"9","no_crash","repairs","1","13"
"1","crash","front","1","11"
"9","no_crash","*ml","1","21"
"1","crash","deer","1","8"
"9","no_crash","wants","1","19"
"1","crash","hit","2","6,26"
"9","no_crash","expense","1","18"
"1","crash","mph","1","5"
"9","no_crash","owner's","1","17"
"1","crash","45","1","4"
"9","no_crash","were","1","14"
"1","crash","approximately","1","3"
"9","no_crash","gear","1","12"
"1","crash","driving","1","2"
"9","no_crash","shift","1","9"
"1","crash","consumer","1","0"
"9","no_crash","not","1","8"
"20","no_crash","had","1","16"
"9","no_crash","malfunctioned","1","5"
"20","no_crash","four","1","20"
"9","no_crash","transmission","1","3"
"20","no_crash","can't","1","25"
"9","no_crash","has","1","4"
"20","no_crash","problem","1","28"
"9","no_crash","miles","1","2"
"20","no_crash","causing","1","5"
"9","no_crash","66900","1","1"
"20","no_crash","when","1","12"
"9","no_crash","at","2","0,16"
"20","no_crash","determine","1","26"
"9","no_crash","first","1","11"
"20","no_crash","dealer","1","24"
"16","no_crash","down","1","23"
"20","no_crash","still","1","23"
"16","no_crash","miles","1","2"
"20","no_crash","times","1","21"
"16","no_crash","off","1","6"
"20","no_crash","about","1","19"
"16","no_crash","total","1","11"
"20","no_crash","replaced","1","18"
"16","no_crash","pump","1","9"
"20","no_crash","brake's","1","17"
"16","no_crash","vehicle","1","20"
"20","no_crash","consumer","1","15"
"16","no_crash","shut","1","22"
"20","no_crash","down","1","14"
"16","no_crash","caused","1","18"
"20","no_crash","slowing","1","13"
"16","no_crash","which","1","16"
"20","no_crash","left","1","11"
"16","no_crash","of","1","13"
"20","no_crash","pull","1","8"
"16","no_crash","loss","1","12"
"20","no_crash","vehicle","1","6"
"16","no_crash","causing","1","10"
"20","no_crash","broke","1","4"
"16","no_crash","housing","1","8"
"20","no_crash","bearing","1","3"
"16","no_crash","broke","1","5"
"20","no_crash","wheel","1","2"
"16","no_crash","steering","2","4,15"
"20","no_crash","front","1","1"
"16","no_crash","power","2","3,14"
"20","no_crash","rear","1","0"
"16","no_crash","68000","1","1"
"18","no_crash","yh","1","3"
"16","no_crash","at","1","0"
"18","no_crash","leaking","1","2"
"16","no_crash","also","1","17"
"18","no_crash","sunroof","1","0"
"10","no_crash","manufactured","1","31"
"8","no_crash","periodcally","1","14"
"10","no_crash","recker","1","30"
"8","no_crash","happened","1","13"
"10","no_crash","hill","1","29"
"8","no_crash","stopped","1","11"
"10","no_crash","by","1","27"
"8","no_crash","windshield","1","9"
"10","no_crash","owned","1","26"
"8","no_crash","when","1","7"
"10","no_crash","corrected","1","22"
"8","no_crash","storm","1","6"
"10","no_crash","not","1","20"
"8","no_crash","driving","1","2"
"10","no_crash","has","1","19"
"8","no_crash","consumer","1","0"
"10","no_crash","problem","2","17,18"
"8","no_crash","rain","1","5"
"10","no_crash","of","1","15"
"8","no_crash","wipers","1","10"
"10","no_crash","aware","1","14"
"2","crash","injuries","1","55"
"10","no_crash","manufacturer","1","12"
"2","crash","neck","1","52"
"10","no_crash","own","1","11"
"2","crash","received","1","51"
"10","no_crash","rolled","1","8"
"2","crash","knee","1","49"
"10","no_crash","it","1","7"
"2","crash","hurt","1","47"
"10","no_crash","incline","1","6"
"2","crash","wheel","1","46"
"10","no_crash","on","2","4,9"
"2","crash","steering","1","45"
"10","no_crash","sitting","1","3"
"2","crash","head-on","1","43"
"10","no_crash","truck","2","1,24"
"2","crash","driver","1","40"
"10","no_crash","when","1","0"
"2","crash","front","1","37"
"10","no_crash","its","1","10"
"2","crash","on","1","35"
"10","no_crash","been","1","21"
"2","crash","35","1","33"
"10","no_crash","walnut","1","28"
"2","crash","about","1","32"
"10","no_crash","1998","1","33"
"2","crash","traveling","1","31"
"2","crash","f350","1","30"
"2","crash","ford","1","29"
"2","crash","by","1","27"
"2","crash","hit","2","26,41"
"2","crash","mph","1","34"
"2","crash","turn","1","23"
"2","crash","left","1","22"
"2","crash","making","1","20"
"2","crash","deploy","1","17"
"2","crash","his","2","42,48"
"2","crash","not","1","16"
"2","crash","did","1","15"
"2","crash","bags","1","14"
"2","crash","air","1","13"
"2","crash","back","1","54"
"2","crash","side","2","12,39"
"2","crash","passenger's","2","11,38"
"2","crash","side/","1","10"
"2","crash","driver's","1","9"
"2","crash","totalling","1","7"
"2","crash","crash","1","6"
"2","crash","involved","1","3"
"2","crash","vehicle","3","1,8,18"
"2","crash","when","1","0"
