"userid","itemid","rating"
9,1103,3
4,69757,3.5
6,592,4
5,367,4
9,1104,5
6,595,3
5,373,5
9,1179,4
6,608,3
5,377,4
9,1201,4
6,628,4
5,380,3
9,1203,4
6,648,4
5,428,4
9,1213,5
6,733,5
5,431,4
9,1215,3
6,736,3
5,441,4
9,1219,4
6,750,4
5,446,4
9,1265,4
6,778,4
5,457,3
9,1269,5
6,780,5
5,471,5
9,1304,5
6,788,3
5,477,5
9,1334,4
6,832,3.5
5,480,4
9,1387,4
6,852,3.5
5,486,2
9,1513,2
6,858,4
5,488,5
9,1580,3
6,953,5
5,491,4
9,1587,3
6,1036,4
5,508,5
9,1617,3
6,1059,5
5,509,5
9,1639,2
6,1060,4
5,515,4
9,1641,4
6,1073,4
5,527,5
9,1673,4
6,1097,3.5
5,532,4
9,1885,3
6,1101,4
5,538,5
9,1911,3
6,1148,4
5,539,3
9,1963,4
6,1196,5
5,541,5
9,2160,5
6,1202,3.5
5,551,4
9,2176,5
6,1210,5
5,553,3
9,2188,3
6,1213,4.5
5,581,5
9,2321,2
6,1221,4
5,585,3
9,2336,4
6,1234,5
5,588,4
9,2340,2
6,1240,4
5,589,4
9,2355,3
6,1246,4
5,590,4
9,2395,4
6,1247,4.5
5,592,4
9,2413,2
6,1259,4
5,593,5
9,2490,3
6,1265,5
5,594,5
9,2502,3
6,1270,4
5,595,3
9,2541,3
6,1288,4
5,596,3
9,2546,2
6,1291,3.5
5,597,3
9,2550,4
6,1370,3.5
5,599,3
9,2572,4
6,1377,3.5
5,608,5
9,2581,3
6,1380,3.5
5,610,4
9,2598,3
6,1391,3
5,628,4
9,2599,4
6,1485,3
5,648,4
9,2605,3
6,1527,3.5
5,663,4
9,2676,1
6,1552,4
5,671,4
9,2683,2
6,1573,4
5,708,4
9,2686,5
6,1580,3
5,722,5
9,2694,2
6,1610,4
5,733,3
9,2699,3
6,1617,4
5,750,5
9,2702,3
6,1653,5
5,766,5
9,2706,5
6,1658,5
5,778,5
9,2707,4
6,1676,3.5
5,832,4
9,2710,4
6,1680,4
5,851,5
9,2712,2
6,1682,4
5,858,5
9,2718,4
6,1704,4
5,897,3
9,2719,3
6,1721,3.5
5,898,4
9,2723,4
6,1722,3.5
5,899,3
9,2724,1
6,1732,4.5
5,900,3
9,2729,5
6,1747,4
5,902,4
9,2734,2
6,1755,4
5,903,5
9,2759,3
6,1831,3.5
5,904,5
9,2762,4
6,1876,2.5
5,905,3
9,2763,2
6,1884,3.5
5,908,5
9,2770,3
6,1917,4
5,909,3
9,2771,2
6,1923,3.5
5,910,5
9,2772,3
6,1954,4.5
5,911,4
9,2805,2
6,1961,4
5,912,4
9,2826,4
6,2000,3.5
5,913,4
9,2827,3
6,2003,4
5,914,3
9,2840,3
6,2005,4.5
5,915,4
9,2858,3
6,2011,3.5
5,916,3
9,2861,3
6,2012,3.5
5,918,2
9,2870,4
6,2028,4
5,919,5
9,2881,3
6,2054,3
5,920,5
9,2906,2
6,2081,3
5,921,4
9,2947,4
6,2082,4
5,922,5
9,2949,4
6,2115,4
5,923,5
9,2961,3
6,2134,2.5
5,924,5
9,2993,4
6,2161,4
5,926,3
9,2995,2
6,2167,4
5,927,4
9,2997,5
6,2194,4
5,928,5
9,3005,3
6,2291,4
5,930,4
9,3016,5
6,2296,4.5
5,931,4
9,3074,5
6,2302,3.5
5,933,4
9,3079,2
6,2324,5
5,934,4
9,3081,3
6,2329,4
5,938,4
9,3113,3
6,2335,4
5,940,3
9,3146,4
6,2340,4
5,941,3
9,3168,5
6,2355,2.5
5,942,4
9,3203,3
6,2378,2.5
5,943,4
9,3219,4
6,2380,4
5,944,3
9,3238,3
6,2381,4
5,945,4
9,3263,2
6,2382,3.5
5,946,3
9,3296,3
6,2383,4
5,947,4
9,3501,3
6,2396,3.5
5,948,5
9,3565,3
6,2406,2.5
5,949,5
9,3578,5
6,2411,3.5
5,950,3
9,3623,4
6,2412,2
5,951,4
9,3633,4
6,2420,5
5,952,4
9,3635,4
6,2421,3.5
5,953,2
9,3638,4
6,2424,3.5
5,954,3
9,3752,4
6,2470,3.5
5,955,3
9,3769,5
6,2502,4
5,965,3
9,3809,4
6,2541,3.5
5,968,3
9,3835,4
6,2542,5
5,969,5
9,3844,4
6,2571,5
5,971,4
9,3846,4
6,2572,5
5,982,3
9,3869,4
6,2617,3
5,1012,3
9,4148,5
6,2628,3.5
5,1018,3
10,207,3.5
6,2671,3
5,1019,5
10,595,3.5
6,2683,3.5
5,1022,3
10,596,4
6,2699,3
5,1029,4
10,832,4
6,2700,4
5,1034,4
10,851,2
6,2706,4
5,1035,2
10,899,4.5
6,2716,4
5,1036,3
10,1092,3.5
6,2763,4
5,1044,4
10,1101,3
6,2797,4.5
5,1046,5
10,1263,4
6,2858,4.5
5,1059,4
10,1485,3
6,2916,4
5,1060,4
10,2054,4
6,2918,4.5
5,1073,3
10,2081,3
6,2959,5
5,1076,5
10,2096,3
6,2985,4
5,1077,4
10,2273,4
6,2987,4
5,1078,3
10,2687,3.5
6,3020,4.5
5,1079,5
10,3114,4
6,3039,4.5
5,1080,4
10,4310,3.5
6,3087,4.5
5,1081,4
10,5060,2
6,3114,4
5,1082,3
10,5377,3
6,3146,3.5
5,1083,4
10,5632,2
6,3147,3.5
5,1084,4
10,5952,4
6,3160,3.5
5,1086,4
6,3253,4
5,1089,5
6,3254,4
5,1090,3
6,3271,4.5
5,1093,5
6,3408,3
5,1094,4
6,3479,3
5,1095,4
6,3481,5
5,1096,4
6,3513,3.5
5,1097,3
6,3578,4.5
5,1099,3
6,3740,4
5,1101,2
6,3751,4
5,1103,5
6,3753,3.5
5,1104,5
6,3897,4.5
5,1120,5
6,3948,2.5
5,1124,4
6,3949,4
5,1128,3
6,3996,4
5,1129,4
6,4006,4.5
5,1130,3
6,4011,5
5,1132,4
6,4014,4
5,1136,5
6,4018,4
5,1161,4
6,4022,3.5
5,1162,4
6,4084,3
5,1171,5
6,4085,3.5
5,1172,3
6,4223,4
5,1175,5
6,4226,4.5
5,1179,4
6,4235,4
5,1186,4
6,4246,3.5
5,1187,3
6,4306,4
5,1189,5
6,4308,5
5,1190,3
6,4370,3.5
5,1191,4
6,4487,3.5
5,1192,5
6,4489,4
5,1193,4
6,4545,3.5
5,1196,3
6,4571,4
5,1197,3
6,4614,3.5
5,1198,4
6,4673,4
5,1199,5
6,4720,4
5,1200,4
6,4776,4
5,1201,3
6,4816,5
5,1203,4
6,4848,4
5,1204,5
6,4878,4
5,1206,5
6,4963,4.5
5,1207,5
6,4973,5
5,1208,5
6,4975,4
5,1209,3
6,4979,3.5
5,1210,3
6,4980,3
5,1212,4
6,4993,3.5
5,1213,5
6,4995,3.5
5,1214,5
6,5055,4
5,1217,5
6,5137,4.5
5,1219,5
6,5151,3.5
5,1220,4
6,5283,4
5,1222,5
6,5377,4
5,1225,4
6,5378,4
5,1226,4
6,5418,4
5,1227,4
6,5445,3.5
5,1228,4
6,5459,2.5
5,1230,5
6,5618,3.5
5,1231,3
6,5669,3.5
5,1233,3
6,5673,4
5,1234,3
6,5810,4.5
5,1235,4
6,5876,3.5
5,1238,4
6,5903,3
5,1240,4
6,5952,4
5,1244,5
6,5956,3.5
5,1246,5
6,5989,4
5,1247,4
6,6016,5
5,1249,5
6,6188,4.5
5,1250,4
6,6218,3.5
5,1251,3
6,6281,3.5
5,1252,4
6,6365,3.5
5,1253,5
6,6377,4
5,1254,5
6,6502,4
5,1256,5
6,6548,4
5,1258,5
6,6618,3.5
5,1259,4
6,6664,5
5,1262,3
6,6711,5
5,1263,4
6,6796,3.5
5,1264,5
6,6863,4
5,1265,3
6,6874,4
5,1266,5
6,6936,5
5,1267,5
6,6942,4.5
5,1268,4
6,7033,4
5,1269,4
6,7090,4
5,1270,3
6,7147,4
5,1271,4
6,7153,4
5,1272,5
6,7254,4
5,1274,5
6,7259,2
5,1275,4
6,7325,3.5
5,1276,3
6,7361,5
5,1278,5
6,7438,4
5,1279,4
6,7762,4
5,1282,4
6,7844,4.5
5,1283,3
6,7981,4.5
5,1285,4
6,8360,3.5
5,1286,4
6,8376,4
5,1287,4
6,8464,3.5
5,1288,4
6,8528,4.5
5,1291,3
6,8529,4
5,1292,4
6,8533,4
5,1293,5
6,8638,5
5,1295,5
6,8641,5
5,1296,4
6,8665,4
5,1297,3
6,8784,4.5
5,1298,5
6,8798,3.5
5,1299,5
6,8873,4
5,1302,3
6,8874,4
5,1303,4
6,8910,4.5
5,1304,3
6,8917,4
5,1305,4
6,8961,4
5,1307,3
6,8983,3.5
5,1321,5
6,25941,4
5,1329,2
6,26547,4.5
5,1332,3
6,26614,4.5
5,1333,5
6,26865,3.5
5,1340,5
6,27592,4
5,1343,5
6,27773,5
5,1345,4
6,27801,4.5
5,1346,4
6,27808,4
5,1347,3
6,27831,4.5
5,1348,3
6,30707,4
5,1350,4
6,30793,3
5,1355,3
6,30810,4.5
5,1356,3
6,31878,4
5,1358,5
6,33493,4
5,1370,2
6,33679,3.5
5,1372,3
6,33794,4.5
5,1374,4
6,34048,3.5
5,1378,3
6,34162,4
5,1380,3
6,35836,3.5
5,1387,4
6,35957,3
5,1391,4
6,38038,3.5
5,1393,4
6,38061,4.5
5,1394,5
6,40629,3.5
5,1396,4
6,42632,4.5
5,1401,4
6,44195,4
5,1405,4
6,44199,4.5
5,1408,5
6,44665,4
5,1419,4
6,45183,4.5
5,1449,4
6,45728,4
5,1466,4
6,46578,3.5
5,1480,4
6,46970,3.5
5,1517,5
6,46976,5
5,1580,2
6,47200,2
5,1584,5
6,47610,4
5,1587,2
6,48385,4
5,1589,2
6,48394,3.5
5,1594,3
6,48516,4
5,1610,4
6,48774,4.5
5,1611,5
6,48780,4
5,1613,4
6,49272,4.5
5,1617,4
6,51662,3.5
5,1625,4
6,51939,4
5,1627,4
6,52973,4
5,1639,5
6,53972,3.5
5,1641,5
6,53996,3
5,1645,4
6,54286,4.5
5,1653,5
6,54503,4
5,1663,4
6,54997,4.5
5,1673,4
6,55267,4
5,1674,4
6,55442,4
5,1678,4
6,56174,3.5
5,1682,4
6,56367,4
5,1690,4
6,56587,3.5
5,1694,5
6,56941,4
5,1699,4
6,58246,3
5,1701,4
6,58297,1.5
5,1704,5
6,58334,4
5,1711,5
6,58559,4.5
5,1727,5
6,59315,4
5,1729,5
6,59369,5
5,1732,4
6,59784,4
5,1747,4
6,59900,2.5
5,1784,4
6,60069,4
5,1805,2
6,61132,3.5
5,1883,4
6,62511,3
5,1884,3
6,63082,4
5,1885,4
6,63113,4
5,1909,4
6,63859,4
5,1913,3
6,64285,3
5,1921,2
6,64499,4
5,1923,5
6,64614,4
5,1924,4
6,64839,4
5,1925,4
6,65514,5
5,1927,3
6,65810,3
5,1935,4
6,66509,4.5
5,1936,5
6,66665,4.5
5,1937,3
6,67255,3.5
5,1939,4
6,68237,4.5
5,1942,4
6,68319,3.5
5,1944,4
6,69122,4
5,1945,4
6,69757,4.5
5,1946,4
6,69951,4
5,1947,5
6,70286,4
5,1948,3
6,71254,3
5,1949,4
6,71520,3.5
5,1950,4
6,71535,4.5
5,1952,3
6,71899,4.5
5,1953,4
6,72011,4
5,1954,2
6,73266,4
5,1955,4
6,73323,3.5
5,1956,4
6,74510,4
5,1957,4
6,76093,4
5,1959,5
6,76251,4.5
5,1961,3
6,77800,4
5,1962,4
6,78499,4
5,1963,3
6,79132,5
5,1964,3
6,79134,3.5
5,1965,5
6,79553,3.5
5,1967,4
6,79695,1
5,1968,2
6,79702,4
5,1982,1
6,80463,4
5,1994,4
6,80693,3.5
5,1997,4
6,81591,3.5
5,2000,2
6,81932,4
5,2001,3
6,82093,3.5
5,2009,3
6,84152,3.5
5,2010,4
6,84601,3.5
5,2011,3
6,84772,4
5,2017,3
6,85401,3.5
5,2018,3
6,85414,4
5,2020,5
6,86190,4
5,2022,4
6,86332,4
5,2023,5
6,86882,4.5
5,2028,5
6,87192,4.5
5,2046,3
6,87222,4
5,2064,5
6,87232,4
5,2065,3
6,87306,3.5
5,2067,4
6,88129,3.5
5,2068,4
6,88810,4
5,2070,4
6,89305,3.5
5,2076,5
6,89492,4
5,2078,2
6,89745,4
5,2085,3
6,89753,4
5,2094,3
6,89774,5
5,2096,4
6,89864,4.5
5,2097,3
6,90405,3.5
5,2100,4
6,90866,4
5,2102,5
6,91529,4.5
5,2105,4
6,91630,4
5,2108,4
6,91653,3.5
5,2109,3
6,92393,4
5,2110,3
6,93510,4
5,2112,5
6,94864,3
5,2114,4
6,95441,3.5
5,2115,4
6,95873,4
5,2117,3
6,96079,4
5,2124,4
6,96610,4
5,2130,5
6,96693,2.5
5,2132,4
6,96728,1
5,2133,3
6,96737,3.5
5,2138,3
6,96811,3
5,2143,3
6,96821,4.5
5,2145,3
6,96861,3.5
5,2150,3
6,97304,4
5,2155,4
6,97913,4
5,2160,5
6,97921,4
5,2161,3
6,97938,4
5,2165,4
6,98809,3
5,2174,3
6,99149,3
5,2176,5
6,99728,3.5
5,2178,4
6,99813,3.5
5,2180,3
6,100714,3.5
5,2181,4
6,102445,4
5,2183,5
6,102819,4
5,2184,4
6,103042,4
5,2194,3
6,103141,4
5,2202,3
6,103606,3.5
5,2212,5
6,104841,4
5,2231,4
6,106920,4.5
5,2240,4
6,108932,4
5,2242,3
6,109487,4.5
5,2243,3
6,111360,3.5
5,2245,3
6,111362,3.5
5,2247,4
6,111759,4
5,2261,3
6,111815,4
5,2268,4
6,112290,4.5
5,2271,3
6,112623,4
5,2273,3
6,112852,4
5,2278,4
6,115617,4
5,2280,5
6,122892,3
5,2282,4
5,2287,4
5,2288,4
5,2289,5
5,2291,2
5,2294,4
5,2300,5
5,2301,4
5,2302,3
5,2303,5
5,2313,4
5,2320,3
5,2321,3
5,2329,5
5,2331,4
5,2333,5
5,2336,5
5,2337,4
5,2344,4
5,2345,4
5,2348,4
5,2349,4
5,2352,4
5,2353,4
5,2355,4
5,2359,4
5,2361,5
5,2362,4
5,2366,3
5,2370,4
5,2371,2
5,2372,2
5,2378,2
5,2395,4
5,2396,4
5,2398,3
5,2401,3
5,2406,3
5,2414,2
5,2437,5
5,2454,5
5,2455,3
5,2463,4
5,2467,4
5,2469,4
5,2495,4
5,2496,5
5,2501,5
5,2502,5
5,2504,4
5,2518,4
5,2519,4
5,2527,4
5,2528,4
5,2529,3
5,2541,4
5,2542,5
5,2550,5
5,2551,4
5,2553,3
5,2565,4
5,2571,5
5,2580,3
5,2583,4
5,2596,3
5,2613,3
5,2633,3
5,2637,4
5,2648,5
5,2649,4
5,2654,3
5,2657,5
5,2659,5
5,2661,5
5,2662,4
5,2664,4
5,2671,4
5,2677,4
5,2689,4
5,2693,4
5,2706,1
5,2707,4
5,2710,4
5,2712,3
5,2716,4
5,2728,4
5,2729,4
5,2730,4
5,2734,4
5,2739,5
5,2747,2
5,2759,4
5,2762,5
5,2763,5
5,2764,4
5,2779,4
5,2780,2
5,2781,4
5,2782,3
5,2784,2
5,2788,4
5,2791,3
5,2792,2
5,2797,4
5,2804,4
5,2819,3
5,2829,5
5,2841,3
5,2858,5
5,2859,5
5,2863,5
5,2867,4
5,2871,4
5,2872,3
5,2890,5
5,2899,4
5,2901,2
5,2904,4
5,2908,5
5,2912,4
5,2915,3
5,2916,4
5,2917,4
5,2918,3
5,2919,4
5,2921,3
5,2922,3
5,2926,5
5,2932,3
5,2940,4
5,2941,3
5,2944,3
5,2946,5
5,2947,3
5,2948,3
5,2949,3
5,2951,3
5,2959,5
5,2967,5
5,2968,3
5,2970,5
5,2971,5
5,2973,3
5,2983,3
5,2985,2
5,2987,3
5,2988,4
5,2993,3
5,2997,5
5,3006,4
5,3007,5
5,3011,4
5,3016,2
5,3018,2
5,3019,5
5,3022,3
5,3028,4
5,3035,3
5,3037,4
5,3039,3
5,3040,3
5,3044,2
5,3046,4
5,3049,3
5,3052,4
5,3060,4
5,3061,3
5,3066,3
5,3068,4
5,3072,5
5,3073,4
5,3074,3
5,3079,4
5,3088,4
5,3093,2
5,3094,5
5,3095,3
5,3096,3
5,3098,4
5,3099,4
5,3100,4
5,3101,4
5,3102,4
5,3104,4
5,3105,4
5,3107,2
5,3108,4
5,3111,3
5,3133,4
5,3134,4
5,3135,3
5,3148,4
5,3152,4
5,3153,3
5,3157,3
5,3159,5
5,3160,5
5,3168,4
5,3169,4
5,3172,4
5,3174,1
5,3175,4
5,3176,5
5,3182,5
5,3194,2
5,3196,3
5,3197,4
5,3198,2
5,3200,3
5,3201,5
5,3203,4
5,3204,3
5,3210,5
5,3244,3
5,3252,4
5,3253,5
5,3255,4
5,3256,4
5,3260,5
5,3262,4
5,3266,5
5,3274,3
5,3281,5
5,3282,5
5,3284,4
5,3296,3
5,3307,3
5,3330,3
5,3334,4
5,3342,3
5,3350,4
5,3358,5
5,3359,4
5,3361,3
5,3362,4
5,3363,5
5,3379,5
5,3384,3
5,3386,4
5,3404,4
5,3408,5
5,3417,3
5,3418,4
5,3420,4
5,3424,3
5,3435,3
5,3447,3
5,3448,4
5,3451,5
5,3461,4
5,3462,3
5,3467,3
5,3468,4
5,3469,4
5,3471,5
5,3475,4
5,3476,4
5,3478,4
5,3494,3
5,3498,4
5,3499,5
5,3504,5
5,3505,4
5,3507,4
5,3508,3
5,3516,5
5,3521,4
5,3524,4
5,3526,4
5,3527,4
5,3535,4
5,3543,3
5,3544,1
5,3545,4
5,3546,5
5,3547,5
5,3548,5
5,3549,2
5,3550,4
5,3551,4
5,3552,4
5,3556,4
5,3576,4
5,3578,4
5,3604,5
5,3606,3
5,3608,5
5,3629,3
5,3634,3
5,3635,3
5,3639,3
5,3649,4
5,3654,3
5,3668,3
5,3671,5
5,3675,4
5,3676,2
5,3678,3
5,3679,4
5,3681,3
5,3683,5
5,3684,3
5,3685,5
5,3686,4
5,3698,4
5,3699,4
5,3700,4
5,3701,3
5,3702,4
5,3703,5
5,3706,4
5,3712,4
5,3718,4
5,3724,3
5,3727,4
5,3730,5
5,3732,3
5,3733,3
5,3734,3
5,3735,4
5,3736,4
5,3738,4
5,3740,4
5,3741,4
5,3742,4
5,3751,3
5,3755,3
5,3760,3
5,3763,3
5,3769,3
5,3788,4
5,3793,5
5,3794,5
5,3809,4
5,3810,4
5,3811,3
5,3812,3
5,3814,3
5,3836,2
5,3844,4
5,3864,1
5,3868,3
5,3871,3
5,3872,5
5,3873,4
5,3880,3
5,3893,5
5,3897,5
5,3911,4
5,3913,4
5,3917,2
5,3922,2
5,3924,2
5,3927,3
5,3928,3
5,3929,4
5,3930,4
5,3932,4
5,3948,4
5,3949,3
5,3952,4
5,3959,4
5,3984,3
5,3993,5
5,3996,5
5,4000,3
5,4002,4
5,4005,3
5,4007,3
5,4009,3
5,4011,5
5,4014,4
5,4017,4
5,4019,3
5,4021,5
5,4022,4
5,4025,3
5,4027,5
5,4029,4
5,4034,5
5,4037,4
5,4066,4
5,4085,3
5,4086,3
5,4103,4
5,4116,5
5,4117,5
5,4178,4
5,4185,2
5,4186,4
5,4187,3
5,4189,3
5,4190,4
5,4191,3
5,4195,2
5,4205,3
5,4210,4
5,4211,5
5,4212,3
5,4216,5
5,4218,4
5,4226,5
5,4239,5
5,4254,1
5,4262,5
5,4276,5
5,4277,3
5,4278,5
5,4279,4
5,4280,4
5,4282,4
5,4291,4
5,4292,3
5,4294,3
5,4304,5
5,4306,4
5,4308,5
5,4321,4
5,4326,3
5,4329,3
5,4332,4
5,4333,3
5,4349,3
5,4351,2
5,4356,3
5,4357,4
5,4359,3
5,4360,3
5,4361,4
5,4369,4
5,4370,4
5,4401,2
5,4406,3
5,4407,4
5,4410,3
5,4427,4
5,4428,5
5,4443,3
5,4464,4
5,4465,4
5,4467,4
5,4489,4
5,4499,3
5,4506,4
5,4508,4
5,4515,4
5,4522,4
5,4529,4
5,4537,4
5,4552,2
5,4555,5
5,4557,3
5,4571,4
5,4588,1
5,4641,5
5,4642,5
5,4660,4
5,4661,4
5,4681,3
5,4690,3
5,4703,4
5,4705,5
5,4708,4
5,4710,3
5,4713,5
5,4734,5
5,4769,4
5,4783,4
5,4787,4
5,4789,4
5,4795,3
5,4799,5
5,4800,4
5,4801,4
5,4802,4
5,4803,4
5,4804,3
5,4809,5
5,4811,4
5,4813,4
5,4816,4
5,4835,5
5,4841,3
5,4848,4
5,4855,4
5,4857,3
5,4886,3
5,4896,3
5,4917,4
5,4932,4
5,4956,4
5,4958,4
5,4966,4
5,4979,5
5,4981,4
5,4984,3
5,4993,4
5,4995,4
5,5007,4
5,5010,5
5,5013,5
5,5015,5
5,5016,2
5,5049,3
5,5054,4
5,5055,4
5,5060,3
5,5062,4
5,5065,4
5,5099,2
5,5101,4
5,5120,4
5,5123,4
5,5158,4
5,5179,3
5,5184,4
5,5187,3
5,5190,3
5,5231,4
5,5232,4
5,5233,4
5,5249,4
5,5265,4
5,5299,5
5,5339,3
5,5367,5
5,5372,2
5,5383,3
5,5384,3
5,5385,3
5,5392,4
5,5434,4
5,5493,3
5,5497,3
5,5500,3
5,5540,4
5,5544,4
5,5548,5
5,5568,2
5,5588,2
5,5630,3
5,5638,1
5,5642,4
5,5646,4
5,5650,2
5,5689,4
5,5693,2
5,5696,4
5,5705,2
5,5707,4
5,5732,4
5,5745,4
5,5747,3
5,5772,5
5,5777,3
5,5780,3
5,5801,4
5,5802,3
5,5816,4
5,5826,3
5,5836,4
5,5847,4
5,5853,4
5,5862,3
5,5868,2
5,5899,4
5,5902,5
5,5911,5
5,5933,4
5,5938,4
5,5940,4
5,5983,4
5,6001,4
5,6184,3
3,163,4.5
3,172,2
3,260,5
3,370,4
3,432,3
3,466,3
3,502,3.5
3,832,3.5
3,919,5
3,1259,4
3,1270,5
3,1288,4.5
3,1380,5
3,1485,3
3,2012,4
3,2054,3
3,2134,4.5
3,2406,4
3,2420,4
3,2640,2.5
3,2791,4
3,3508,4
3,3897,3.5
3,4025,2.5
3,4621,3
3,6744,4
3,7361,4
3,8641,2
3,8865,3.5
1,1,5
1,2,3
1,10,3
1,32,4
1,34,4
1,47,3
1,50,4
1,62,4
1,150,4
1,153,3
1,160,3
1,161,4
1,165,4
1,185,3
1,208,3
1,253,3
1,265,5
1,266,3
1,288,5
1,292,4
1,296,5
1,300,5
1,316,3
1,318,5
1,329,4
1,344,3
1,349,4
1,350,4
1,356,5
1,357,4
1,364,4
1,367,4
1,377,3
1,380,4
1,434,3
1,454,4
1,457,4
1,480,5
1,500,3
1,508,5
1,509,4
1,515,5
1,539,3
1,588,4
1,589,3
1,592,3
1,597,4
1,648,5
8,1,3
8,2,2.5
8,6,3
8,10,2.5
8,16,4.5
8,18,4
8,19,2
8,21,2.5
8,24,3.5
8,25,3.5
8,29,4.5
8,32,4
8,34,2.5
8,47,4.5
8,50,4.5
8,70,3.5
8,110,3
8,111,4.5
8,153,2.5
8,163,3.5
8,165,4
8,170,2
8,172,4
8,173,4
8,208,4.5
8,231,3
8,235,3
8,253,4
8,256,1.5
8,260,4
8,261,2.5
8,288,4.5
8,292,3
8,293,5
8,296,4.5
8,316,3
8,318,4
8,319,4
8,327,3.5
8,344,2.5
8,345,2.5
8,353,4.5
8,356,4.5
8,357,3
8,364,2.5
8,367,2.5
8,368,3
8,370,3.5
8,377,3
8,380,3
8,413,3
8,420,2
8,428,4
8,434,4
8,435,2.5
8,442,4
8,455,2.5
8,457,2.5
8,466,3
8,480,4
8,485,2.5
8,500,2
8,509,4
8,520,2
8,527,4
8,541,4
8,551,4.5
8,586,2
8,589,4
8,590,4.5
8,592,4
8,593,4.5
8,597,3
8,608,4
8,610,2
8,648,3.5
8,733,3.5
8,737,2.5
8,741,4
8,743,2.5
8,750,4.5
8,778,5
8,780,3
8,784,2
8,786,3.5
8,788,1.5
8,832,3.5
8,839,4
8,858,4.5
8,912,3.5
8,923,3
8,924,4
8,1036,4
8,1047,3.5
8,1073,2.5
8,1079,4.5
8,1080,5
8,1084,4.5
8,1089,4.5
8,1090,3
8,1092,3
8,1093,3
8,1094,3.5
8,1097,3
8,1101,3
8,1125,4.5
8,1136,5
8,1175,4.5
8,1193,4.5
8,1196,4
8,1197,2
8,1198,4
8,1199,4.5
8,1200,4.5
8,1201,4
8,1203,3.5
8,1206,5
8,1208,4
8,1210,4
8,1213,5
8,1214,3.5
8,1215,3.5
8,1220,5
8,1221,4.5
8,1222,4.5
8,1228,4.5
8,1233,2.5
8,1234,4
8,1240,4.5
8,1246,3
8,1249,5
8,1250,3.5
8,1251,4
8,1252,3.5
8,1258,5
8,1259,3
8,1262,3.5
8,1265,4
8,1270,4
8,1271,2.5
8,1274,3.5
8,1275,3
8,1276,4.5
8,1278,3.5
8,1281,4
8,1288,4
8,1291,4
8,1293,3
8,1298,3.5
8,1320,4.5
8,1333,4
8,1343,4.5
8,1345,3.5
8,1347,4
8,1350,3
8,1370,4
8,1374,4.5
8,1377,3.5
8,1387,3
8,1391,3.5
8,1394,4
8,1396,4.5
8,1407,3
8,1466,3
8,1485,2.5
8,1500,3.5
8,1517,3
8,1527,5
8,1544,2
8,1562,2
8,1573,4
8,1580,4
8,1584,4
8,1587,4.5
8,1617,4
8,1641,3.5
8,1653,4.5
8,1673,2.5
8,1676,3
8,1682,3.5
8,1687,3
8,1690,4
8,1704,3
8,1717,2
8,1721,2.5
8,1722,2.5
8,1729,4
