"sn","price","lotsize","bedrooms","bathrms","stories","driveway","recroom","fullbase","gashw","airco","garagepl","prefarea","homestyle"
386,78900,6900,3,1,1,yes,yes,yes,no,no,0,yes,Eclectic
388,85000,7020,3,1,1,yes,no,yes,no,yes,2,yes,Eclectic
390,86000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,Eclectic
392,94500,10500,3,2,1,yes,no,yes,no,yes,1,yes,Eclectic
394,106000,7440,3,2,4,yes,no,no,no,no,1,yes,bungalow
396,74500,7200,3,1,2,yes,yes,yes,no,no,1,yes,Eclectic
398,80750,6660,4,2,2,yes,yes,yes,no,no,1,yes,Eclectic
400,85000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,Eclectic
402,76000,7800,3,1,1,yes,no,yes,no,yes,2,yes,Eclectic
404,80000,6360,3,1,3,yes,no,no,no,no,0,yes,Eclectic
406,86000,6900,3,2,1,yes,yes,yes,no,no,0,yes,Eclectic
410,89900,6600,3,2,3,yes,no,no,no,yes,0,yes,Eclectic
412,95000,6500,3,2,3,yes,no,no,no,yes,0,yes,Eclectic
414,31900,5300,3,1,1,no,no,no,no,yes,0,yes,Classic
416,90000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,Eclectic
418,91700,6750,2,1,1,yes,yes,yes,no,no,2,yes,Eclectic
420,94700,6000,3,1,2,yes,no,no,yes,no,1,yes,Eclectic
422,80000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,Eclectic
424,62900,2880,3,1,2,yes,no,no,no,no,0,yes,Eclectic
426,66000,2870,2,1,2,yes,yes,yes,no,no,0,yes,Eclectic
428,50000,3512,2,1,1,yes,no,no,no,no,1,yes,Classic
430,58550,3600,3,1,1,yes,no,yes,no,yes,0,yes,Eclectic
432,65000,5320,3,1,2,yes,yes,yes,no,no,0,yes,Eclectic
434,73000,11410,2,1,2,yes,no,no,no,no,0,yes,Eclectic
436,75000,5300,4,2,1,yes,no,no,no,yes,0,yes,Eclectic
438,60000,3520,3,1,2,yes,no,no,no,no,0,yes,Eclectic
442,57000,4050,2,1,2,yes,yes,yes,no,no,0,yes,Eclectic
444,79500,4400,4,1,2,yes,no,no,no,yes,2,yes,Eclectic
446,104900,11440,4,1,2,yes,no,yes,no,no,1,yes,bungalow
448,120000,5500,4,2,2,yes,no,yes,no,yes,1,yes,bungalow
450,67000,5400,2,1,2,yes,no,no,no,no,0,yes,Eclectic
452,69000,4815,2,1,1,yes,no,no,no,yes,0,yes,Eclectic
454,73500,7980,3,1,1,yes,no,no,no,no,1,yes,Eclectic
456,75000,3800,3,1,2,yes,yes,yes,no,no,1,yes,Eclectic
458,120900,6000,3,2,4,yes,yes,yes,no,yes,0,yes,bungalow
460,47000,2145,3,1,2,yes,no,yes,no,no,0,yes,Classic
462,49000,2145,3,1,3,yes,no,no,no,no,0,yes,Classic
464,49000,1950,3,2,2,yes,no,yes,no,no,0,yes,Classic
466,52000,2275,3,1,3,yes,no,no,yes,yes,0,yes,Eclectic
468,55000,2015,3,1,2,yes,no,yes,no,no,0,yes,Eclectic
470,56000,2145,4,2,1,yes,no,yes,no,no,0,yes,Eclectic
474,64900,4990,4,2,2,yes,yes,yes,no,no,0,yes,Eclectic
476,85000,6254,4,2,1,yes,no,yes,no,no,1,yes,Eclectic
478,88500,5500,3,2,1,yes,yes,yes,no,no,2,yes,Eclectic
480,89000,5500,3,1,3,yes,no,no,no,no,1,yes,Eclectic
482,95000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,Eclectic
484,51500,4000,2,1,1,yes,no,no,no,no,0,yes,Eclectic
486,118500,4880,4,2,2,yes,no,no,no,yes,1,yes,bungalow
488,44100,8100,2,1,1,yes,no,no,no,no,1,no,Classic
490,50000,5880,2,1,1,yes,no,no,no,no,0,no,Classic
492,53000,6020,3,1,1,yes,no,no,no,no,0,no,Eclectic
494,54000,8400,2,1,1,yes,no,no,no,no,1,no,Eclectic
496,59000,5985,3,1,1,yes,no,yes,no,no,0,no,Eclectic
498,62900,4920,3,1,2,yes,no,no,no,no,1,no,Eclectic
500,65000,8400,4,1,4,yes,no,no,no,no,3,no,Eclectic
502,68500,8100,4,1,4,yes,no,yes,no,yes,2,no,Eclectic
504,70500,5948,3,1,2,yes,no,no,no,yes,0,no,Eclectic
506,71900,4800,2,1,1,yes,yes,yes,no,no,0,no,Eclectic
508,75000,8520,3,1,1,yes,no,no,no,yes,2,no,Eclectic
510,64000,4040,3,1,2,yes,no,no,no,no,1,no,Eclectic
513,62600,4950,4,1,2,yes,no,no,no,yes,0,no,Eclectic
515,58900,6060,2,1,1,yes,no,yes,no,no,1,no,Eclectic
517,95000,6000,3,2,3,yes,yes,no,no,yes,0,no,Eclectic
519,101000,6240,4,2,2,yes,no,no,no,yes,1,no,bungalow
521,103000,7680,4,2,4,yes,yes,no,no,yes,1,no,bungalow
523,108000,6000,4,2,4,yes,no,no,no,yes,1,no,bungalow
525,113000,6000,4,2,4,yes,no,no,no,yes,1,no,bungalow
529,107500,6000,3,2,4,yes,no,no,no,yes,1,no,bungalow
531,113750,6000,3,1,4,yes,yes,no,no,yes,2,no,bungalow
533,70000,12900,3,1,1,yes,no,no,no,no,2,no,Eclectic
535,82000,5000,3,1,3,yes,no,no,no,yes,0,no,Eclectic
537,82500,6000,3,2,4,yes,no,no,no,yes,0,no,Eclectic
539,84000,6500,3,2,3,yes,no,no,no,yes,0,no,Eclectic
541,85000,6525,3,2,4,yes,no,no,no,no,1,no,Eclectic
543,94000,6000,3,2,4,yes,no,no,no,yes,0,no,Eclectic
545,105000,6000,3,2,2,yes,yes,no,no,yes,1,no,bungalow
2,38500,4000,2,1,1,yes,no,no,no,no,0,no,Classic
4,60500,6650,3,1,2,yes,yes,no,no,no,0,no,Eclectic
6,66000,4160,3,1,1,yes,yes,yes,no,yes,0,no,Eclectic
8,69000,4160,3,1,3,yes,no,no,no,no,0,no,Eclectic
10,88500,5500,3,2,4,yes,yes,no,no,yes,1,no,Eclectic
12,30500,3000,2,1,1,no,no,no,no,no,0,no,Classic
14,36000,2880,3,1,1,no,no,no,no,no,0,no,Classic
18,40750,5200,4,1,3,yes,no,no,no,no,0,no,Classic
20,45000,3986,2,2,1,no,yes,yes,no,no,1,no,Classic
22,65900,4510,4,2,2,yes,no,yes,no,no,0,no,Eclectic
24,38000,3934,2,1,1,yes,no,no,no,no,0,no,Classic
26,42300,3000,2,1,2,yes,no,no,no,no,0,no,Classic
28,44000,4960,2,1,1,yes,no,yes,no,yes,0,no,Classic
30,44900,4500,3,1,2,yes,no,no,no,yes,0,no,Classic
32,48000,3500,4,1,2,yes,no,no,no,yes,2,no,Classic
34,51500,4500,2,1,1,yes,no,no,no,no,0,no,Eclectic
36,61000,4500,2,1,1,yes,no,no,no,yes,2,no,Eclectic
40,54500,3150,2,2,1,no,no,yes,no,no,0,no,Eclectic
42,70000,4520,3,1,2,yes,no,yes,no,yes,0,no,Eclectic
44,92000,8580,5,3,2,yes,no,no,no,no,2,no,Eclectic
46,44000,2160,3,1,2,no,no,yes,no,no,0,no,Classic
48,43000,3090,3,1,2,no,no,no,no,no,0,no,Classic
50,54800,3350,3,1,2,yes,no,no,no,no,0,no,Eclectic
52,57000,4100,4,1,1,no,no,yes,no,no,0,no,Eclectic
54,95000,4040,3,1,2,yes,no,yes,yes,no,1,no,Eclectic
56,25000,3620,2,1,1,yes,no,no,no,no,0,no,Classic
58,56000,7260,3,2,1,yes,yes,yes,no,no,3,no,Eclectic
60,30000,2400,3,1,2,yes,no,no,no,no,0,no,Classic
62,48000,4750,2,1,1,yes,no,no,no,no,0,no,Classic
64,54000,4820,3,1,2,yes,no,no,no,no,0,no,Eclectic
66,60000,5500,3,1,2,yes,no,no,no,yes,0,no,Eclectic
68,67000,6000,2,1,1,yes,no,yes,no,yes,1,no,Eclectic
70,70000,4095,3,1,2,no,yes,yes,no,yes,0,no,Eclectic
72,51000,3150,3,1,2,yes,no,yes,no,no,0,no,Eclectic
74,34000,2475,3,1,2,yes,no,no,no,no,0,no,Classic
76,36000,3180,3,1,1,no,no,no,no,no,0,no,Classic
78,47000,3180,4,1,2,yes,no,yes,no,yes,0,no,Classic
80,63900,6360,2,1,1,yes,no,yes,no,yes,1,no,Eclectic
82,35000,3240,2,1,1,no,yes,no,no,no,1,no,Classic
84,43000,3240,3,1,2,yes,no,no,no,no,2,no,Classic
86,57000,6480,3,1,2,no,no,no,no,yes,1,no,Eclectic
88,78000,3150,3,2,1,yes,yes,yes,no,yes,0,no,Eclectic
90,44000,3090,2,1,1,yes,yes,yes,no,no,0,no,Classic
92,58000,5900,4,2,2,no,no,yes,no,no,1,no,Eclectic
94,128000,8500,3,2,4,yes,no,no,no,yes,2,no,bungalow
96,39000,6800,2,1,1,yes,no,no,no,no,0,no,Classic
98,59900,8250,3,1,1,yes,no,yes,no,no,3,no,Eclectic
100,43000,2835,2,1,1,yes,no,no,no,no,0,no,Classic
102,79000,3300,3,3,2,yes,no,yes,no,no,0,no,Eclectic
106,43000,4600,2,1,1,yes,no,no,no,no,0,no,Classic
108,58500,3680,3,2,2,yes,no,no,no,no,0,no,Eclectic
110,63500,3750,2,1,1,yes,yes,yes,no,no,0,no,Eclectic
112,46500,4500,2,1,1,no,no,no,no,no,0,no,Classic
114,75000,4260,4,1,2,yes,no,yes,no,yes,0,no,Eclectic
116,85000,3700,4,1,2,yes,yes,no,no,yes,0,no,Eclectic
118,94500,4000,3,2,2,yes,no,yes,no,yes,1,no,Eclectic
120,116000,6840,5,1,2,yes,yes,yes,no,yes,1,no,bungalow
122,80000,10500,4,2,2,yes,no,no,no,no,1,no,Eclectic
124,59500,4840,3,1,2,yes,no,no,no,no,1,no,Eclectic
126,95000,4260,4,2,2,yes,no,no,yes,no,0,no,Eclectic
128,122500,8800,3,2,2,yes,no,no,no,yes,2,no,bungalow
130,127000,4600,3,2,2,yes,yes,no,no,yes,2,no,bungalow
134,50500,3850,3,1,1,yes,no,no,no,no,2,no,Eclectic
136,90000,6000,4,2,4,yes,no,no,no,no,1,no,Eclectic
138,35000,7700,2,1,1,yes,no,no,no,no,0,no,Classic
144,51000,4500,2,1,1,no,no,no,no,no,0,no,Eclectic
146,44000,4500,2,1,2,yes,no,no,yes,no,1,no,Classic
148,62000,4500,3,2,3,yes,no,no,yes,no,1,no,Eclectic
150,50000,4600,4,1,2,yes,no,no,no,no,0,no,Classic
152,35500,3000,3,1,2,no,no,no,no,no,0,no,Classic
154,42000,3600,3,1,2,no,no,no,no,no,1,no,Classic
156,60000,2610,4,3,2,no,no,no,no,no,0,no,Eclectic
158,60000,2747,4,2,2,no,no,no,no,no,0,no,Eclectic
160,63000,3968,3,1,2,no,no,no,no,no,0,no,Eclectic
164,50000,2135,3,2,2,no,no,no,no,no,0,no,Classic
166,62000,4075,3,1,1,yes,yes,yes,no,no,2,no,Eclectic
168,38000,2800,3,1,1,yes,no,no,no,no,0,no,Classic
170,48000,3100,3,1,2,no,no,yes,no,no,0,no,Classic
172,32000,1950,3,1,1,no,no,no,yes,no,0,no,Classic
174,46000,4320,3,1,1,no,no,no,no,no,1,no,Classic
178,69900,3420,4,2,2,yes,no,yes,no,yes,2,no,Eclectic
180,42000,3660,4,1,2,no,no,no,no,no,0,no,Classic
182,50000,3990,3,1,2,yes,no,no,no,no,0,no,Classic
184,63900,3510,3,1,2,yes,no,no,no,no,0,no,Eclectic
186,54000,3420,2,1,2,yes,no,no,yes,no,1,no,Eclectic
188,47000,3480,4,1,2,no,no,no,no,no,1,no,Classic
190,57250,3460,4,1,2,yes,no,no,no,yes,0,no,Eclectic
192,52500,3630,2,1,1,yes,no,no,no,yes,0,no,Eclectic
194,57500,3460,3,2,1,yes,no,yes,no,yes,1,no,Eclectic
196,34400,3635,2,1,1,no,no,no,no,no,0,no,Classic
200,52000,3570,3,1,2,yes,no,yes,no,no,0,no,Eclectic
202,53900,2520,5,2,1,no,no,yes,no,yes,1,no,Eclectic
204,55500,3180,4,2,2,yes,no,no,no,no,0,no,Eclectic
206,60000,4000,4,2,2,no,no,no,no,no,0,no,Eclectic
208,69500,4350,2,1,1,yes,no,yes,no,no,0,no,Eclectic
210,92500,3960,3,1,1,yes,no,yes,no,no,2,no,Eclectic
212,42000,2700,2,1,1,no,no,no,no,no,0,no,Classic
214,52000,3180,3,1,2,no,no,yes,no,no,0,no,Eclectic
216,41000,3630,2,1,1,yes,no,no,no,no,0,no,Classic
218,42000,3150,3,1,2,no,no,no,no,no,0,no,Classic
220,64500,3510,3,1,3,yes,no,no,no,no,0,no,Eclectic
222,58000,3000,4,1,3,yes,no,yes,no,yes,2,no,Eclectic
226,70800,2800,3,2,2,no,no,yes,no,yes,1,no,Eclectic
228,48000,3185,2,1,1,yes,no,yes,no,no,2,no,Classic
230,79000,3650,3,2,2,yes,no,no,no,no,2,no,Eclectic
232,87000,6615,4,2,2,yes,yes,no,yes,no,1,no,Eclectic
236,42500,4352,4,1,2,no,no,no,no,no,1,no,Classic
238,50000,3600,6,1,2,yes,no,no,no,no,1,no,Classic
240,30000,3000,4,1,2,yes,no,no,no,no,0,no,Classic
242,52000,3000,2,1,2,yes,no,no,no,yes,0,no,Eclectic
244,27000,3649,2,1,1,yes,no,no,no,no,0,no,Classic
246,37200,2910,2,1,1,no,no,no,no,no,0,no,Classic
248,42000,6615,3,1,2,yes,no,no,no,no,0,no,Classic
250,45000,3450,3,1,2,yes,no,yes,no,no,0,no,Classic
252,52000,3520,2,2,1,yes,no,yes,no,no,0,no,Eclectic
257,71000,4410,4,3,2,yes,no,yes,no,no,2,no,Eclectic
259,33500,3640,2,1,1,yes,no,no,no,no,0,no,Classic
261,41000,5400,4,1,2,yes,no,no,no,no,0,no,Classic
263,48500,3640,2,1,1,yes,no,no,no,no,0,no,Classic
265,50000,3640,2,1,1,yes,no,no,no,no,1,no,Classic
267,52500,5640,2,1,1,no,no,no,no,no,0,no,Eclectic
269,54000,3600,2,1,1,yes,no,no,no,no,0,no,Eclectic
271,60000,3640,3,2,2,yes,no,yes,no,no,0,no,Eclectic
273,64000,4510,4,1,2,yes,no,no,no,yes,2,no,Eclectic
275,65000,3640,3,1,2,yes,no,no,no,yes,0,no,Eclectic
277,70000,6300,3,1,1,yes,no,no,no,yes,2,no,Eclectic
279,57000,3960,3,1,2,yes,no,no,no,no,0,no,Eclectic
281,54000,5830,2,1,1,yes,no,no,no,no,2,no,Eclectic
283,90000,4100,3,2,3,yes,no,no,no,yes,2,no,Eclectic
285,45000,9000,3,1,2,yes,no,no,no,no,2,no,Classic
287,55000,7152,3,1,2,yes,no,no,no,yes,0,no,Eclectic
289,30000,3360,2,1,1,yes,no,no,no,no,1,no,Classic
291,38000,4000,3,1,1,yes,no,no,no,no,0,no,Classic
293,45000,3069,2,1,1,yes,no,no,no,no,1,no,Classic
295,47500,4040,2,1,1,yes,no,no,no,no,1,no,Classic
297,50000,5900,2,1,1,yes,no,no,no,no,1,no,Classic
299,52900,5450,2,1,1,yes,no,no,no,no,0,no,Eclectic
303,58500,4040,2,1,2,yes,no,no,no,no,1,no,Eclectic
305,60000,5800,3,1,1,yes,no,no,yes,no,2,no,Eclectic
307,67000,9667,4,2,2,yes,yes,yes,no,no,1,no,Eclectic
309,70000,5800,2,1,1,yes,yes,yes,no,yes,0,no,Eclectic
311,57500,5400,3,1,1,yes,no,no,no,no,3,no,Eclectic
313,70000,3000,3,1,2,yes,no,yes,no,yes,0,no,Eclectic
315,76900,6450,3,2,1,yes,yes,yes,yes,no,0,no,Eclectic
319,83000,5828,4,1,4,yes,yes,no,no,no,0,no,Eclectic
321,83900,5500,3,1,3,yes,yes,no,no,yes,1,no,Eclectic
