"userid","itemid","rating"
38,1387,4.5
11,471,1
22,356,3
36,377,5
38,1388,3
11,474,3
22,370,3
36,434,3
38,1389,1
11,480,3
22,480,3
36,454,4
38,1396,3
11,481,1
22,520,3.5
36,457,5
38,1407,4
11,485,2
22,592,3.5
36,480,4
38,1438,3
11,490,2
22,595,3.5
36,588,3
38,1499,1.5
11,492,3
22,780,3.5
36,590,4
38,1500,5
11,509,3
22,1198,3.5
36,592,3
38,1517,4
11,515,3
22,1207,3
36,595,4
38,1527,4.5
11,517,2
22,1210,3.5
15,1,4
38,1544,3.5
11,529,3
22,1278,3
15,318,4
38,1552,3.5
11,533,2
22,1371,3
15,356,3
38,1573,4
11,535,2
22,1372,3.5
15,1188,2
38,1584,2.5
11,541,3
22,1375,4
15,1307,2.5
38,1587,4
11,551,3
22,1376,3.5
15,1704,3.5
38,1590,4
11,552,2
22,1380,3
15,3408,4
38,1591,3.5
11,555,3
22,2470,3
15,3481,1
38,1597,3
11,588,4
22,2529,2
15,3536,2
38,1603,3.5
11,589,4
22,3977,3.5
15,3752,1.5
38,1610,3.5
11,590,3
22,4993,3.5
15,3824,1
38,1625,4
11,592,4
22,5060,3
15,3825,3.5
38,1639,5
11,593,3
22,5378,3.5
15,3882,2.5
38,1644,4.5
11,594,3
22,5952,3.5
15,3967,3
38,1645,1.5
11,595,5
22,7153,3.5
15,3977,2
38,1653,4.5
11,596,3
39,175,4
15,4014,3
38,1676,5
11,608,4
39,318,5
15,4018,2
38,1682,4.5
11,616,2
39,356,5
15,4025,2.5
38,1690,3.5
11,648,3
39,435,1
15,4033,3
38,1707,1.5
11,653,2
39,497,2
15,4054,3
38,1711,5
11,661,3
39,594,4
15,4069,2.5
38,1717,4
11,671,3
39,653,3
15,4155,2
38,1732,4
11,673,1
39,750,2
15,4246,4
38,1747,4
11,720,4
39,785,4.5
15,4306,3
38,1748,5
11,733,2
39,799,3
15,4310,3
38,1760,0.5
11,736,1
39,829,0.5
15,4447,2
38,1779,3.5
11,745,4
39,1206,3
15,4639,2
38,1831,2.5
11,750,4
39,1210,5
15,4700,2
38,1846,0.5
11,780,2
39,1259,5
15,4963,4
38,1862,1
11,783,3
39,1343,2
15,4993,3.5
38,1876,3
11,786,2
39,1584,4
15,5151,2
38,1882,3.5
11,788,3
39,1968,4
15,5296,0.5
38,1892,3.5
11,799,3
39,2004,2.5
15,5349,3.5
38,1895,4
11,804,2
39,2355,4
15,5415,3
38,1909,4.5
11,832,2
39,2836,4
15,5418,4.5
38,1917,2.5
11,836,1
39,2918,5
15,5620,3
38,1921,4
11,858,3
39,2959,5
15,5669,4
38,1924,3
11,861,3
39,3996,5
15,5812,2.5
38,1955,2.5
11,898,4
39,4545,2
15,5816,3
38,1961,4.5
11,899,4
39,5095,4
15,5952,3.5
38,1968,4
11,903,3
39,5283,4
15,5989,2.5
38,1969,3.5
11,904,4
39,6367,1
15,6155,3.5
38,1970,4
11,908,5
39,6482,5
15,6281,2.5
38,1971,2
11,909,4
39,6942,4.5
15,6373,2
38,1972,3.5
11,910,4
39,7150,3
15,6378,3.5
38,1973,1.5
11,912,4
37,1,3.5
15,6503,2
38,1974,4.5
11,913,4
37,6,4.5
15,6539,5
38,1975,2.5
11,914,3
37,10,3
15,6593,2
38,1976,1
11,916,4
37,27,3
15,6942,3.5
38,1977,3.5
11,919,4
37,32,4
15,7153,3.5
38,1978,3.5
11,923,4
37,47,3.5
15,7154,3
38,1979,2.5
11,924,3
37,50,4
15,7162,3
38,1980,2.5
11,928,3
37,70,3.5
15,7173,1.5
38,1981,2
11,929,4
37,97,4
15,7293,3
38,1983,2.5
11,940,3
37,110,3
15,7323,3
38,1984,4
11,943,3
37,111,4
15,7361,2.5
38,1985,2.5
11,944,3
37,123,5
15,7444,1.5
38,1986,3.5
11,947,3
37,158,2.5
15,7451,3
38,1991,4.5
11,953,4
37,161,4
15,7458,4.5
38,1992,3.5
11,954,4
37,180,3.5
15,8368,3
38,1993,4
11,965,4
37,208,2.5
15,8533,5
38,1994,5
11,969,4
37,223,4
15,8636,3.5
38,1995,3.5
11,973,3
37,235,4
15,8665,4
38,1996,3.5
11,1016,2
37,241,1.5
15,8969,3
38,1997,3.5
11,1022,2
37,253,2.5
15,8970,3.5
38,1999,3.5
11,1023,4
37,260,4.5
15,8984,3.5
38,2000,4
11,1025,3
37,292,3
15,30793,2
38,2001,3.5
11,1028,3
37,293,4
15,31685,3
38,2003,4
11,1029,4
37,318,4
15,33679,3.5
38,2004,4.5
11,1030,2
37,329,2.5
15,35836,1.5
38,2005,3
11,1031,2
37,349,3.5
15,40629,5
38,2009,4.5
11,1032,3
37,380,2.5
15,40815,3.5
38,2010,1.5
11,1033,2
37,393,2
15,40819,2
38,2011,4
11,1035,3
37,431,4
15,45447,4
38,2012,3
11,1036,4
37,457,3.5
15,45501,2.5
38,2021,4
11,1057,3
37,480,3
15,45722,4.5
38,2026,4
11,1060,3
37,485,3
15,45950,2.5
38,2050,1
11,1073,4
37,509,3
15,49286,3.5
38,2054,1.5
11,1077,4
37,527,4
15,51540,2
38,2058,4.5
11,1081,2
37,541,3
15,51935,3.5
38,2060,5
11,1088,2
37,586,2
15,52722,3
38,2072,4.5
11,1093,2
37,587,3
15,52973,2
38,2076,2
11,1095,3
37,589,3.5
15,53125,4.5
38,2082,2.5
11,1097,4
37,590,3.5
15,53322,2.5
38,2100,2
11,1127,3
37,593,4
15,54001,4.5
38,2105,4
11,1129,3
37,597,3
15,54286,5
38,2107,2
11,1131,4
37,608,4
15,56367,3
38,2115,3.5
11,1132,4
37,733,3
15,56949,3
38,2116,3
11,1147,4
37,741,3
15,58047,3.5
38,2117,3.5
11,1148,4
37,750,3.5
15,58998,3
38,2119,4
11,1171,3
37,754,2.5
15,59315,4.5
38,2120,2
11,1190,3
37,780,2.5
15,59369,4.5
38,2121,2
11,1193,3
37,858,4
15,63082,4.5
38,2122,3.5
11,1196,4
37,908,4
15,63113,3
38,2124,4
11,1197,4
37,928,4
15,63992,2.5
38,2134,3.5
11,1198,5
37,1036,3.5
15,64622,2.5
38,2139,2.5
11,1199,4
37,1037,2
15,64957,2.5
38,2140,4.5
11,1200,4
37,1089,4
15,67255,4.5
38,2160,3
11,1204,4
37,1090,4
15,68135,2.5
38,2161,3.5
11,1206,3
37,1095,4.5
15,68554,3.5
38,2167,4.5
11,1210,3
37,1178,4
15,69122,3
38,2174,4.5
11,1213,4
37,1193,4
15,69406,2.5
38,2186,5
11,1215,3
37,1196,4
15,69757,3
38,2193,4
11,1219,4
37,1197,4
15,69844,4
38,2194,4.5
11,1220,2
37,1199,5
15,73017,3
38,2232,4
11,1224,4
37,1210,4
15,77561,4
38,2245,2.5
11,1225,4
37,1212,4.5
15,79132,3.5
38,2247,2
11,1228,3
37,1213,5
15,79293,3.5
38,2256,2.5
11,1230,4
37,1218,3.5
15,80463,3
38,2268,4
11,1238,3
37,1219,4
15,80549,4.5
38,2269,2
11,1240,4
37,1221,4
15,81834,4
38,2279,4.5
11,1244,4
37,1222,3
15,81845,4.5
38,2287,3.5
11,1245,2
37,1227,3
15,81847,4
38,2288,4.5
11,1246,2
37,1228,4
15,85414,3
38,2289,2
11,1248,3
37,1233,4
15,86332,4
38,2291,5
11,1250,4
37,1237,4
15,86833,2.5
38,2311,4
11,1252,3
37,1245,4
15,88125,4
38,2328,3
11,1253,4
37,1249,3
15,88129,3
38,2338,4
11,1254,3
37,1250,3.5
15,88163,5
38,2346,3.5
11,1261,3
37,1252,4
15,89745,4
38,2354,2
11,1267,4
37,1258,5
15,91500,4.5
38,2363,3.5
11,1268,3
37,1260,4.5
15,91529,4
38,2364,3.5
11,1270,4
37,1262,3
15,93988,4
38,2366,4
11,1273,4
37,1263,2
15,95510,4
38,2367,3.5
11,1278,4
37,1266,3.5
15,96079,4
38,2379,2.5
11,1282,3
37,1267,4.5
15,96610,3.5
38,2399,2.5
11,1284,4
37,1270,3.5
15,97304,4
38,2403,3.5
11,1286,2
37,1274,3.5
15,97752,3
38,2405,4
11,1288,4
37,1275,3
15,97921,3
38,2406,3.5
11,1291,3
37,1285,3
15,98961,2.5
38,2407,2
11,1298,2
37,1288,5
15,99114,4
38,2408,1.5
11,1301,4
37,1302,3
15,104374,3
38,2422,3.5
11,1302,3
37,1356,3.5
15,106487,4.5
38,2428,4.5
11,1304,4
37,1371,2
15,106696,4.5
38,2446,4.5
11,1320,2
37,1372,3
15,108190,3
38,2448,1.5
11,1333,4
37,1373,2
15,112556,3.5
38,2454,4
11,1348,3
37,1374,4
15,116823,4.5
38,2455,3.5
11,1356,3
37,1375,2.5
30,34,4
38,2456,4
11,1370,1
37,1376,3
30,111,5
38,2459,4
11,1371,2
37,1380,2
30,296,3
38,2460,2.5
11,1372,3
37,1387,4
30,428,3
38,2461,2.5
11,1373,1
37,1388,3
30,527,4
38,2462,2
11,1374,4
37,1389,1.5
30,541,4
38,2464,4
11,1375,3
37,1391,1
30,592,5
38,2468,2
11,1376,5
37,1394,1.5
30,593,5
38,2470,3
11,1377,3
37,1405,3
30,608,5
38,2471,3
11,1385,3
37,1460,2.5
30,858,5
38,2474,3.5
11,1387,4
37,1466,3
30,923,4
38,2513,4
11,1391,3
37,1500,3.5
30,986,5
38,2517,4
11,1396,2
37,1527,3
30,1030,4
38,2521,1
11,1407,3
37,1573,4
30,1036,5
38,2522,1
11,1408,4
37,1580,3
30,1081,3
38,2525,4
11,1466,4
37,1610,3.5
30,1097,5
38,2527,4
11,1488,3
37,1617,4
30,1101,5
38,2528,4
11,1544,2
37,1625,3.5
30,1124,5
38,2542,2
11,1552,1
37,1635,4.5
30,1127,5
38,2548,4
11,1562,1
37,1639,4
30,1129,3
38,2550,4
11,1566,3
37,1645,2.5
30,1130,3
38,2553,3.5
11,1573,3
37,1673,2
30,1135,5
38,2554,3
11,1580,3
37,1676,3.5
30,1196,5
38,2571,4.5
11,1587,3
37,1681,2
30,1210,5
38,2580,4.5
11,1591,1
37,1682,4
30,1220,5
38,2606,5
11,1608,2
37,1688,2.5
30,1221,4
38,2617,4
11,1610,3
37,1704,4
30,1225,3
38,2628,2.5
11,1616,2
37,1721,3
30,1227,3
38,2635,3
11,1617,3
37,1729,3
30,1230,5
38,2640,2
11,1639,4
37,1748,4
30,1231,5
38,2641,2.5
11,1645,3
37,1779,2.5
30,1233,3
38,2642,2
11,1674,4
37,1784,4
30,1238,3
38,2644,3.5
11,1676,3
37,1876,3.5
30,1240,5
38,2648,3.5
11,1682,3
37,1885,3
30,1258,5
38,2657,4.5
11,1690,2
37,1889,4
30,1259,5
38,2662,3.5
11,1704,3
37,1916,5
30,1270,5
38,2664,3
11,1721,3
37,1917,2.5
30,1290,3
38,2668,3
11,1722,2
37,1953,4
30,1297,2
38,2671,3.5
11,1729,3
37,1997,4
30,1298,5
38,2672,4.5
11,1805,3
37,2005,2.5
30,1299,3
38,2681,4
11,1831,2
37,2011,3
30,1307,5
38,2683,4
11,1836,3
37,2012,3
30,1321,5
38,2699,4
11,1876,3
37,2019,4
30,1358,4
38,2700,5
11,1882,1
37,2023,4
30,1378,3
38,2706,4.5
11,1907,3
37,2025,3.5
30,1394,2
38,2709,3
11,1909,3
37,2028,4
30,1395,3
38,2710,4
11,1912,3
37,2046,2.5
30,1420,4
38,2713,5
11,1939,5
37,2051,1.5
30,1421,4
38,2716,4.5
11,1941,3
37,2054,2
30,1587,3
38,2717,4
11,1944,4
37,2124,3
30,1663,5
38,2719,3
11,1954,4
37,2138,3
30,1674,4
38,2722,4.5
11,1959,3
37,2141,2
30,1927,3
38,2723,3.5
11,1961,3
37,2143,3
30,1957,2
38,2739,3.5
11,1965,1
37,2160,4
30,1958,5
38,2746,3.5
11,1966,3
37,2194,3.5
30,1962,3
38,2747,4.5
11,1994,4
37,2232,4
30,1965,2
38,2761,5
11,2000,2
37,2268,3.5
30,1968,5
38,2762,4.5
11,2006,3
37,2273,3
30,1994,5
38,2782,3.5
11,2011,2
37,2278,4.5
30,2003,5
38,2787,3.5
11,2012,2
37,2282,3
30,2028,5
38,2789,3.5
11,2015,3
37,2289,3
30,2089,4
38,2790,4
11,2018,3
37,2318,4
30,2105,3
38,2791,3
11,2020,4
37,2349,2.5
30,2110,3
38,2793,2
11,2021,3
37,2353,3.5
30,2111,3
38,2841,4
11,2023,3
37,2360,4.5
30,2114,3
38,2854,4
11,2028,4
37,2393,2
30,2130,4
38,2863,0.5
11,2033,2
37,2413,3.5
30,2133,3
38,2867,4
11,2034,3
37,2427,4
30,2145,3
38,2868,2.5
11,2038,2
37,2476,1.5
30,2146,5
38,2898,2
11,2041,1
37,2492,4
30,2174,3
38,2899,3
11,2043,3
37,2502,4
30,2194,4
38,2902,3.5
11,2054,3
37,2524,3
30,2240,4
38,2903,3.5
11,2071,3
37,2549,1.5
30,2243,3
38,2916,4
11,2078,3
37,2571,3
30,2245,3
38,2918,4
11,2080,3
37,2594,4
30,2247,3
38,2944,3.5
11,2081,4
37,2617,3
30,2262,3
38,2947,3
11,2085,3
37,2628,2.5
30,2301,5
38,2959,4
11,2087,3
37,2683,3.5
30,2313,4
38,2974,3.5
11,2088,4
37,2700,4
30,2344,3
38,2987,4
11,2089,3
37,2706,2.5
30,2352,5
38,2989,3.5
11,2090,3
37,2707,4
30,2369,3
38,2991,4.5
11,2094,3
37,2710,4
30,2372,2
38,2993,4
11,2095,2
37,2712,4.5
30,2374,3
38,2995,4
11,2096,3
37,2716,4
30,2378,4
38,3000,5
11,2099,2
37,2717,3
30,2405,3
38,3016,3.5
11,2100,3
37,2722,2.5
30,2406,5
38,3017,3
11,2105,3
37,2729,4
30,2407,4
38,3018,4
11,2115,3
37,2762,3
30,2418,3
38,3020,4.5
11,2126,2
37,2791,4
30,2420,5
38,3024,4
11,2133,3
37,2792,2.5
30,2423,5
38,3033,2.5
11,2137,3
37,2810,4
30,2469,3
38,3034,2.5
11,2139,3
37,2840,2
30,2474,5
38,3052,5
11,2140,3
37,2858,4
30,2478,2
38,3054,0.5
11,2143,2
37,2872,3
30,2517,5
38,3060,2.5
11,2153,1
37,2890,4
30,2539,4
38,3081,4
11,2161,2
37,2905,3.5
30,2641,5
38,3087,3.5
11,2174,4
37,2918,3.5
30,2716,5
38,3101,2.5
11,2186,4
37,2944,2.5
30,2717,3
38,3107,3.5
11,2193,2
37,2959,4
30,2749,3
38,3108,4
11,2194,4
37,2983,3
30,2791,3
38,3113,4
11,2203,4
37,2997,4
30,2802,4
38,3168,2
11,2204,4
37,3000,4
30,2852,3
38,3175,5
11,2243,3
37,3006,4
30,2859,5
38,3176,1
11,2248,3
37,3052,4.5
30,2915,5
38,3258,2.5
11,2268,2
37,3081,3
30,2942,3
38,3273,3.5
11,2287,3
37,3105,4
30,2968,5
38,3274,4
11,2291,4
37,3160,2.5
30,2985,3
38,3285,3.5
11,2294,3
37,3174,4
30,2987,5
38,3300,4
11,2311,2
37,3175,3.5
30,3019,4
38,3317,4.5
11,2355,2
37,3192,4
30,3029,3
38,3354,2.5
11,2366,4
37,3253,3
30,3036,3
38,3386,3
11,2367,2
37,3254,2.5
30,3039,5
38,3396,2.5
11,2374,3
37,3265,4
30,3068,3
38,3409,4.5
11,2391,3
37,3275,3
30,3071,3
38,3421,4
11,2393,1
37,3328,3.5
30,3072,4
38,3429,4
11,2394,3
37,3339,4
30,3087,3
38,3432,3
11,2396,4
37,3354,2.5
30,3098,5
38,3435,3.5
11,2405,2
37,3355,3
30,3101,5
38,3445,4
11,2406,3
37,3362,4
30,3102,4
38,3461,3
11,2409,3
37,3386,4
30,3104,4
38,3468,4
11,2410,2
37,3438,2
30,3110,4
38,3471,3.5
11,2411,1
37,3476,4.5
30,3111,3
38,3476,4
11,2414,3
37,3481,4
30,3142,5
38,3479,4.5
11,2428,3
37,3503,3.5
30,3169,3
38,3481,5
11,2431,1
37,3504,5
30,3197,3
38,3499,3.5
11,2450,1
37,3513,1.5
30,3210,5
38,3527,3.5
11,2455,3
37,3519,2.5
30,3308,4
38,3550,3.5
11,2457,2
37,3538,3.5
30,3347,5
38,3552,3
11,2468,2
37,3578,3.5
30,3361,5
38,3563,3.5
11,2527,2
37,3617,2
30,3371,3
38,3614,3
11,2528,3
37,3683,4
30,3395,2
38,3617,4
11,2549,1
37,3706,3.5
30,3398,5
38,3638,4
11,2571,4
37,3726,3
30,3441,5
38,3660,2
11,2599,3
37,3727,3.5
30,3448,5
38,3661,1.5
11,2613,3
37,3730,3.5
30,3471,5
38,3662,2.5
11,2616,3
37,3735,4
30,3505,5
38,3668,2
11,2617,2
37,3798,3
30,3524,3
38,3686,3.5
11,2628,3
37,3857,2.5
30,3525,5
38,3696,3.5
11,2640,4
37,3863,2
30,3527,3
38,3697,3
11,2641,3
37,3897,3
30,3529,5
38,3698,4
11,2642,1
37,3947,4
30,3543,3
38,3701,2
11,2643,1
37,3949,4.5
30,3552,5
38,3702,4.5
11,2644,3
37,3950,3
47,6,3
38,3703,5
11,2648,4
37,3996,3.5
47,858,5
38,3704,3.5
11,2652,3
37,4007,3.5
47,1092,2
38,3708,3
11,2654,3
37,4011,3.5
47,1616,3
38,3726,4
11,2657,3
37,4014,4
47,1617,3
38,3740,4.5
11,2660,3
37,4019,2.5
47,1667,2
38,3766,0.5
11,2664,4
37,4027,3
47,2336,3
38,3785,2
11,2683,3
37,4034,3
47,2490,3
38,3791,3.5
11,2687,4
37,4056,4
47,2580,4
38,3793,4.5
11,2688,2
37,4124,2
47,2599,4
38,3802,3
11,2699,2
37,4144,3.5
47,2605,3
38,3805,4
11,2700,4
37,4167,2
47,2683,3
38,3825,4
11,2706,3
37,4168,2.5
47,2694,3
38,3827,4
11,2710,3
37,4210,4
47,2701,2
38,3840,4.5
11,2716,3
37,4223,3
47,2706,3
38,3864,3
11,2723,3
37,4226,4
47,2710,2
38,3869,3
11,2746,3
37,4270,2.5
47,2712,3
38,3889,3.5
11,2761,4
37,4275,1.5
47,2762,4
38,3908,3.5
11,2762,4
37,4306,3.5
47,2881,3
38,3917,5
11,2770,2
37,4308,1.5
47,3005,3
38,3918,4.5
11,2788,3
37,4326,4
47,3101,3
38,3919,3.5
11,2791,3
37,4344,3.5
47,3113,2
38,3923,3.5
11,2792,2
37,4367,2.5
47,3176,3
38,3932,2.5
11,2797,4
37,4369,2.5
47,3354,2
38,3956,2
11,2804,4
37,4378,4
45,16,3.5
38,3961,3
11,2808,2
37,4448,3
45,17,3
38,3962,2
11,2826,3
37,4571,3.5
45,50,4
38,3973,3.5
11,2858,3
37,4641,4
45,58,3
38,3981,3.5
11,2862,1
37,4654,1.5
45,97,3
38,3986,4
11,2863,4
37,4700,2.5
45,111,4
38,3994,5
11,2872,2
37,4701,2.5
45,260,2
38,3997,3.5
11,2881,3
37,4720,4
45,296,2.5
38,4041,3
11,2906,2
37,4725,4
45,306,4
38,4085,4
11,2912,3
37,4734,3
45,318,4
38,4095,4.5
11,2916,2
37,4770,2.5
45,475,3.5
38,4105,4
11,2926,3
37,4776,4
45,527,2
38,4121,3
11,2935,4
37,4821,2.5
45,541,3
38,4124,3
11,2936,3
37,4848,4
45,593,3
38,4128,3.5
11,2946,3
37,4849,4.5
45,608,3.5
38,4133,3.5
11,2947,4
37,4865,2.5
