"orderid","orderdate","orderqty","region","customer_segment","prd_category","product"
26023,2010-08-20,49,"northwest territories","corporate","office supplies","rubber bands"
34177,2009-08-15,26,"northwest territories","corporate","office supplies","labels"
59202,2012-09-08,7,"atlantic","consumer","office supplies","labels"
16706,2012-06-27,6,"northwest territories","corporate","office supplies","pens & art supplies"
5894,2009-08-12,7,"nunavut","corporate","office supplies","binders and binder accessories"
34177,2009-08-15,50,"northwest territories","corporate","technology","telephones and communication"
59202,2012-09-08,36,"atlantic","consumer","office supplies","pens & art supplies"
16706,2012-06-27,49,"northwest territories","corporate","technology","telephones and communication"
5894,2009-08-12,3,"nunavut","corporate","office supplies","appliances"
12704,2010-02-09,44,"northwest territories","small business","technology","copiers and fax"
28675,2009-10-08,15,"northwest territories","consumer","technology","telephones and communication"
13280,2009-09-11,40,"northwest territories","small business","office supplies","storage & organization"
6016,2012-01-20,19,"nunavut","home office","office supplies","paper"
12704,2010-02-09,28,"northwest territories","small business","office supplies","storage & organization"
53511,2009-02-20,41,"northwest territories","small business","office supplies","binders and binder accessories"
13280,2009-09-11,49,"northwest territories","small business","technology","telephones and communication"
27264,2011-06-04,3,"northwest territories","small business","furniture","office furnishings"
40804,2010-03-12,36,"northwest territories","consumer","furniture","chairs & chairmats"
53511,2009-02-20,49,"northwest territories","small business","furniture","office furnishings"
55715,2011-04-02,28,"northwest territories","corporate","office supplies","binders and binder accessories"
52386,2009-01-05,6,"northwest territories","home office","technology","office machines"
998,2009-11-25,16,"nunavut","small business","office supplies","envelopes"
55366,2012-10-10,7,"northwest territories","corporate","technology","computer peripherals"
18887,2010-12-05,9,"northwest territories","corporate","technology","telephones and communication"
28486,2009-08-26,2,"northwest territories","corporate","office supplies","storage & organization"
54567,2009-08-02,31,"northwest territories","small business","furniture","office furnishings"
16193,2012-04-09,8,"northwest territories","corporate","office supplies","storage & organization"
12096,2012-09-19,46,"northwest territories","home office","technology","telephones and communication"
25733,2012-05-12,24,"northwest territories","home office","office supplies","binders and binder accessories"
35847,2009-01-30,23,"northwest territories","corporate","technology","computer peripherals"
16193,2012-04-09,29,"northwest territories","corporate","technology","telephones and communication"
12096,2012-09-19,23,"northwest territories","home office","furniture","office furnishings"
42209,2010-03-29,5,"northwest territories","corporate","office supplies","appliances"
26854,2009-06-21,1,"northwest territories","home office","furniture","office furnishings"
49921,2011-02-17,5,"northwest territories","small business","technology","office machines"
26370,2011-08-08,12,"northwest territories","home office","office supplies","paper"
42209,2010-03-29,31,"northwest territories","corporate","furniture","chairs & chairmats"
15108,2009-08-27,50,"northwest territories","small business","office supplies","paper"
49921,2011-02-17,1,"northwest territories","small business","office supplies","storage & organization"
26370,2011-08-08,20,"northwest territories","home office","office supplies","storage & organization"
23264,2010-12-07,16,"northwest territories","corporate","office supplies","paper"
34215,2011-05-14,6,"northwest territories","home office","office supplies","binders and binder accessories"
36707,2009-11-29,47,"northwest territories","home office","office supplies","rubber bands"
5284,2011-07-08,7,"nunavut","home office","office supplies","binders and binder accessories"
23264,2010-12-07,27,"northwest territories","corporate","office supplies","labels"
43330,2009-04-27,40,"northwest territories","home office","technology","telephones and communication"
25634,2010-07-29,29,"northwest territories","corporate","technology","computer peripherals"
11911,2010-11-10,25,"northwest territories","consumer","office supplies","binders and binder accessories"
50914,2012-07-03,49,"northwest territories","corporate","technology","telephones and communication"
38884,2012-08-17,47,"northwest territories","consumer","office supplies","paper"
25634,2010-07-29,26,"northwest territories","corporate","office supplies","envelopes"
41153,2009-03-02,29,"northwest territories","corporate","technology","computer peripherals"
43267,2011-05-16,17,"northwest territories","home office","office supplies","appliances"
38884,2012-08-17,20,"northwest territories","consumer","furniture","tables"
15907,2011-04-11,36,"northwest territories","home office","furniture","bookcases"
33159,2012-04-27,3,"northwest territories","corporate","technology","telephones and communication"
53156,2012-03-10,47,"northwest territories","corporate","office supplies","labels"
24038,2011-06-20,38,"northwest territories","corporate","office supplies","pens & art supplies"
15907,2011-04-11,36,"northwest territories","home office","furniture","office furnishings"
36646,2010-06-08,24,"northwest territories","small business","office supplies","storage & organization"
26116,2012-10-29,36,"northwest territories","small business","office supplies","paper"
41696,2009-07-13,45,"northwest territories","small business","office supplies","appliances"
15907,2011-04-11,4,"northwest territories","home office","office supplies","paper"
39683,2011-08-10,31,"northwest territories","corporate","office supplies","binders and binder accessories"
7110,2011-08-07,22,"nunavut","corporate","furniture","chairs & chairmats"
11495,2011-07-04,6,"northwest territories","corporate","furniture","tables"
613,2011-06-17,12,"nunavut","corporate","office supplies","binders and binder accessories"
39683,2011-08-10,41,"northwest territories","corporate","furniture","chairs & chairmats"
59558,2012-07-16,34,"atlantic","small business","office supplies","labels"
50117,2011-06-03,17,"northwest territories","small business","office supplies","labels"
613,2011-06-17,22,"nunavut","corporate","office supplies","storage & organization"
39683,2011-08-10,6,"northwest territories","corporate","furniture","office furnishings"
24871,2011-03-23,6,"northwest territories","corporate","furniture","office furnishings"
32743,2010-05-07,19,"northwest territories","corporate","office supplies","appliances"
55875,2009-11-25,50,"northwest territories","small business","furniture","office furnishings"
39683,2011-08-10,30,"northwest territories","corporate","office supplies","rubber bands"
20160,2011-10-22,42,"northwest territories","small business","office supplies","paper"
2277,2011-01-01,10,"nunavut","home office","technology","computer peripherals"
55875,2009-11-25,31,"northwest territories","small business","office supplies","storage & organization"
21636,2009-08-10,35,"northwest territories","home office","technology","telephones and communication"
1154,2012-02-14,44,"nunavut","home office","furniture","bookcases"
2277,2011-01-01,21,"nunavut","home office","office supplies","paper"
43109,2012-12-21,19,"northwest territories","corporate","office supplies","binders and binder accessories"
59585,2012-09-22,45,"atlantic","consumer","technology","office machines"
1154,2012-02-14,11,"nunavut","home office","furniture","tables"
37860,2010-08-27,1,"northwest territories","corporate","furniture","office furnishings"
43109,2012-12-21,25,"northwest territories","corporate","technology","computer peripherals"
51938,2011-05-17,5,"northwest territories","corporate","technology","telephones and communication"
21607,2012-03-15,17,"northwest territories","home office","office supplies","pens & art supplies"
30947,2010-07-14,17,"northwest territories","corporate","office supplies","binders and binder accessories"
43109,2012-12-21,10,"northwest territories","corporate","technology","computer peripherals"
40518,2009-03-13,3,"northwest territories","home office","office supplies","binders and binder accessories"
23584,2012-03-12,14,"northwest territories","corporate","technology","office machines"
30947,2010-07-14,45,"northwest territories","corporate","office supplies","labels"
36644,2012-05-13,24,"northwest territories","corporate","technology","computer peripherals"
22532,2011-02-08,13,"northwest territories","consumer","office supplies","binders and binder accessories"
46912,2012-06-30,5,"northwest territories","home office","furniture","office furnishings"
59047,2011-01-28,10,"atlantic","corporate","technology","computer peripherals"
31077,2010-10-23,36,"northwest territories","small business","technology","telephones and communication"
50754,2009-12-09,9,"northwest territories","consumer","technology","telephones and communication"
31618,2011-07-11,14,"northwest territories","corporate","office supplies","binders and binder accessories"
59047,2011-01-28,26,"atlantic","corporate","furniture","office furnishings"
58626,2011-12-30,23,"atlantic","small business","furniture","chairs & chairmats"
3524,2012-05-02,21,"nunavut","small business","office supplies","paper"
59045,2011-02-13,30,"atlantic","small business","office supplies","binders and binder accessories"
52807,2010-11-25,28,"northwest territories","consumer","office supplies","pens & art supplies"
58626,2011-12-30,21,"atlantic","small business","furniture","chairs & chairmats"
28871,2012-04-15,10,"northwest territories","small business","technology","computer peripherals"
3232,2012-10-08,5,"nunavut","small business","office supplies","binders and binder accessories"
52929,2011-04-08,43,"northwest territories","small business","technology","office machines"
58626,2011-12-30,18,"atlantic","small business","technology","computer peripherals"
14372,2012-10-23,34,"northwest territories","corporate","furniture","bookcases"
31393,2012-05-11,4,"northwest territories","corporate","furniture","office furnishings"
52929,2011-04-08,19,"northwest territories","small business","office supplies","pens & art supplies"
58340,2011-01-08,36,"atlantic","corporate","office supplies","appliances"
15106,2011-01-27,42,"northwest territories","home office","furniture","office furnishings"
31393,2012-05-11,31,"northwest territories","corporate","office supplies","scissors, rulers and trimmers"
52929,2011-04-08,7,"northwest territories","small business","office supplies","pens & art supplies"
24387,2011-08-10,23,"northwest territories","small business","furniture","office furnishings"
15106,2011-01-27,39,"northwest territories","home office","technology","office machines"
49154,2009-03-06,26,"northwest territories","home office","office supplies","appliances"
52929,2011-04-08,20,"northwest territories","small business","office supplies","rubber bands"
24387,2011-08-10,17,"northwest territories","small business","furniture","tables"
15106,2011-01-27,35,"northwest territories","home office","office supplies","pens & art supplies"
16547,2009-02-18,30,"northwest territories","corporate","furniture","chairs & chairmats"
9127,2011-10-10,7,"northwest territories","corporate","office supplies","storage & organization"
54628,2010-06-05,21,"northwest territories","home office","technology","computer peripherals"
59234,2012-07-29,32,"atlantic","corporate","office supplies","appliances"
16547,2009-02-18,8,"northwest territories","corporate","furniture","tables"
807,2010-11-23,45,"nunavut","home office","office supplies","paper"
19655,2009-01-11,31,"northwest territories","corporate","technology","computer peripherals"
59234,2012-07-29,16,"atlantic","corporate","furniture","chairs & chairmats"
6982,2011-11-16,32,"nunavut","corporate","technology","computer peripherals"
807,2010-11-23,32,"nunavut","home office","office supplies","rubber bands"
22469,2010-10-11,44,"northwest territories","corporate","technology","telephones and communication"
52321,2011-11-05,48,"northwest territories","small business","office supplies","storage & organization"
6982,2011-11-16,5,"nunavut","corporate","furniture","bookcases"
47749,2010-03-16,46,"northwest territories","small business","office supplies","scissors, rulers and trimmers"
10437,2009-08-18,50,"northwest territories","corporate","office supplies","binders and binder accessories"
52321,2011-11-05,45,"northwest territories","small business","furniture","tables"
6982,2011-11-16,41,"nunavut","corporate","furniture","office furnishings"
19138,2011-09-05,30,"northwest territories","home office","office supplies","storage & organization"
21285,2010-07-03,32,"northwest territories","corporate","office supplies","pens & art supplies"
933,2012-08-04,15,"nunavut","small business","office supplies","binders and binder accessories"
45440,2012-08-09,5,"northwest territories","corporate","furniture","chairs & chairmats"
52193,2010-03-05,1,"northwest territories","corporate","office supplies","labels"
21285,2010-07-03,47,"northwest territories","corporate","office supplies","pens & art supplies"
42695,2010-12-22,12,"northwest territories","small business","technology","telephones and communication"
45766,2010-05-07,37,"northwest territories","home office","furniture","office furnishings"
52193,2010-03-05,47,"northwest territories","corporate","office supplies","pens & art supplies"
32806,2011-06-21,8,"northwest territories","home office","furniture","office furnishings"
24097,2010-08-04,1,"northwest territories","small business","technology","computer peripherals"
45766,2010-05-07,28,"northwest territories","home office","technology","office machines"
26499,2010-02-21,11,"northwest territories","corporate","office supplies","labels"
42981,2009-05-30,4,"northwest territories","home office","office supplies","binders and binder accessories"
24097,2010-08-04,27,"northwest territories","small business","technology","computer peripherals"
28289,2010-01-14,31,"northwest territories","corporate","office supplies","paper"
57127,2010-02-16,13,"northwest territories","consumer","office supplies","paper"
17409,2010-08-17,31,"northwest territories","small business","technology","computer peripherals"
24097,2010-08-04,2,"northwest territories","small business","office supplies","paper"
19010,2009-06-07,18,"northwest territories","small business","office supplies","binders and binder accessories"
21889,2010-04-01,21,"northwest territories","consumer","furniture","office furnishings"
28135,2009-09-25,37,"northwest territories","corporate","office supplies","appliances"
5316,2009-01-30,42,"nunavut","corporate","technology","computer peripherals"
59651,2010-05-20,36,"atlantic","corporate","office supplies","binders and binder accessories"
21889,2010-04-01,16,"northwest territories","consumer","office supplies","storage & organization"
28135,2009-09-25,40,"northwest territories","corporate","office supplies","scissors, rulers and trimmers"
483,2011-07-10,30,"nunavut","corporate","technology","telephones and communication"
59651,2010-05-20,18,"atlantic","corporate","furniture","office furnishings"
27109,2012-02-08,48,"northwest territories","consumer","technology","computer peripherals"
41063,2012-11-21,22,"northwest territories","home office","office supplies","pens & art supplies"
45957,2010-09-21,20,"northwest territories","home office","technology","computer peripherals"
4612,2010-09-19,9,"nunavut","corporate","office supplies","appliances"
24743,2012-06-28,47,"northwest territories","corporate","furniture","chairs & chairmats"
41063,2012-11-21,10,"northwest territories","home office","technology","telephones and communication"
45957,2010-09-21,19,"northwest territories","home office","office supplies","paper"
2532,2011-10-10,39,"nunavut","corporate","office supplies","labels"
24743,2012-06-28,26,"northwest territories","corporate","furniture","chairs & chairmats"
41063,2012-11-21,26,"northwest territories","home office","technology","telephones and communication"
31111,2009-08-24,27,"northwest territories","corporate","office supplies","paper"
2532,2011-10-10,24,"nunavut","corporate","technology","telephones and communication"
39364,2012-11-09,29,"northwest territories","corporate","furniture","office furnishings"
20263,2009-11-14,8,"northwest territories","small business","office supplies","binders and binder accessories"
57600,2012-11-11,32,"northwest territories","small business","office supplies","binders and binder accessories"
8833,2012-05-04,40,"nunavut","small business","office supplies","storage & organization"
39364,2012-11-09,15,"northwest territories","corporate","office supplies","binders and binder accessories"
20263,2009-11-14,33,"northwest territories","small business","technology","telephones and communication"
57600,2012-11-11,44,"atlantic","small business","office supplies","labels"
29795,2011-11-25,49,"northwest territories","small business","office supplies","binders and binder accessories"
16932,2010-04-15,25,"northwest territories","consumer","office supplies","paper"
50565,2012-08-30,43,"northwest territories","corporate","office supplies","envelopes"
57600,2012-11-11,12,"atlantic","small business","office supplies","paper"
29795,2011-11-25,48,"northwest territories","small business","furniture","bookcases"
16932,2010-04-15,20,"northwest territories","consumer","office supplies","pens & art supplies"
47873,2010-11-13,8,"northwest territories","corporate","furniture","office furnishings"
15205,2011-03-17,18,"northwest territories","corporate","furniture","chairs & chairmats"
8995,2011-05-17,5,"nunavut","consumer","office supplies","binders and binder accessories"
33734,2011-10-17,13,"northwest territories","corporate","office supplies","paper"
25767,2012-03-03,7,"northwest territories","corporate","technology","computer peripherals"
15205,2011-03-17,42,"northwest territories","corporate","furniture","office furnishings"
8995,2011-05-17,41,"northwest territories","consumer","office supplies","paper"
24007,2010-08-26,26,"northwest territories","home office","technology","computer peripherals"
25767,2012-03-03,15,"northwest territories","corporate","office supplies","paper"
4132,2011-05-28,5,"nunavut","corporate","office supplies","labels"
8995,2011-05-17,35,"northwest territories","consumer","furniture","office furnishings"
24007,2010-08-26,28,"northwest territories","home office","office supplies","envelopes"
868,2012-06-08,32,"nunavut","home office","office supplies","appliances"
18080,2009-06-22,7,"northwest territories","corporate","furniture","chairs & chairmats"
8995,2011-05-17,42,"northwest territories","consumer","office supplies","paper"
