"pid","attribute","attrvalue"
77,"petal_length  ",4.8
91,"petal_length  ",4.4
148,"petal_width   ",2
49,"petal_width   ",0.2
77,"petal_width   ",1.4
91,"petal_width   ",1.2
24,"sepal_length",5.1
28,"sepal_length",5.2
54,"sepal_length",5.5
129,"sepal_length",6.4
24,"sepal_width ",3.3
28,"sepal_width ",3.5
54,"sepal_width ",2.3
129,"sepal_width ",2.8
24,"petal_length  ",1.7
28,"petal_length  ",1.5
54,"petal_length  ",4
129,"petal_length  ",5.6
24,"petal_width   ",0.5
28,"petal_width   ",0.2
54,"petal_width   ",1.3
129,"petal_width   ",2.1
3,"sepal_length",4.7
89,"sepal_length",5.6
94,"sepal_length",5
47,"sepal_length",5.1
3,"sepal_width ",3.2
89,"sepal_width ",3
94,"sepal_width ",2.3
47,"sepal_width ",3.8
3,"petal_length  ",1.3
89,"petal_length  ",4.1
94,"petal_length  ",3.3
47,"petal_length  ",1.6
3,"petal_width   ",0.2
89,"petal_width   ",1.3
94,"petal_width   ",1
47,"petal_width   ",0.2
43,"sepal_length",4.4
68,"sepal_length",5.8
12,"sepal_length",4.8
146,"sepal_length",6.7
43,"sepal_width ",3.2
68,"sepal_width ",2.7
12,"sepal_width ",3.4
146,"sepal_width ",3
43,"petal_length  ",1.3
68,"petal_length  ",4.1
12,"petal_length  ",1.6
146,"petal_length  ",5.2
43,"petal_width   ",0.2
68,"petal_width   ",1
12,"petal_width   ",0.2
146,"petal_width   ",2.3
1,"sepal_length",5.1
87,"sepal_length",6.7
52,"sepal_length",6.4
144,"sepal_length",6.8
1,"sepal_width ",3.5
87,"sepal_width ",3.1
52,"sepal_width ",3.2
144,"sepal_width ",3.2
1,"petal_length  ",1.4
87,"petal_length  ",4.7
52,"petal_length  ",4.5
144,"petal_length  ",5.9
1,"petal_width   ",0.2
87,"petal_width   ",1.5
52,"petal_width   ",1.5
144,"petal_width   ",2.3
41,"sepal_length",5
66,"sepal_length",6.7
92,"sepal_length",6.1
102,"sepal_length",5.8
41,"sepal_width ",3.5
66,"sepal_width ",3.1
92,"sepal_width ",3
102,"sepal_width ",2.7
41,"petal_length  ",1.3
66,"petal_length  ",4.4
92,"petal_length  ",4.6
102,"petal_length  ",5.1
41,"petal_width   ",0.3
66,"petal_width   ",1.4
92,"petal_width   ",1.4
102,"petal_width   ",1.9
18,"sepal_length",5.1
106,"sepal_length",7.6
132,"sepal_length",7.9
117,"sepal_length",6.5
18,"sepal_width ",3.5
106,"sepal_width ",3
132,"sepal_width ",3.8
117,"sepal_width ",3
18,"petal_length  ",1.4
106,"petal_length  ",6.6
132,"petal_length  ",6.4
117,"petal_length  ",5.5
18,"petal_width   ",0.3
106,"petal_width   ",2.1
132,"petal_width   ",2
117,"petal_width   ",1.8
79,"sepal_length",6
64,"sepal_length",6.1
109,"sepal_length",6.7
14,"sepal_length",4.3
79,"sepal_width ",2.9
64,"sepal_width ",2.9
109,"sepal_width ",2.5
14,"sepal_width ",3
79,"petal_length  ",4.5
64,"petal_length  ",4.7
109,"petal_length  ",5.8
14,"petal_length  ",1.1
79,"petal_width   ",1.5
64,"petal_width   ",1.4
109,"petal_width   ",1.8
14,"petal_width   ",0.1
58,"sepal_length",4.9
104,"sepal_length",6.3
27,"sepal_length",5
31,"sepal_length",4.8
58,"sepal_width ",2.4
104,"sepal_width ",2.9
27,"sepal_width ",3.4
31,"sepal_width ",3.1
58,"petal_length  ",3.3
104,"petal_length  ",5.6
27,"petal_length  ",1.6
31,"petal_length  ",1.6
58,"petal_width   ",1
104,"petal_width   ",1.8
27,"petal_width   ",0.4
31,"petal_width   ",0.2
98,"sepal_length",6.2
83,"sepal_length",5.8
149,"sepal_length",6.2
29,"sepal_length",5.2
98,"sepal_width ",2.9
83,"sepal_width ",2.7
149,"sepal_width ",3.4
29,"sepal_width ",3.4
98,"petal_length  ",4.3
83,"petal_length  ",3.9
149,"petal_length  ",5.4
29,"petal_length  ",1.4
98,"petal_width   ",1.3
83,"petal_width   ",1.2
149,"petal_width   ",2.3
29,"petal_width   ",0.2
56,"sepal_length",5.7
123,"sepal_length",7.7
67,"sepal_length",5.6
69,"sepal_length",6.2
56,"sepal_width ",2.8
123,"sepal_width ",2.8
67,"sepal_width ",3
69,"sepal_width ",2.2
56,"petal_length  ",4.5
123,"petal_length  ",6.7
67,"petal_length  ",4.5
69,"petal_length  ",4.5
56,"petal_width   ",1.3
123,"petal_width   ",2
67,"petal_width   ",1.5
69,"petal_width   ",1.5
96,"sepal_length",5.7
81,"sepal_length",5.5
107,"sepal_length",4.9
6,"sepal_length",5.4
96,"sepal_width ",3
81,"sepal_width ",2.4
107,"sepal_width ",2.5
6,"sepal_width ",3.9
96,"petal_length  ",4.2
81,"petal_length  ",3.8
107,"petal_length  ",4.5
6,"petal_length  ",1.7
96,"petal_width   ",1.2
81,"petal_width   ",1.1
107,"petal_width   ",1.7
6,"petal_width   ",0.4
73,"sepal_length",6.3
142,"sepal_length",6.9
147,"sepal_length",6.3
46,"sepal_length",4.8
73,"sepal_width ",2.5
142,"sepal_width ",3.1
147,"sepal_width ",2.5
46,"sepal_width ",3
73,"petal_length  ",4.9
142,"petal_length  ",5.1
147,"petal_length  ",5
46,"petal_length  ",1.4
73,"petal_width   ",1.5
142,"petal_width   ",2.3
147,"petal_width   ",1.9
46,"petal_width   ",0.3
134,"sepal_length",6.3
121,"sepal_length",6.9
4,"sepal_length",4.6
86,"sepal_length",6
134,"sepal_width ",2.8
121,"sepal_width ",3.2
4,"sepal_width ",3.1
86,"sepal_width ",3.4
134,"petal_length  ",5.1
121,"petal_length  ",5.7
4,"petal_length  ",1.5
86,"petal_length  ",4.5
134,"petal_width   ",1.5
121,"petal_width   ",2.3
4,"petal_width   ",0.2
86,"petal_width   ",1.6
113,"sepal_length",6.8
119,"sepal_length",7.7
44,"sepal_length",5
23,"sepal_length",4.6
113,"sepal_width ",3
119,"sepal_width ",2.6
44,"sepal_width ",3.5
23,"sepal_width ",3.6
113,"petal_length  ",5.5
119,"petal_length  ",6.9
44,"petal_length  ",1.6
23,"petal_length  ",1
113,"petal_width   ",2.1
119,"petal_width   ",2.3
44,"petal_width   ",0.6
23,"petal_width   ",0.2
111,"sepal_length",6.5
16,"sepal_length",5.7
42,"sepal_length",4.5
84,"sepal_length",6
111,"sepal_width ",3.2
16,"sepal_width ",4.4
42,"sepal_width ",2.3
84,"sepal_width ",2.7
111,"petal_length  ",5.1
16,"petal_length  ",1.5
42,"petal_length  ",1.3
84,"petal_length  ",5.1
111,"petal_width   ",2
16,"petal_width   ",0.4
42,"petal_width   ",0.3
84,"petal_width   ",1.6
8,"sepal_length",5
138,"sepal_length",6.4
82,"sepal_length",5.5
124,"sepal_length",6.3
8,"sepal_width ",3.4
138,"sepal_width ",3.1
82,"sepal_width ",2.4
124,"sepal_width ",2.7
8,"petal_length  ",1.5
138,"petal_length  ",5.5
82,"petal_length  ",3.7
124,"petal_length  ",4.9
8,"petal_width   ",0.2
138,"petal_width   ",1.8
82,"petal_width   ",1
124,"petal_width   ",1.8
128,"sepal_length",6.1
136,"sepal_length",7.7
21,"sepal_length",5.4
128,"sepal_width ",3
136,"sepal_width ",3
21,"sepal_width ",3.4
128,"petal_length  ",4.9
136,"petal_length  ",6.1
21,"petal_length  ",1.7
128,"petal_width   ",1.8
136,"petal_width   ",2.3
21,"petal_width   ",0.2
126,"sepal_length",7.2
33,"sepal_length",5.2
126,"sepal_width ",3.2
33,"sepal_width ",4.1
126,"petal_length  ",6
33,"petal_length  ",1.5
126,"petal_width   ",1.8
33,"petal_width   ",0.1
2,"sepal_length",4.9
71,"sepal_length",5.9
2,"sepal_width ",3
71,"sepal_width ",3.2
2,"petal_length  ",1.4
71,"petal_length  ",4.8
2,"petal_width   ",0.2
71,"petal_width   ",1.8
48,"sepal_length",4.6
48,"sepal_width ",3.2
48,"petal_length  ",1.4
48,"petal_width   ",0.2
88,"sepal_length",6.3
88,"sepal_width ",2.3
88,"petal_length  ",4.4
88,"petal_width   ",1.3
63,"sepal_length",6
63,"sepal_width ",2.2
63,"petal_length  ",4
63,"petal_width   ",1
103,"sepal_length",7.1
103,"sepal_width ",3
103,"petal_length  ",5.9
103,"petal_width   ",2.1
143,"sepal_length",5.8
143,"sepal_width ",2.7
143,"petal_length  ",5.1
143,"petal_width   ",1.9
