"id","MedInc","HouseAge","AveRooms","AveBedrms","Population","AveOccup","Latitude","Longitude","MedHouseVal","pi"
15391,4.7647e+00,1.2e+01,6.241269841269841e+00,1.0603174603174603e+00,3.129e+03,3.311111111111111e+00,3.326e+01,-1.1698e+02,2.541e+00,44
10966,3.9219e+00,3.5e+01,4.888586956521739e+00,9.320652173913043e-01,1.239e+03,3.3668478260869565e+00,3.377e+01,-1.1789e+02,1.896e+00,28
20348,2.8942e+00,3.9e+01,4.333333333333333e+00,1.0909090909090908e+00,1.13e+02,3.4242424242424243e+00,3.419e+01,-1.1905e+02,2.75e+00,68
11246,3.1087e+00,2.4e+01,4.735015772870662e+00,1.0157728706624605e+00,1.495e+03,2.358044164037855e+00,3.382e+01,-1.18e+02,2.028e+00,31
14365,2.1635e+00,4.3e+01,4.533333333333333e+00,9.952380952380953e-01,3.92e+02,1.8666666666666667e+00,3.272e+01,-1.1723e+02,2.442e+00,38
8783,3.3958e+00,3.8e+01,5.266447368421052e+00,1.1578947368421053e+00,7.11e+02,2.338815789473684e+00,3.379e+01,-1.1831e+02,2.5e+00,23
8987,8.6718e+00,3.2e+01,7.073943661971831e+00,9.929577464788732e-01,1.4e+03,2.464788732394366e+00,3.399e+01,-1.1837e+02,4.391e+00,25
5328,2.7679e+00,2.3e+01,3.0386784850926674e+00,1.064464141821112e+00,2.031e+03,1.6365834004834812e+00,3.404e+01,-1.1845e+02,2.775e+00,13
15749,3.3679e+00,5.2e+01,4.613412228796844e+00,1.0808678500986193e+00,1.09e+03,2.1499013806706113e+00,3.777e+01,-1.2245e+02,3.5e+00,47
16102,4.2644e+00,4.6e+01,4.756410256410256e+00,1.0256410256410255e+00,1.272e+03,2.717948717948718e+00,3.776e+01,-1.225e+02,2.841e+00,50
5233,1.7212e+00,3.9e+01,4.584905660377358e+00,1.030188679245283e+00,1.211e+03,4.569811320754717e+00,3.394e+01,-1.1824e+02,9.55e-01,11
18799,2.225e+00,2.6e+01,5.742718446601942e+00,1.3398058252427185e+00,5.13e+02,2.4902912621359223e+00,4.097e+01,-1.2189e+02,5.2e-01,62
14870,1.858e+00,2.3e+01,3.9012048192771083e+00,1.0771084337349397e+00,1.025e+03,2.4698795180722892e+00,3.264e+01,-1.1711e+02,6.75e-01,40
6558,6.827e+00,3.6e+01,7.021428571428571e+00,1.0357142857142858e+00,1.897e+03,2.71e+00,3.42e+01,-1.1811e+02,3.594e+00,19
19789,1.125e+00,2.3e+01,6.130434782608695e+00,2.5652173913043477e+00,4.7e+01,2.0434782608695654e+00,4.099e+01,-1.2335e+02,6.6e-01,66
670,3.7813e+00,3.6e+01,4.9035087719298245e+00,9.605263157894737e-01,6.25e+02,2.741228070175439e+00,3.769e+01,-1.2216e+02,1.922e+00,1
5202,3.0788e+00,4.4e+01,4.594366197183098e+00,9.52112676056338e-01,1.197e+03,3.371830985915493e+00,3.394e+01,-1.1828e+02,1e+00,10
5904,3.1212e+00,3.9e+01,4.535897435897436e+00,1.0512820512820513e+00,1.499e+03,3.8435897435897437e+00,3.429e+01,-1.1843e+02,1.535e+00,16
16199,1.7212e+00,4.3e+01,3.8680555555555554e+00,1.1458333333333333e+00,5.73e+02,3.9791666666666665e+00,3.795e+01,-1.2127e+02,5.9e-01,51
16736,5.966e+00,4.8e+01,4.13986013986014e+00,8.531468531468531e-01,3.4e+02,2.3776223776223775e+00,3.769e+01,-1.2232e+02,3.152e+00,53
7114,3.2222e+00,3.4e+01,5.342364532019705e+00,1.0295566502463054e+00,1.169e+03,2.8793103448275863e+00,3.392e+01,-1.1802e+02,2.187e+00,20
17768,2.7562e+00,2.9e+01,4.529639175257732e+00,1.0399484536082475e+00,3.572e+03,4.603092783505154e+00,3.735e+01,-1.2185e+02,1.601e+00,57
12342,2.5885e+00,2.8e+01,6.267910447761194e+00,1.3723880597014926e+00,3.47e+03,2.58955223880597e+00,3.384e+01,-1.1653e+02,1.59e+00,34
4761,3.0856e+00,4.9e+01,3.717171717171717e+00,8.956228956228957e-01,6.68e+02,2.249158249158249e+00,3.404e+01,-1.1835e+02,1.516e+00,9
2313,2.4861e+00,1.5e+01,5.467924528301887e+00,1.0452830188679245e+00,6.49e+02,2.449056603773585e+00,3.694e+01,-1.197e+02,8.63e-01,5
3593,6.6537e+00,3.2e+01,6.330917874396135e+00,9.951690821256038e-01,1.285e+03,3.103864734299517e+00,3.424e+01,-1.1848e+02,2.676e+00,7
13312,4.9063e+00,1.5e+01,6.013363028953229e+00,1.024498886414254e+00,1.432e+03,3.1893095768374167e+00,3.408e+01,-1.176e+02,1.598e+00,37
12242,1.3039e+00,2.2e+01,4.538834951456311e+00,1.171116504854369e+00,2.011e+03,2.4405339805825244e+00,3.375e+01,-1.1697e+02,7.75e-01,33
11670,4.5e+00,2.8e+01,5.102117061021171e+00,1.0435865504358655e+00,2.112e+03,2.6301369863013697e+00,3.384e+01,-1.1801e+02,2.021e+00,32
19722,3.6111e+00,4.8e+01,7.297297297297297e+00,1.4864864864864864e+00,2.34e+02,3.1621621621621623e+00,3.894e+01,-1.2176e+02,6.75e-01,65
8090,3.0882e+00,4e+01,4.394673123486683e+00,1.036319612590799e+00,1.807e+03,4.375302663438257e+00,3.381e+01,-1.1821e+02,1.607e+00,22
14482,1.07721e+01,2.4e+01,8.893048128342246e+00,1.0641711229946524e+00,5.78e+02,3.090909090909091e+00,3.283e+01,-1.1726e+02,5.00001e+00,39
1754,3.7277e+00,3.8e+01,5.625766871165644e+00,1.0674846625766872e+00,1.39e+03,2.8425357873210633e+00,3.794e+01,-1.2232e+02,1.651e+00,3
8830,3.2159e+00,3.8e+01,4.365695792880259e+00,1.1132686084142396e+00,5.47e+02,1.7702265372168284e+00,3.409e+01,-1.1837e+02,3.833e+00,24
12433,1.7344e+00,2.4e+01,3.298342541436464e+00,1.0585635359116021e+00,4.042e+03,4.466298342541436e+00,3.351e+01,-1.1601e+02,6.64e-01,35
19172,4.3587e+00,2.9e+01,5.594298245614035e+00,9.824561403508771e-01,1.165e+03,2.5548245614035086e+00,3.844e+01,-1.2267e+02,1.964e+00,64
2018,1.0472e+00,1.5e+01,5.088e+00,1.112e+00,1.383e+03,3.688e+00,3.672e+01,-1.198e+02,5.78e-01,4
19018,3.89e+00,7e+00,4.689458689458689e+00,9.943019943019943e-01,1.911e+03,2.7222222222222223e+00,3.834e+01,-1.2196e+02,1.403e+00,63
15005,2.7014e+00,4.3e+01,5.113095238095238e+00,1.0238095238095237e+00,8.26e+02,2.4583333333333335e+00,3.275e+01,-1.1705e+02,1.337e+00,41
18099,5.7528e+00,2.7e+01,6.437357630979498e+00,1.0273348519362187e+00,1.259e+03,2.867881548974943e+00,3.732e+01,-1.2204e+02,4.314e+00,59
7581,2.1389e+00,1.6e+01,4.31665228645384e+00,1.0181190681622088e+00,4.145e+03,3.576358930112166e+00,3.389e+01,-1.1823e+02,1.334e+00,21
16019,1.07309e+01,5.2e+01,7.850364963503649e+00,1.0218978102189782e+00,7.62e+02,2.781021897810219e+00,3.773e+01,-1.2247e+02,5.00001e+00,49
18164,4.4699e+00,1.6e+01,3.7302904564315353e+00,1.1106500691562933e+00,1.369e+03,1.8934993084370677e+00,3.736e+01,-1.2203e+02,3.674e+00,60
13222,3.4267e+00,1.1e+01,5.128698224852071e+00,1.1079881656804733e+00,2.163e+03,3.1997041420118344e+00,3.403e+01,-1.1771e+02,1.644e+00,36
15630,2.8229e+00,5.2e+01,3.6897590361445785e+00,1.1159638554216869e+00,1.415e+03,2.1310240963855422e+00,3.78e+01,-1.2241e+02,3.75e+00,45
6044,2.1141e+00,2.7e+01,3.8552036199095023e+00,1.0723981900452488e+00,1.024e+03,4.633484162895928e+00,3.405e+01,-1.1774e+02,1.109e+00,17
15670,2.7717e+00,5.2e+01,3.914396887159533e+00,1.132295719844358e+00,4.45e+02,1.7315175097276265e+00,3.78e+01,-1.2244e+02,5e+00,46
15178,3.3724e+00,1.5e+01,5.4078711985688726e+00,1.114490161001789e+00,1.283e+03,2.295169946332737e+00,3.303e+01,-1.1708e+02,1.379e+00,42
11163,2.2401e+00,2.4e+01,4.873345935727788e+00,1.0964083175803403e+00,1.217e+03,2.3005671077504726e+00,3.383e+01,-1.18e+02,2.125e+00,29
5611,2.1447e+00,2.6e+01,3.4859504132231405e+00,1.0760330578512396e+00,2.12e+03,3.5041322314049586e+00,3.379e+01,-1.1827e+02,1.587e+00,14
17157,9.7796e+00,2e+01,6.678082191780822e+00,9.178082191780822e-01,3.24e+02,2.219178082191781e+00,3.743e+01,-1.2221e+02,5.00001e+00,55
16539,1.7228e+00,3.6e+01,4.962264150943396e+00,1.0424528301886793e+00,7.12e+02,3.358490566037736e+00,3.779e+01,-1.2122e+02,1.05e+00,52
15199,5.149e+00,1.6e+01,6.851258581235698e+00,1.0183066361556063e+00,1.047e+03,2.3958810068649887e+00,3.29e+01,-1.171e+02,1.843e+00,43
15994,4.4946e+00,4.8e+01,5.379912663755459e+00,1.002183406113537e+00,1.179e+03,2.574235807860262e+00,3.776e+01,-1.2247e+02,3.586e+00,48
6389,9.8098e+00,3.9e+01,8.079881656804734e+00,1.0828402366863905e+00,1.034e+03,3.059171597633136e+00,3.416e+01,-1.1803e+02,5.00001e+00,18
11239,3.6422e+00,1.9e+01,4.344202898550725e+00,9.094202898550725e-01,7.3e+02,2.6449275362318843e+00,3.382e+01,-1.1796e+02,2.094e+00,30
16804,4.125e+00,3.6e+01,5.178571428571429e+00,8.642857142857143e-01,3.35e+02,2.392857142857143e+00,3.766e+01,-1.2242e+02,3.276e+00,54
17538,2.925e+00,4.3e+01,4.85655737704918e+00,1.2131147540983607e+00,9.33e+02,3.8237704918032787e+00,3.735e+01,-1.2189e+02,1.708e+00,56
