"id","species","attribute","value1"
107,"virginica","sepal_length",4.9
6,"setosa","sepal_width",3.9
96,"versicolor","sepal_length",5.7
81,"versicolor","sepal_length",5.5
107,"virginica","petal_width",1.7
6,"setosa","sepal_length",5.4
73,"versicolor","petal_width",1.5
142,"virginica","petal_width",2.3
147,"virginica","petal_width",1.9
46,"setosa","petal_width",0.3
73,"versicolor","petal_length",4.9
142,"virginica","petal_length",5.1
147,"virginica","petal_length",5
46,"setosa","petal_length",1.4
73,"versicolor","sepal_width",2.5
142,"virginica","sepal_width",3.1
147,"virginica","sepal_width",2.5
46,"setosa","sepal_width",3
73,"versicolor","sepal_length",6.3
142,"virginica","sepal_length",6.9
147,"virginica","sepal_length",6.3
46,"setosa","sepal_length",4.8
134,"virginica","petal_width",1.5
121,"virginica","petal_width",2.3
4,"setosa","petal_width",0.2
86,"versicolor","petal_length",4.5
134,"virginica","petal_length",5.1
121,"virginica","petal_length",5.7
4,"setosa","petal_length",1.5
86,"versicolor","sepal_width",3.4
134,"virginica","sepal_width",2.8
121,"virginica","sepal_width",3.2
4,"setosa","sepal_width",3.1
86,"versicolor","sepal_length",6
134,"virginica","sepal_length",6.3
121,"virginica","sepal_length",6.9
4,"setosa","sepal_length",4.6
86,"versicolor","petal_width",1.6
113,"virginica","petal_width",2.1
119,"virginica","petal_width",2.3
44,"setosa","petal_width",0.6
23,"setosa","petal_width",0.2
113,"virginica","petal_length",5.5
119,"virginica","petal_length",6.9
44,"setosa","petal_length",1.6
23,"setosa","petal_length",1
113,"virginica","sepal_width",3
119,"virginica","sepal_width",2.6
44,"setosa","sepal_width",3.5
23,"setosa","sepal_width",3.6
113,"virginica","sepal_length",6.8
119,"virginica","sepal_length",7.7
44,"setosa","sepal_length",5
23,"setosa","sepal_length",4.6
111,"virginica","petal_width",2
16,"setosa","petal_width",0.4
42,"setosa","petal_width",0.3
84,"versicolor","petal_width",1.6
111,"virginica","petal_length",5.1
16,"setosa","petal_length",1.5
42,"setosa","petal_length",1.3
84,"versicolor","petal_length",5.1
111,"virginica","sepal_width",3.2
16,"setosa","sepal_width",4.4
42,"setosa","sepal_width",2.3
84,"versicolor","sepal_width",2.7
111,"virginica","sepal_length",6.5
16,"setosa","sepal_length",5.7
42,"setosa","sepal_length",4.5
84,"versicolor","sepal_length",6
8,"setosa","petal_width",0.2
138,"virginica","petal_width",1.8
82,"versicolor","petal_width",1
124,"virginica","petal_width",1.8
8,"setosa","petal_length",1.5
138,"virginica","petal_length",5.5
82,"versicolor","petal_length",3.7
124,"virginica","petal_length",4.9
8,"setosa","sepal_width",3.4
138,"virginica","sepal_width",3.1
82,"versicolor","sepal_width",2.4
124,"virginica","sepal_width",2.7
8,"setosa","sepal_length",5
138,"virginica","sepal_length",6.4
82,"versicolor","sepal_length",5.5
124,"virginica","sepal_length",6.3
128,"virginica","petal_width",1.8
136,"virginica","petal_width",2.3
21,"setosa","petal_width",0.2
128,"virginica","petal_length",4.9
136,"virginica","petal_length",6.1
21,"setosa","petal_length",1.7
128,"virginica","sepal_width",3
136,"virginica","sepal_width",3
21,"setosa","sepal_width",3.4
128,"virginica","sepal_length",6.1
136,"virginica","sepal_length",7.7
21,"setosa","sepal_length",5.4
126,"virginica","petal_width",1.8
33,"setosa","petal_width",0.1
126,"virginica","petal_length",6
33,"setosa","petal_length",1.5
126,"virginica","sepal_width",3.2
33,"setosa","sepal_width",4.1
126,"virginica","sepal_length",7.2
33,"setosa","sepal_length",5.2
2,"setosa","petal_width",0.2
71,"versicolor","petal_width",1.8
2,"setosa","petal_length",1.4
71,"versicolor","petal_length",4.8
2,"setosa","sepal_width",3
71,"versicolor","sepal_width",3.2
2,"setosa","sepal_length",4.9
71,"versicolor","sepal_length",5.9
48,"setosa","petal_length",1.4
48,"setosa","sepal_width",3.2
48,"setosa","sepal_length",4.6
48,"setosa","petal_width",0.2
88,"versicolor","petal_width",1.3
88,"versicolor","petal_length",4.4
88,"versicolor","sepal_width",2.3
88,"versicolor","sepal_length",6.3
63,"versicolor","petal_width",1
63,"versicolor","petal_length",4
63,"versicolor","sepal_width",2.2
63,"versicolor","sepal_length",6
103,"virginica","petal_width",2.1
103,"virginica","petal_length",5.9
103,"virginica","sepal_width",3
103,"virginica","sepal_length",7.1
143,"virginica","petal_width",1.9
143,"virginica","petal_length",5.1
143,"virginica","sepal_width",2.7
143,"virginica","sepal_length",5.8
