"city","period","temp_f","pressure_mbar","dewpoint_f"
"greenville","2010-01-01 12:00:00.000000",42.4,1021.1,29.5
"greenville","2010-01-01 13:00:00.000000",44.5,1020.0,29.4
"greenville","2010-01-01 14:00:00.000000",46.0,1019.3,29.1
"greenville","2010-01-01 15:00:00.000000",46.5,1019.0,28.8
"greenville","2010-01-01 16:00:00.000000",46.1,1019.2,28.8
"greenville","2010-01-01 17:00:00.000000",44.4,1019.6,28.7
"greenville","2010-01-01 18:00:00.000000",41.5,1020.1,28.7
"greenville","2010-01-01 19:00:00.000000",39.8,1020.6,29.1
"greenville","2010-01-01 20:00:00.000000",38.5,1020.9,29.2
"greenville","2010-01-01 21:00:00.000000",37.4,1021.0,29.2
"greenville","2010-01-01 22:00:00.000000",36.5,1020.9,29.2
"greenville","2010-01-01 23:00:00.000000",35.8,1020.9,29.1
"nasheville","2010-01-01 00:00:00.000000",35.0,1020.4,29.0
"nasheville","2010-01-01 01:00:00.000000",34.5,1020.1,28.7
"nasheville","2010-01-01 02:00:00.000000",34.0,1019.9,28.5
"nasheville","2010-01-01 03:00:00.000000",33.6,1020.0,28.3
"nasheville","2010-01-01 04:00:00.000000",33.1,1020.1,28.1
"nasheville","2010-01-01 05:00:00.000000",32.8,1019.9,28.0
"nasheville","2010-01-01 06:00:00.000000",32.5,1020.2,27.8
"nasheville","2010-01-01 07:00:00.000000",32.4,1020.6,27.7
"nasheville","2010-01-01 08:00:00.000000",32.2,1021.1,27.6
"nasheville","2010-01-01 09:00:00.000000",33.8,1021.5,28.4
"nasheville","2010-01-01 10:00:00.000000",36.6,1021.9,29.0
"nasheville","2010-01-01 11:00:00.000000",39.6,1021.8,29.4
"nasheville","2010-01-01 12:00:00.000000",42.3,1021.0,29.4
"nasheville","2010-01-01 13:00:00.000000",44.3,1019.8,29.2
"nasheville","2010-01-01 14:00:00.000000",45.6,1019.2,28.9
"nasheville","2010-01-01 15:00:00.000000",46.2,1018.9,28.7
"nasheville","2010-01-01 16:00:00.000000",45.7,1019.1,28.6
"nasheville","2010-01-01 17:00:00.000000",44.1,1019.5,28.7
"nasheville","2010-01-01 18:00:00.000000",41.3,1019.9,28.6
"nasheville","2010-01-01 19:00:00.000000",39.5,1020.4,28.9
"nasheville","2010-01-01 20:00:00.000000",38.3,1020.7,29.0
"nasheville","2010-01-01 21:00:00.000000",37.2,1020.9,29.0
"nasheville","2010-01-01 22:00:00.000000",36.4,1020.8,29.0
"nasheville","2010-01-01 23:00:00.000000",35.6,1020.7,28.9
"asheville","2010-01-01 00:00:00.000000",34.9,1020.5,28.9
"asheville","2010-01-01 01:00:00.000000",34.4,1020.2,28.7
"asheville","2010-01-01 02:00:00.000000",33.9,1020.0,28.4
"asheville","2010-01-01 03:00:00.000000",33.4,1020.2,28.3
"asheville","2010-01-01 04:00:00.000000",33.1,1020.2,28.0
"asheville","2010-01-01 05:00:00.000000",32.7,1020.0,27.9
"asheville","2010-01-01 06:00:00.000000",32.5,1020.3,27.7
"asheville","2010-01-01 07:00:00.000000",32.3,1020.8,27.6
"asheville","2010-01-01 08:00:00.000000",32.1,1021.3,27.4
"asheville","2010-01-01 09:00:00.000000",33.8,1021.7,28.2
"asheville","2010-01-01 10:00:00.000000",36.4,1022.1,28.9
"asheville","2010-01-01 11:00:00.000000",39.4,1022.0,29.3
"asheville","2010-01-01 12:00:00.000000",42.1,1021.1,29.2
"asheville","2010-01-01 13:00:00.000000",44.2,1020.0,29.1
"asheville","2010-01-01 14:00:00.000000",45.6,1019.3,28.9
"asheville","2010-01-01 15:00:00.000000",46.2,1019.0,28.5
"asheville","2010-01-01 16:00:00.000000",45.8,1019.2,28.5
"asheville","2010-01-01 17:00:00.000000",44.1,1019.6,28.6
"asheville","2010-01-01 18:00:00.000000",41.2,1020.1,28.5
"asheville","2010-01-01 19:00:00.000000",39.6,1020.6,28.8
"asheville","2010-01-01 20:00:00.000000",38.2,1020.9,29.0
"asheville","2010-01-01 21:00:00.000000",37.2,1021.1,29.0
"asheville","2010-01-01 22:00:00.000000",36.3,1021.0,29.0
"asheville","2010-01-01 23:00:00.000000",35.5,1020.9,29.0
