"id","species","attribute","value_col"
13,"setosa","petal_length","1.4"
13,"setosa","petal_width","0.1"
32,"setosa","sepal_length","5.4"
32,"setosa","sepal_width","3.4"
32,"setosa","petal_length","1.5"
32,"setosa","petal_width","0.4"
11,"setosa","sepal_length","5.4"
11,"setosa","sepal_width","3.7"
11,"setosa","petal_length","1.5"
11,"setosa","petal_width","0.2"
51,"versicolor","sepal_length","7.0"
51,"versicolor","sepal_width","3.2"
51,"versicolor","petal_length","4.7"
51,"versicolor","petal_width","1.4"
9,"setosa","sepal_length","4.4"
9,"setosa","sepal_width","2.9"
9,"setosa","petal_length","1.4"
9,"setosa","petal_width","0.2"
49,"setosa","sepal_length","5.3"
49,"setosa","sepal_width","3.7"
49,"setosa","petal_length","1.5"
49,"setosa","petal_width","0.2"
28,"setosa","sepal_length","5.2"
28,"setosa","sepal_width","3.5"
28,"setosa","petal_length","1.5"
28,"setosa","petal_width","0.2"
89,"versicolor","sepal_length","5.6"
89,"versicolor","sepal_width","3.0"
89,"versicolor","petal_length","4.1"
89,"versicolor","petal_width","1.3"
68,"versicolor","sepal_length","5.8"
68,"versicolor","sepal_width","2.7"
68,"versicolor","petal_length","4.1"
68,"versicolor","petal_width","1.0"
87,"versicolor","sepal_length","6.7"
87,"versicolor","sepal_width","3.1"
87,"versicolor","petal_length","4.7"
87,"versicolor","petal_width","1.5"
66,"versicolor","sepal_length","6.7"
66,"versicolor","sepal_width","3.1"
66,"versicolor","petal_length","4.4"
66,"versicolor","petal_width","1.4"
106,"virginica","sepal_length","7.6"
106,"virginica","sepal_width","3.0"
106,"virginica","petal_length","6.6"
106,"virginica","petal_width","2.1"
64,"versicolor","sepal_length","6.1"
64,"versicolor","sepal_width","2.9"
64,"versicolor","petal_length","4.7"
64,"versicolor","petal_width","1.4"
104,"virginica","sepal_length","6.3"
104,"virginica","sepal_width","2.9"
104,"virginica","petal_length","5.6"
104,"virginica","petal_width","1.8"
83,"versicolor","sepal_length","5.8"
83,"versicolor","sepal_width","2.7"
83,"versicolor","petal_length","3.9"
83,"versicolor","petal_width","1.2"
123,"virginica","sepal_length","7.7"
123,"virginica","sepal_width","2.8"
123,"virginica","petal_length","6.7"
123,"virginica","petal_width","2.0"
81,"versicolor","sepal_length","5.5"
81,"versicolor","sepal_width","2.4"
81,"versicolor","petal_length","3.8"
81,"versicolor","petal_width","1.1"
142,"virginica","sepal_length","6.9"
142,"virginica","sepal_width","3.1"
142,"virginica","petal_length","5.1"
142,"virginica","petal_width","2.3"
121,"virginica","sepal_length","6.9"
121,"virginica","sepal_width","3.2"
121,"virginica","petal_length","5.7"
121,"virginica","petal_width","2.3"
119,"virginica","sepal_length","7.7"
119,"virginica","sepal_width","2.6"
119,"virginica","petal_length","6.9"
119,"virginica","petal_width","2.3"
16,"setosa","sepal_length","5.7"
16,"setosa","sepal_width","4.4"
16,"setosa","petal_length","1.5"
16,"setosa","petal_width","0.4"
138,"virginica","sepal_length","6.4"
138,"virginica","sepal_width","3.1"
138,"virginica","petal_length","5.5"
138,"virginica","petal_width","1.8"
136,"virginica","sepal_length","7.7"
136,"virginica","sepal_width","3.0"
136,"virginica","petal_length","6.1"
136,"virginica","petal_width","2.3"
33,"setosa","sepal_length","5.2"
33,"setosa","sepal_width","4.1"
33,"setosa","petal_length","1.5"
33,"setosa","petal_width","0.1"
10,"setosa","sepal_length","4.9"
10,"setosa","sepal_width","3.1"
10,"setosa","petal_length","1.5"
10,"setosa","petal_width","0.1"
71,"versicolor","sepal_length","5.9"
71,"versicolor","sepal_width","3.2"
71,"versicolor","petal_length","4.8"
71,"versicolor","petal_width","1.8"
48,"setosa","sepal_length","4.6"
48,"setosa","sepal_width","3.2"
48,"setosa","petal_length","1.4"
48,"setosa","petal_width","0.2"
88,"versicolor","sepal_length","6.3"
88,"versicolor","sepal_width","2.3"
88,"versicolor","petal_length","4.4"
88,"versicolor","petal_width","1.3"
65,"versicolor","sepal_length","5.6"
65,"versicolor","sepal_width","2.9"
65,"versicolor","petal_length","3.6"
65,"versicolor","petal_width","1.3"
63,"versicolor","sepal_length","6.0"
63,"versicolor","sepal_width","2.2"
63,"versicolor","petal_length","4.0"
63,"versicolor","petal_width","1.0"
103,"virginica","sepal_length","7.1"
103,"virginica","sepal_width","3.0"
103,"virginica","petal_length","5.9"
103,"virginica","petal_width","2.1"
143,"virginica","sepal_length","5.8"
143,"virginica","sepal_width","2.7"
143,"virginica","petal_length","5.1"
143,"virginica","petal_width","1.9"
40,"setosa","sepal_length","5.1"
40,"setosa","sepal_width","3.4"
40,"setosa","petal_length","1.5"
40,"setosa","petal_width","0.2"
80,"versicolor","sepal_length","5.7"
80,"versicolor","sepal_width","2.6"
80,"versicolor","petal_length","3.5"
80,"versicolor","petal_width","1.0"
120,"virginica","sepal_length","6.0"
120,"virginica","sepal_width","2.2"
120,"virginica","petal_length","5.0"
120,"virginica","petal_width","1.5"
57,"versicolor","sepal_length","6.3"
57,"versicolor","sepal_width","3.3"
57,"versicolor","petal_length","4.7"
57,"versicolor","petal_width","1.6"
118,"virginica","sepal_length","7.7"
118,"virginica","sepal_width","3.8"
118,"virginica","petal_length","6.7"
118,"virginica","petal_width","2.2"
55,"versicolor","sepal_length","6.5"
55,"versicolor","sepal_width","2.8"
55,"versicolor","petal_length","4.6"
55,"versicolor","petal_width","1.5"
95,"versicolor","sepal_length","5.6"
95,"versicolor","sepal_width","2.7"
95,"versicolor","petal_length","4.2"
95,"versicolor","petal_width","1.3"
135,"virginica","sepal_length","6.1"
135,"virginica","sepal_width","2.6"
135,"virginica","petal_length","5.6"
135,"virginica","petal_width","1.4"
72,"versicolor","sepal_length","6.1"
72,"versicolor","sepal_width","2.8"
72,"versicolor","petal_length","4.0"
72,"versicolor","petal_width","1.3"
112,"virginica","sepal_length","6.4"
112,"virginica","sepal_width","2.7"
112,"virginica","petal_length","5.3"
112,"virginica","petal_width","1.9"
110,"virginica","sepal_length","7.2"
110,"virginica","sepal_width","3.6"
110,"virginica","petal_length","6.1"
110,"virginica","petal_width","2.5"
150,"virginica","sepal_length","5.9"
150,"virginica","sepal_width","3.0"
150,"virginica","petal_length","5.1"
150,"virginica","petal_width","1.8"
7,"setosa","sepal_length","4.6"
7,"setosa","sepal_width","3.4"
7,"setosa","petal_length","1.4"
7,"setosa","petal_width","0.3"
127,"virginica","sepal_length","6.2"
127,"virginica","sepal_width","2.8"
127,"virginica","petal_length","4.8"
127,"virginica","petal_width","1.8"
22,"setosa","sepal_length","5.1"
22,"setosa","sepal_width","3.7"
22,"setosa","petal_length","1.5"
22,"setosa","petal_width","0.4"
62,"versicolor","sepal_length","5.9"
62,"versicolor","sepal_width","3.0"
62,"versicolor","petal_length","4.2"
62,"versicolor","petal_width","1.5"
39,"setosa","sepal_length","4.4"
39,"setosa","sepal_width","3.0"
39,"setosa","petal_length","1.3"
39,"setosa","petal_width","0.2"
37,"setosa","sepal_length","5.5"
37,"setosa","sepal_width","3.5"
37,"setosa","petal_length","1.3"
37,"setosa","petal_width","0.2"
77,"versicolor","sepal_length","6.8"
77,"versicolor","sepal_width","2.8"
77,"versicolor","petal_length","4.8"
77,"versicolor","petal_width","1.4"
35,"setosa","sepal_length","4.9"
35,"setosa","sepal_width","3.1"
35,"setosa","petal_length","1.5"
35,"setosa","petal_width","0.2"
54,"versicolor","sepal_length","5.5"
54,"versicolor","sepal_width","2.3"
54,"versicolor","petal_length","4.0"
54,"versicolor","petal_width","1.3"
94,"versicolor","sepal_length","5.0"
94,"versicolor","sepal_width","2.3"
94,"versicolor","petal_length","3.3"
94,"versicolor","petal_width","1.0"
12,"setosa","sepal_length","4.8"
12,"setosa","sepal_width","3.4"
12,"setosa","petal_length","1.6"
12,"setosa","petal_width","0.2"
52,"versicolor","sepal_length","6.4"
52,"versicolor","sepal_width","3.2"
52,"versicolor","petal_length","4.5"
52,"versicolor","petal_width","1.5"
92,"versicolor","sepal_length","6.1"
92,"versicolor","sepal_width","3.0"
92,"versicolor","petal_length","4.6"
92,"versicolor","petal_width","1.4"
132,"virginica","sepal_length","7.9"
132,"virginica","sepal_width","3.8"
132,"virginica","petal_length","6.4"
132,"virginica","petal_width","2.0"
50,"setosa","sepal_length","5.0"
50,"setosa","sepal_width","3.3"
50,"setosa","petal_length","1.4"
50,"setosa","petal_width","0.2"
109,"virginica","sepal_length","6.7"
109,"virginica","sepal_width","2.5"
109,"virginica","petal_length","5.8"
109,"virginica","petal_width","1.8"
27,"setosa","sepal_length","5.0"
27,"setosa","sepal_width","3.4"
27,"setosa","petal_length","1.6"
27,"setosa","petal_width","0.4"
149,"virginica","sepal_length","6.2"
149,"virginica","sepal_width","3.4"
149,"virginica","petal_length","5.4"
149,"virginica","petal_width","2.3"
67,"versicolor","sepal_length","5.6"
67,"versicolor","sepal_width","3.0"
67,"versicolor","petal_length","4.5"
67,"versicolor","petal_width","1.5"
107,"virginica","sepal_length","4.9"
107,"virginica","sepal_width","2.5"
107,"virginica","petal_length","4.5"
107,"virginica","petal_width","1.7"
147,"virginica","sepal_length","6.3"
147,"virginica","sepal_width","2.5"
147,"virginica","petal_length","5.0"
147,"virginica","petal_width","1.9"
4,"setosa","sepal_length","4.6"
4,"setosa","sepal_width","3.1"
4,"setosa","petal_length","1.5"
4,"setosa","petal_width","0.2"
44,"setosa","sepal_length","5.0"
44,"setosa","sepal_width","3.5"
44,"setosa","petal_length","1.6"
44,"setosa","petal_width","0.6"
105,"virginica","sepal_length","6.5"
105,"virginica","sepal_width","3.0"
105,"virginica","petal_length","5.8"
105,"virginica","petal_width","2.2"
42,"setosa","sepal_length","4.5"
42,"setosa","sepal_width","2.3"
42,"setosa","petal_length","1.3"
42,"setosa","petal_width","0.3"
82,"versicolor","sepal_length","5.5"
82,"versicolor","sepal_width","2.4"
82,"versicolor","petal_length","3.7"
82,"versicolor","petal_width","1.0"
