"id","period"
"373","1962-05-24 00:00:00.000000"
"5","1961-05-21 00:00:00.000000"
"87","1961-08-11 00:00:00.000000"
"516","1962-10-14 00:00:00.000000"
"169","1961-11-01 00:00:00.000000"
"474","1962-09-02 00:00:00.000000"
"352","1962-05-03 00:00:00.000000"
"230","1962-01-01 00:00:00.000000"
"434","1962-07-24 00:00:00.000000"
"331","1962-04-12 00:00:00.000000"
"66","1961-07-21 00:00:00.000000"
"270","1962-02-10 00:00:00.000000"
"495","1962-09-23 00:00:00.000000"
"188","1961-11-20 00:00:00.000000"
"392","1962-06-12 00:00:00.000000"
"127","1961-09-20 00:00:00.000000"
"209","1961-12-11 00:00:00.000000"
"24","1961-06-09 00:00:00.000000"
"249","1962-01-20 00:00:00.000000"
"453","1962-08-12 00:00:00.000000"
"45","1961-06-30 00:00:00.000000"
"289","1962-03-01 00:00:00.000000"
"514","1962-10-12 00:00:00.000000"
"310","1962-03-22 00:00:00.000000"
"432","1962-07-22 00:00:00.000000"
"3","1961-05-19 00:00:00.000000"
"106","1961-08-30 00:00:00.000000"
"167","1961-10-30 00:00:00.000000"
"85","1961-08-09 00:00:00.000000"
"329","1962-04-10 00:00:00.000000"
"371","1962-05-22 00:00:00.000000"
"228","1961-12-30 00:00:00.000000"
"350","1962-05-01 00:00:00.000000"
"186","1961-11-18 00:00:00.000000"
"411","1962-07-01 00:00:00.000000"
"493","1962-09-21 00:00:00.000000"
"146","1961-10-09 00:00:00.000000"
"451","1962-08-10 00:00:00.000000"
"64","1961-07-19 00:00:00.000000"
"268","1962-02-08 00:00:00.000000"
"207","1961-12-09 00:00:00.000000"
"43","1961-06-28 00:00:00.000000"
"104","1961-08-28 00:00:00.000000"
"533","1962-10-31 00:00:00.000000"
"472","1962-08-31 00:00:00.000000"
"308","1962-03-20 00:00:00.000000"
"369","1962-05-20 00:00:00.000000"
"165","1961-10-28 00:00:00.000000"
"125","1961-09-18 00:00:00.000000"
"491","1962-09-19 00:00:00.000000"
"430","1962-07-20 00:00:00.000000"
"22","1961-06-07 00:00:00.000000"
"390","1962-06-10 00:00:00.000000"
"348","1962-04-29 00:00:00.000000"
"226","1961-12-28 00:00:00.000000"
"205","1961-12-07 00:00:00.000000"
"247","1962-01-18 00:00:00.000000"
"1","1961-05-17 00:00:00.000000"
"83","1961-08-07 00:00:00.000000"
"470","1962-08-29 00:00:00.000000"
"512","1962-10-10 00:00:00.000000"
"41","1961-06-26 00:00:00.000000"
"409","1962-06-29 00:00:00.000000"
"62","1961-07-17 00:00:00.000000"
"287","1962-02-27 00:00:00.000000"
"306","1962-03-18 00:00:00.000000"
"266","1962-02-06 00:00:00.000000"
"327","1962-04-08 00:00:00.000000"
"144","1961-10-07 00:00:00.000000"
"367","1962-05-18 00:00:00.000000"
"531","1962-10-29 00:00:00.000000"
"245","1962-01-16 00:00:00.000000"
"388","1962-06-08 00:00:00.000000"
"163","1961-10-26 00:00:00.000000"
"123","1961-09-16 00:00:00.000000"
"510","1962-10-08 00:00:00.000000"
"184","1961-11-16 00:00:00.000000"
"20","1961-06-05 00:00:00.000000"
"81","1961-08-05 00:00:00.000000"
"285","1962-02-25 00:00:00.000000"
"449","1962-08-08 00:00:00.000000"
"346","1962-04-27 00:00:00.000000"
"142","1961-10-05 00:00:00.000000"
"325","1962-04-06 00:00:00.000000"
"102","1961-08-26 00:00:00.000000"
"203","1961-12-05 00:00:00.000000"
"407","1962-06-27 00:00:00.000000"
"182","1961-11-14 00:00:00.000000"
"428","1962-07-18 00:00:00.000000"
"468","1962-08-27 00:00:00.000000"
"121","1961-09-14 00:00:00.000000"
"39","1961-06-24 00:00:00.000000"
"224","1961-12-26 00:00:00.000000"
"60","1961-07-15 00:00:00.000000"
"386","1962-06-06 00:00:00.000000"
"508","1962-10-06 00:00:00.000000"
"489","1962-09-17 00:00:00.000000"
"529","1962-10-27 00:00:00.000000"
"447","1962-08-06 00:00:00.000000"
"365","1962-05-16 00:00:00.000000"
"264","1962-02-04 00:00:00.000000"
"18","1961-06-03 00:00:00.000000"
"243","1962-01-14 00:00:00.000000"
"222","1961-12-24 00:00:00.000000"
"100","1961-08-24 00:00:00.000000"
"79","1961-08-03 00:00:00.000000"
"304","1962-03-16 00:00:00.000000"
"283","1962-02-23 00:00:00.000000"
"487","1962-09-15 00:00:00.000000"
"344","1962-04-25 00:00:00.000000"
"161","1961-10-24 00:00:00.000000"
"37","1961-06-22 00:00:00.000000"
"140","1961-10-03 00:00:00.000000"
"58","1961-07-13 00:00:00.000000"
"426","1962-07-16 00:00:00.000000"
"220","1961-12-22 00:00:00.000000"
"405","1962-06-25 00:00:00.000000"
"323","1962-04-04 00:00:00.000000"
"466","1962-08-25 00:00:00.000000"
"485","1962-09-13 00:00:00.000000"
"201","1961-12-03 00:00:00.000000"
"384","1962-06-04 00:00:00.000000"
"119","1961-09-12 00:00:00.000000"
"77","1961-08-01 00:00:00.000000"
"262","1962-02-02 00:00:00.000000"
"180","1961-11-12 00:00:00.000000"
"159","1961-10-22 00:00:00.000000"
"342","1962-04-23 00:00:00.000000"
"527","1962-10-25 00:00:00.000000"
"241","1962-01-12 00:00:00.000000"
"424","1962-07-14 00:00:00.000000"
"260","1962-01-31 00:00:00.000000"
"445","1962-08-04 00:00:00.000000"
"506","1962-10-04 00:00:00.000000"
"16","1961-06-01 00:00:00.000000"
"525","1962-10-23 00:00:00.000000"
"302","1962-03-14 00:00:00.000000"
"98","1961-08-22 00:00:00.000000"
"281","1962-02-21 00:00:00.000000"
"382","1962-06-02 00:00:00.000000"
"199","1961-12-01 00:00:00.000000"
"363","1962-05-14 00:00:00.000000"
"138","1961-10-01 00:00:00.000000"
"35","1961-06-20 00:00:00.000000"
"117","1961-09-10 00:00:00.000000"
"403","1962-06-23 00:00:00.000000"
"464","1962-08-23 00:00:00.000000"
"300","1962-03-12 00:00:00.000000"
"443","1962-08-02 00:00:00.000000"
"56","1961-07-11 00:00:00.000000"
"321","1962-04-02 00:00:00.000000"
"340","1962-04-21 00:00:00.000000"
"239","1962-01-10 00:00:00.000000"
"96","1961-08-20 00:00:00.000000"
"178","1961-11-10 00:00:00.000000"
"54","1961-07-09 00:00:00.000000"
"504","1962-10-02 00:00:00.000000"
"361","1962-05-12 00:00:00.000000"
"422","1962-07-12 00:00:00.000000"
"380","1962-05-31 00:00:00.000000"
"157","1961-10-20 00:00:00.000000"
"218","1961-12-20 00:00:00.000000"
"136","1961-09-29 00:00:00.000000"
"237","1962-01-08 00:00:00.000000"
"14","1961-05-30 00:00:00.000000"
"75","1961-07-30 00:00:00.000000"
"197","1961-11-29 00:00:00.000000"
"94","1961-08-18 00:00:00.000000"
"483","1962-09-11 00:00:00.000000"
"401","1962-06-21 00:00:00.000000"
"462","1962-08-21 00:00:00.000000"
"420","1962-07-10 00:00:00.000000"
"279","1962-02-19 00:00:00.000000"
"258","1962-01-29 00:00:00.000000"
"176","1961-11-08 00:00:00.000000"
"12","1961-05-28 00:00:00.000000"
"319","1962-03-31 00:00:00.000000"
"523","1962-10-21 00:00:00.000000"
"441","1962-07-31 00:00:00.000000"
"277","1962-02-17 00:00:00.000000"
"155","1961-10-18 00:00:00.000000"
"115","1961-09-08 00:00:00.000000"
"33","1961-06-18 00:00:00.000000"
"338","1962-04-19 00:00:00.000000"
"216","1961-12-18 00:00:00.000000"
"359","1962-05-10 00:00:00.000000"
"502","1962-09-30 00:00:00.000000"
"52","1961-07-07 00:00:00.000000"
"195","1961-11-27 00:00:00.000000"
"73","1961-07-28 00:00:00.000000"
"298","1962-03-10 00:00:00.000000"
"92","1961-08-16 00:00:00.000000"
"460","1962-08-19 00:00:00.000000"
"134","1961-09-27 00:00:00.000000"
"481","1962-09-09 00:00:00.000000"
"275","1962-02-15 00:00:00.000000"
"256","1962-01-27 00:00:00.000000"
"399","1962-06-19 00:00:00.000000"
"174","1961-11-06 00:00:00.000000"
"132","1961-09-25 00:00:00.000000"
"317","1962-03-29 00:00:00.000000"
"521","1962-10-19 00:00:00.000000"
"153","1961-10-16 00:00:00.000000"
"397","1962-06-17 00:00:00.000000"
"31","1961-06-16 00:00:00.000000"
"113","1961-09-06 00:00:00.000000"
"214","1961-12-16 00:00:00.000000"
"50","1961-07-05 00:00:00.000000"
"500","1962-09-28 00:00:00.000000"
"378","1962-05-29 00:00:00.000000"
"10","1961-05-26 00:00:00.000000"
"315","1962-03-27 00:00:00.000000"
"357","1962-05-08 00:00:00.000000"
"439","1962-07-29 00:00:00.000000"
"479","1962-09-07 00:00:00.000000"
"437","1962-07-27 00:00:00.000000"
"254","1962-01-25 00:00:00.000000"
"235","1962-01-06 00:00:00.000000"
"71","1961-07-26 00:00:00.000000"
"355","1962-05-06 00:00:00.000000"
"172","1961-11-04 00:00:00.000000"
"296","1962-03-08 00:00:00.000000"
"336","1962-04-17 00:00:00.000000"
"252","1962-01-23 00:00:00.000000"
"29","1961-06-14 00:00:00.000000"
"418","1962-07-08 00:00:00.000000"
"193","1961-11-25 00:00:00.000000"
"109","1961-09-02 00:00:00.000000"
"498","1962-09-26 00:00:00.000000"
"111","1961-09-04 00:00:00.000000"
"458","1962-08-17 00:00:00.000000"
"435","1962-07-25 00:00:00.000000"
"294","1962-03-06 00:00:00.000000"
"90","1961-08-14 00:00:00.000000"
"519","1962-10-17 00:00:00.000000"
"27","1961-06-12 00:00:00.000000"
"212","1961-12-14 00:00:00.000000"
"151","1961-10-14 00:00:00.000000"
"376","1962-05-27 00:00:00.000000"
"292","1962-03-04 00:00:00.000000"
"69","1961-07-24 00:00:00.000000"
"416","1962-07-06 00:00:00.000000"
"233","1962-01-04 00:00:00.000000"
"149","1961-10-12 00:00:00.000000"
"334","1962-04-15 00:00:00.000000"
"8","1961-05-24 00:00:00.000000"
"477","1962-09-05 00:00:00.000000"
"475","1962-09-03 00:00:00.000000"
"374","1962-05-25 00:00:00.000000"
"273","1962-02-13 00:00:00.000000"
"191","1961-11-23 00:00:00.000000"
"67","1961-07-22 00:00:00.000000"
"210","1961-12-12 00:00:00.000000"
"130","1961-09-23 00:00:00.000000"
"48","1961-07-03 00:00:00.000000"
"332","1962-04-13 00:00:00.000000"
"6","1961-05-22 00:00:00.000000"
"395","1962-06-15 00:00:00.000000"
"517","1962-10-15 00:00:00.000000"
"393","1962-06-13 00:00:00.000000"
"271","1962-02-11 00:00:00.000000"
"456","1962-08-15 00:00:00.000000"
"231","1962-01-02 00:00:00.000000"
"107","1961-08-31 00:00:00.000000"
"250","1962-01-21 00:00:00.000000"
"313","1962-03-25 00:00:00.000000"
"496","1962-09-24 00:00:00.000000"
"147","1961-10-10 00:00:00.000000"
"46","1961-07-01 00:00:00.000000"
"170","1961-11-02 00:00:00.000000"
"88","1961-08-12 00:00:00.000000"
"4","1961-05-20 00:00:00.000000"
"515","1962-10-13 00:00:00.000000"
"414","1962-07-04 00:00:00.000000"
"353","1962-05-04 00:00:00.000000"
"330","1962-04-11 00:00:00.000000"
"311","1962-03-23 00:00:00.000000"
"128","1961-09-21 00:00:00.000000"
"189","1961-11-21 00:00:00.000000"
"187","1961-11-19 00:00:00.000000"
"372","1962-05-23 00:00:00.000000"
"454","1962-08-13 00:00:00.000000"
"229","1961-12-31 00:00:00.000000"
"452","1962-08-11 00:00:00.000000"
"86","1961-08-10 00:00:00.000000"
"168","1961-10-31 00:00:00.000000"
"494","1962-09-22 00:00:00.000000"
"44","1961-06-29 00:00:00.000000"
"412","1962-07-02 00:00:00.000000"
"433","1962-07-23 00:00:00.000000"
"351","1962-05-02 00:00:00.000000"
"105","1961-08-29 00:00:00.000000"
"309","1962-03-21 00:00:00.000000"
"25","1961-06-10 00:00:00.000000"
"208","1961-12-10 00:00:00.000000"
"370","1962-05-21 00:00:00.000000"
"227","1961-12-29 00:00:00.000000"
"290","1962-03-02 00:00:00.000000"
"269","1962-02-09 00:00:00.000000"
"492","1962-09-20 00:00:00.000000"
"23","1961-06-08 00:00:00.000000"
"473","1962-09-01 00:00:00.000000"
"65","1961-07-20 00:00:00.000000"
"410","1962-06-30 00:00:00.000000"
"84","1961-08-08 00:00:00.000000"
"126","1961-09-19 00:00:00.000000"
"534","1962-11-01 00:00:00.000000"
"42","1961-06-27 00:00:00.000000"
"349","1962-04-30 00:00:00.000000"
"166","1961-10-29 00:00:00.000000"
"391","1962-06-11 00:00:00.000000"
"307","1962-03-19 00:00:00.000000"
"267","1962-02-07 00:00:00.000000"
"431","1962-07-21 00:00:00.000000"
"248","1962-01-19 00:00:00.000000"
"164","1961-10-27 00:00:00.000000"
"124","1961-09-17 00:00:00.000000"
"288","1962-02-28 00:00:00.000000"
"513","1962-10-11 00:00:00.000000"
"490","1962-09-18 00:00:00.000000"
"389","1962-06-09 00:00:00.000000"
"145","1961-10-08 00:00:00.000000"
"63","1961-07-18 00:00:00.000000"
"82","1961-08-06 00:00:00.000000"
"429","1962-07-19 00:00:00.000000"
"206","1961-12-08 00:00:00.000000"
"532","1962-10-30 00:00:00.000000"
"347","1962-04-28 00:00:00.000000"
"21","1961-06-06 00:00:00.000000"
"2","1961-05-18 00:00:00.000000"
"246","1962-01-17 00:00:00.000000"
"204","1961-12-06 00:00:00.000000"
"471","1962-08-30 00:00:00.000000"
"103","1961-08-27 00:00:00.000000"
"328","1962-04-09 00:00:00.000000"
"368","1962-05-19 00:00:00.000000"
"185","1961-11-17 00:00:00.000000"
"225","1961-12-27 00:00:00.000000"
"450","1962-08-09 00:00:00.000000"
"286","1962-02-26 00:00:00.000000"
"511","1962-10-09 00:00:00.000000"
"143","1961-10-06 00:00:00.000000"
"408","1962-06-28 00:00:00.000000"
