"compid","price","speed","hd","ram","screen","expected_compcategory","predicted_compcategory"
"175","3795.0","33.0","452.0","8.0","14.0","uber","uber"
"114","2895.0","50.0","340.0","16.0","14.0","hyper","hyper"
"421","3090.0","66.0","452.0","16.0","14.0","hyper","hyper"
"13","2045.0","50.0","130.0","4.0","14.0","super","super"
"501","2145.0","50.0","170.0","4.0","14.0","super","super"
"379","1595.0","33.0","85.0","2.0","14.0","special","special"
"421","3090.0","66.0","452.0","16.0","14.0","hyper","hyper"
"13","2045.0","50.0","130.0","4.0","14.0","super","super"
"501","2145.0","50.0","170.0","4.0","14.0","super","super"
"379","1595.0","33.0","85.0","2.0","14.0","special","special"
"257","3035.0","50.0","250.0","8.0","17.0","hyper","hyper"
"339","2905.0","66.0","250.0","8.0","17.0","hyper","super"
"72","2725.0","33.0","210.0","4.0","17.0","hyper","hyper"
"358","2645.0","66.0","250.0","8.0","15.0","mega","mega"
"257","3035.0","50.0","250.0","8.0","17.0","hyper","hyper"
"339","2905.0","66.0","250.0","8.0","17.0","hyper","super"
"72","2725.0","33.0","210.0","4.0","17.0","hyper","hyper"
"358","2645.0","66.0","250.0","8.0","15.0","mega","mega"
"522","2590.0","33.0","340.0","8.0","14.0","mega","mega"
"604","2590.0","25.0","452.0","16.0","15.0","mega","mega"
"398","1795.0","33.0","170.0","4.0","14.0","super","super"
"154","2075.0","33.0","250.0","8.0","14.0","super","super"
"522","2590.0","33.0","340.0","8.0","14.0","mega","mega"
"604","2590.0","25.0","452.0","16.0","15.0","mega","mega"
"398","1795.0","33.0","170.0","4.0","14.0","super","super"
"154","2075.0","33.0","250.0","8.0","14.0","super","super"
"276","2995.0","66.0","340.0","16.0","14.0","hyper","hyper"
"196","2055.0","33.0","250.0","8.0","14.0","super","super"
"173","1795.0","33.0","170.0","4.0","15.0","super","super"
"215","2985.0","66.0","250.0","8.0","17.0","hyper","mega"
"276","2995.0","66.0","340.0","16.0","14.0","hyper","hyper"
"196","2055.0","33.0","250.0","8.0","14.0","super","super"
"173","1795.0","33.0","170.0","4.0","15.0","super","super"
"215","2985.0","66.0","250.0","8.0","17.0","hyper","mega"
"541","2690.0","33.0","452.0","16.0","15.0","mega","mega"
"32","1995.0","25.0","130.0","4.0","14.0","super","super"
"438","2019.0","33.0","120.0","4.0","14.0","super","super"
"480","2290.0","50.0","214.0","4.0","15.0","mega","mega"
"541","2690.0","33.0","452.0","16.0","15.0","mega","mega"
"32","1995.0","25.0","130.0","4.0","14.0","super","super"
"438","2019.0","33.0","120.0","4.0","14.0","super","super"
"480","2290.0","50.0","214.0","4.0","15.0","mega","mega"
"133","2220.0","33.0","250.0","4.0","14.0","super","super"
"297","2155.0","33.0","250.0","8.0","14.0","super","super"
"295","2299.0","50.0","212.0","4.0","14.0","mega","mega"
"520","2025.0","50.0","170.0","4.0","14.0","super","super"
"133","2220.0","33.0","250.0","4.0","14.0","super","super"
"297","2155.0","33.0","250.0","8.0","14.0","super","super"
"295","2299.0","50.0","212.0","4.0","14.0","mega","mega"
"520","2025.0","50.0","170.0","4.0","14.0","super","super"
"581","1998.0","66.0","130.0","4.0","14.0","super","super"
"337","1795.0","33.0","170.0","4.0","14.0","super","super"
"560","2245.0","66.0","250.0","4.0","15.0","super","super"
"377","2695.0","33.0","340.0","16.0","14.0","mega","mega"
"581","1998.0","66.0","130.0","4.0","14.0","super","super"
"337","1795.0","33.0","170.0","4.0","14.0","super","super"
"560","2245.0","66.0","250.0","4.0","15.0","super","super"
"377","2695.0","33.0","340.0","16.0","14.0","mega","mega"
"234","2195.0","33.0","170.0","8.0","15.0","super","super"
"602","2590.0","25.0","452.0","16.0","14.0","mega","hyper"
"213","2420.0","33.0","170.0","8.0","15.0","mega","mega"
"621","2555.0","50.0","250.0","8.0","17.0","mega","mega"
"234","2195.0","33.0","170.0","8.0","15.0","super","super"
"602","2590.0","25.0","452.0","16.0","14.0","mega","hyper"
"213","2420.0","33.0","170.0","8.0","15.0","mega","mega"
"621","2555.0","50.0","250.0","8.0","17.0","mega","mega"
"274","2695.0","33.0","340.0","16.0","14.0","mega","mega"
"194","2055.0","50.0","170.0","4.0","14.0","super","super"
"478","1720.0","33.0","170.0","4.0","14.0","special","special"
"417","1995.0","33.0","250.0","8.0","14.0","super","super"
"274","2695.0","33.0","340.0","16.0","14.0","mega","mega"
"194","2055.0","50.0","170.0","4.0","14.0","super","super"
"478","1720.0","33.0","170.0","4.0","14.0","special","special"
"417","1995.0","33.0","250.0","8.0","14.0","super","super"
"131","2295.0","66.0","130.0","4.0","14.0","mega","mega"
"459","2905.0","66.0","250.0","8.0","17.0","hyper","hyper"
"518","2290.0","50.0","214.0","4.0","14.0","mega","mega"
"335","1699.0","33.0","120.0","4.0","14.0","special","special"
"131","2295.0","66.0","130.0","4.0","14.0","mega","mega"
"459","2905.0","66.0","250.0","8.0","17.0","hyper","hyper"
"518","2290.0","50.0","214.0","4.0","14.0","mega","mega"
"335","1699.0","33.0","120.0","4.0","14.0","special","special"
"600","1675.0","25.0","120.0","4.0","14.0","special","special"
"316","1995.0","50.0","170.0","4.0","14.0","super","super"
"110","2145.0","66.0","170.0","4.0","14.0","super","super"
"192","2499.0","50.0","210.0","4.0","14.0","mega","mega"
"600","1675.0","25.0","120.0","4.0","14.0","special","special"
"316","1995.0","50.0","170.0","4.0","14.0","super","super"
"110","2145.0","66.0","170.0","4.0","14.0","super","super"
"192","2499.0","50.0","210.0","4.0","14.0","mega","mega"
"396","2999.0","66.0","245.0","16.0","15.0","hyper","hyper"
"499","2190.0","33.0","214.0","4.0","14.0","super","super"
"558","3699.0","33.0","345.0","16.0","17.0","uber","mega"
"457","3105.0","66.0","250.0","8.0","17.0","hyper","hyper"
"396","2999.0","66.0","245.0","16.0","15.0","hyper","hyper"
"499","2190.0","33.0","214.0","4.0","14.0","super","super"
"558","3699.0","33.0","345.0","16.0","17.0","uber","mega"
"457","3105.0","66.0","250.0","8.0","17.0","hyper","hyper"
"253","2395.0","33.0","170.0","8.0","14.0","mega","mega"
"9","2225.0","50.0","210.0","8.0","14.0","super","super"
"150","3895.0","66.0","500.0","8.0","15.0","uber","uber"
"232","2720.0","33.0","250.0","8.0","15.0","hyper","hyper"
"253","2395.0","33.0","170.0","8.0","14.0","mega","mega"
"9","2225.0","50.0","210.0","8.0","14.0","super","super"
"150","3895.0","66.0","500.0","8.0","15.0","uber","uber"
"232","2720.0","33.0","250.0","8.0","15.0","hyper","hyper"
"436","1399.0","25.0","170.0","4.0","14.0","special","special"
"49","2399.0","50.0","212.0","4.0","14.0","mega","mega"
"415","3999.0","66.0","340.0","16.0","17.0","uber","uber"
"333","2190.0","33.0","130.0","4.0","14.0","super","super"
"436","1399.0","25.0","170.0","4.0","14.0","special","special"
"49","2399.0","50.0","212.0","4.0","14.0","mega","mega"
"415","3999.0","66.0","340.0","16.0","17.0","uber","uber"
"333","2190.0","33.0","130.0","4.0","14.0","super","super"
"293","2495.0","50.0","245.0","8.0","14.0","mega","mega"
"375","1890.0","66.0","85.0","2.0","14.0","super","super"
"7","1720.0","25.0","170.0","4.0","14.0","special","special"
"47","2195.0","33.0","130.0","4.0","14.0","super","super"
"293","2495.0","50.0","245.0","8.0","14.0","mega","mega"
"375","1890.0","66.0","85.0","2.0","14.0","super","super"
"7","1720.0","25.0","170.0","4.0","14.0","special","special"
"47","2195.0","33.0","130.0","4.0","14.0","super","super"
"619","2290.0","50.0","214.0","4.0","15.0","mega","mega"
"28","3995.0","33.0","452.0","8.0","14.0","uber","uber"
"272","4020.0","66.0","500.0","8.0","14.0","uber","uber"
"169","1595.0","33.0","85.0","2.0","14.0","special","mega"
"619","2290.0","50.0","214.0","4.0","15.0","mega","mega"
"28","3995.0","33.0","452.0","8.0","14.0","uber","uber"
"272","4020.0","66.0","500.0","8.0","14.0","uber","uber"
"169","1595.0","33.0","85.0","2.0","14.0","special","mega"
"108","1720.0","25.0","170.0","4.0","14.0","special","special"
"89","1395.0","25.0","85.0","2.0","14.0","special","special"
"598","2899.0","66.0","340.0","8.0","15.0","hyper","hyper"
"495","2690.0","50.0","340.0","8.0","15.0","mega","mega"
"108","1720.0","25.0","170.0","4.0","14.0","special","special"
"89","1395.0","25.0","85.0","2.0","14.0","special","special"
"598","2899.0","66.0","340.0","8.0","15.0","hyper","hyper"
"495","2690.0","50.0","340.0","8.0","15.0","mega","mega"
"577","2145.0","66.0","250.0","4.0","14.0","super","super"
"354","2090.0","33.0","130.0","4.0","14.0","super","super"
"190","2999.0","66.0","245.0","16.0","15.0","hyper","special"
"535","2090.0","33.0","214.0","4.0","14.0","super","super"
"577","2145.0","66.0","250.0","4.0","14.0","super","super"
"354","2090.0","33.0","130.0","4.0","14.0","super","super"
"190","2999.0","66.0","245.0","16.0","15.0","hyper","special"
"535","2090.0","33.0","214.0","4.0","14.0","super","super"
"26","1290.0","33.0","80.0","2.0","14.0","special","special"
"211","2395.0","33.0","245.0","8.0","14.0","mega","mega"
"455","2515.0","33.0","250.0","8.0","15.0","mega","mega"
"85","2595.0","25.0","245.0","8.0","14.0","mega","mega"
"26","1290.0","33.0","80.0","2.0","14.0","special","special"
"211","2395.0","33.0","245.0","8.0","14.0","mega","mega"
"455","2515.0","33.0","250.0","8.0","15.0","mega","mega"
"85","2595.0","25.0","245.0","8.0","14.0","mega","mega"
"291","3995.0","66.0","452.0","8.0","14.0","uber","uber"
"476","1490.0","25.0","107.0","2.0","15.0","special","special"
"516","2935.0","50.0","250.0","8.0","17.0","hyper","hyper"
"350","2145.0","50.0","170.0","4.0","14.0","super","super"
"291","3995.0","66.0","452.0","8.0","14.0","uber","uber"
"476","1490.0","25.0","107.0","2.0","15.0","special","special"
"516","2935.0","50.0","250.0","8.0","17.0","hyper","hyper"
"350","2145.0","50.0","170.0","4.0","14.0","super","super"
"148","2199.0","33.0","212.0","4.0","14.0","super","super"
"68","1499.0","25.0","120.0","4.0","14.0","special","special"
"556","1490.0","33.0","107.0","2.0","14.0","special","super"
"146","2595.0","66.0","245.0","8.0","14.0","mega","mega"
"148","2199.0","33.0","212.0","4.0","14.0","super","super"
"68","1499.0","25.0","120.0","4.0","14.0","special","special"
"556","1490.0","33.0","107.0","2.0","14.0","special","super"
"146","2595.0","66.0","245.0","8.0","14.0","mega","mega"
"617","2999.0","66.0","240.0","4.0","15.0","hyper","hyper"
"537","2195.0","50.0","250.0","4.0","14.0","super","super"
"270","2999.0","66.0","340.0","4.0","15.0","hyper","hyper"
"207","2885.0","66.0","170.0","8.0","15.0","hyper","hyper"
"617","2999.0","66.0","240.0","4.0","15.0","hyper","hyper"
"537","2195.0","50.0","250.0","4.0","14.0","super","super"
"270","2999.0","66.0","340.0","4.0","15.0","hyper","hyper"
"207","2885.0","66.0","170.0","8.0","15.0","hyper","hyper"
"413","2090.0","33.0","214.0","4.0","15.0","super","super"
"394","1399.0","25.0","170.0","4.0","14.0","special","special"
"453","2420.0","33.0","250.0","8.0","15.0","mega","mega"
"390","1895.0","50.0","170.0","4.0","14.0","super","super"
"413","2090.0","33.0","214.0","4.0","15.0","super","super"
"394","1399.0","25.0","170.0","4.0","14.0","special","special"
"453","2420.0","33.0","250.0","8.0","15.0","mega","mega"
"390","1895.0","50.0","170.0","4.0","14.0","super","super"
"5","3295.0","33.0","340.0","16.0","14.0","hyper","super"
"251","2399.0","66.0","213.0","8.0","14.0","mega","mega"
"310","3795.0","33.0","452.0","8.0","14.0","uber","uber"
"247","3299.0","66.0","245.0","16.0","15.0","hyper","hyper"
"5","3295.0","33.0","340.0","16.0","14.0","hyper","super"
"251","2399.0","66.0","213.0","8.0","14.0","mega","mega"
"310","3795.0","33.0","452.0","8.0","14.0","uber","uber"
"247","3299.0","66.0","245.0","16.0","15.0","hyper","hyper"
"474","2299.0","33.0","405.0","8.0","14.0","mega","mega"
"87","2075.0","33.0","210.0","8.0","14.0","super","super"
"575","2299.0","66.0","120.0","4.0","14.0","mega","mega"
"512","2645.0","50.0","250.0","8.0","15.0","mega","mega"
"474","2299.0","33.0","405.0","8.0","14.0","mega","mega"
"87","2075.0","33.0","210.0","8.0","14.0","super","super"
"575","2299.0","66.0","120.0","4.0","14.0","mega","mega"
"512","2645.0","50.0","250.0","8.0","15.0","mega","mega"
"331","1999.0","33.0","170.0","4.0","14.0","super","super"
"352","2525.0","50.0","250.0","8.0","14.0","mega","mega"
"167","2495.0","50.0","245.0","8.0","14.0","mega","mega"
"287","1399.0","25.0","170.0","4.0","14.0","special","special"
"331","1999.0","33.0","170.0","4.0","14.0","super","super"
"352","2525.0","50.0","250.0","8.0","14.0","mega","mega"
"167","2495.0","50.0","245.0","8.0","14.0","mega","mega"
"287","1399.0","25.0","170.0","4.0","14.0","special","special"
"596","1520.0","25.0","80.0","4.0","14.0","special","special"
"392","2595.0","66.0","245.0","8.0","14.0","mega","mega"
"228","2895.0","50.0","340.0","16.0","14.0","hyper","hyper"
"552","1295.0","25.0","107.0","2.0","14.0","special","mega"
"596","1520.0","25.0","80.0","4.0","14.0","special","special"
"392","2595.0","66.0","245.0","8.0","14.0","mega","mega"
"228","2895.0","50.0","340.0","16.0","14.0","hyper","hyper"
"552","1295.0","25.0","107.0","2.0","14.0","special","mega"
"188","2575.0","66.0","250.0","8.0","14.0","mega","mega"
"249","1695.0","50.0","85.0","2.0","14.0","special","special"
"493","2195.0","50.0","214.0","4.0","14.0","super","super"
"144","1975.0","50.0","170.0","4.0","14.0","super","super"
"188","2575.0","66.0","250.0","8.0","14.0","mega","mega"
"249","1695.0","50.0","85.0","2.0","14.0","special","special"
"493","2195.0","50.0","214.0","4.0","14.0","super","super"
"144","1975.0","50.0","170.0","4.0","14.0","super","super"
"24","2875.0","50.0","210.0","4.0","17.0","hyper","hyper"
"514","1890.0","66.0","107.0","2.0","15.0","super","super"
"615","1799.0","33.0","120.0","4.0","14.0","super","super"
"388","2099.0","66.0","120.0","4.0","14.0","super","super"
"24","2875.0","50.0","210.0","4.0","17.0","hyper","hyper"
"514","1890.0","66.0","107.0","2.0","15.0","super","super"
"615","1799.0","33.0","120.0","4.0","14.0","super","super"
"388","2099.0","66.0","120.0","4.0","14.0","super","super"
"289","2595.0","25.0","340.0","16.0","14.0","mega","mega"
"106","2995.0","66.0","250.0","8.0","17.0","hyper","hyper"
"268","2785.0","50.0","170.0","8.0","15.0","hyper","super"
"449","1499.0","33.0","120.0","4.0","14.0","special","special"
"289","2595.0","25.0","340.0","16.0","14.0","mega","mega"
"106","2995.0","66.0","250.0","8.0","17.0","hyper","hyper"
"268","2785.0","50.0","170.0","8.0","15.0","hyper","super"
"449","1499.0","33.0","120.0","4.0","14.0","special","special"
"3","1595.0","25.0","170.0","4.0","15.0","special","special"
"371","2490.0","33.0","245.0","8.0","14.0","mega","mega"
"533","2895.0","50.0","452.0","16.0","14.0","hyper","hyper"
"102","2195.0","25.0","245.0","8.0","14.0","super","super"
"3","1595.0","25.0","170.0","4.0","15.0","special","special"
"371","2490.0","33.0","245.0","8.0","14.0","mega","mega"
"533","2895.0","50.0","452.0","16.0","14.0","hyper","hyper"
"102","2195.0","25.0","245.0","8.0","14.0","super","super"
"329","3090.0","66.0","340.0","16.0","14.0","hyper","hyper"
"411","1495.0","33.0","170.0","4.0","14.0","special","special"
"165","2795.0","33.0","340.0","16.0","14.0","hyper","hyper"
"428","2390.0","25.0","340.0","8.0","14.0","mega","mega"
"329","3090.0","66.0","340.0","16.0","14.0","hyper","hyper"
"411","1495.0","33.0","170.0","4.0","14.0","special","special"
"165","2795.0","33.0","340.0","16.0","14.0","hyper","hyper"
"428","2390.0","25.0","340.0","8.0","14.0","mega","mega"
"186","2395.0","33.0","245.0","8.0","14.0","mega","mega"
"64","2220.0","33.0","250.0","4.0","14.0","super","super"
"22","2795.0","66.0","130.0","4.0","14.0","hyper","hyper"
"224","3895.0","50.0","452.0","8.0","14.0","uber","uber"
"186","2395.0","33.0","245.0","8.0","14.0","mega","mega"
"64","2220.0","33.0","250.0","4.0","14.0","super","super"
"22","2795.0","66.0","130.0","4.0","14.0","hyper","hyper"
"224","3895.0","50.0","452.0","8.0","14.0","uber","uber"
"43","2499.0","33.0","212.0","8.0","14.0","mega","mega"
"430","2295.0","25.0","340.0","8.0","14.0","mega","mega"
"613","2790.0","66.0","340.0","8.0","15.0","hyper","hyper"
"489","2855.0","50.0","250.0","8.0","17.0","hyper","hyper"
"43","2499.0","33.0","212.0","8.0","14.0","mega","mega"
"430","2295.0","25.0","340.0","8.0","14.0","mega","mega"
"613","2790.0","66.0","340.0","8.0","15.0","hyper","hyper"
"489","2855.0","50.0","250.0","8.0","17.0","hyper","hyper"
