"pid","attribute","attrvalue","response"
7,"petal_length  ",1.4,"          1"
36,"petal_length  ",1.2,"          1"
116,"sepal_width ",3.2,"          3"
34,"sepal_width ",4.2,"          1"
7,"sepal_width ",3.4,"          1"
36,"sepal_width ",3.2,"          1"
116,"sepal_length",6.4,"          3"
34,"sepal_length",5.5,"          1"
7,"sepal_length",4.6,"          1"
36,"sepal_length",5,"          1"
93,"petal_width   ",1.2,"          2"
13,"petal_width   ",0.1,"          1"
127,"petal_width   ",1.8,"          3"
97,"petal_width   ",1.3,"          2"
93,"petal_length  ",4,"          2"
13,"petal_length  ",1.4,"          1"
127,"petal_length  ",4.8,"          3"
97,"petal_length  ",4.2,"          2"
93,"sepal_width ",2.6,"          2"
13,"sepal_width ",3,"          1"
127,"sepal_width ",2.8,"          3"
97,"sepal_width ",2.9,"          2"
93,"sepal_length",5.8,"          2"
13,"sepal_length",4.8,"          1"
127,"sepal_length",6.2,"          3"
97,"sepal_length",5.7,"          2"
133,"petal_width   ",2.2,"          3"
32,"petal_width   ",0.4,"          1"
22,"petal_width   ",0.4,"          1"
137,"petal_width   ",2.4,"          3"
133,"petal_length  ",5.6,"          3"
32,"petal_length  ",1.5,"          1"
22,"petal_length  ",1.5,"          1"
137,"petal_length  ",5.6,"          3"
133,"sepal_width ",2.8,"          3"
32,"sepal_width ",3.4,"          1"
22,"sepal_width ",3.7,"          1"
137,"sepal_width ",3.4,"          3"
133,"sepal_length",6.4,"          3"
32,"sepal_length",5.4,"          1"
22,"sepal_length",5.1,"          1"
137,"sepal_length",6.3,"          3"
131,"petal_length  ",6.1,"          3"
11,"petal_length  ",1.5,"          1"
62,"petal_length  ",4.2,"          2"
74,"petal_length  ",4.7,"          2"
131,"sepal_width ",2.8,"          3"
11,"sepal_width ",3.7,"          1"
62,"sepal_width ",3,"          2"
74,"sepal_width ",2.8,"          2"
131,"sepal_length",7.4,"          3"
11,"sepal_length",5.4,"          1"
62,"sepal_length",5.9,"          2"
74,"sepal_length",6.1,"          2"
131,"petal_width   ",1.9,"          3"
11,"petal_width   ",0.2,"          1"
62,"petal_width   ",1.5,"          2"
74,"petal_width   ",1.2,"          2"
108,"petal_width   ",1.8,"          3"
51,"petal_width   ",1.4,"          2"
39,"petal_width   ",0.2,"          1"
53,"petal_width   ",1.5,"          2"
108,"petal_length  ",6.3,"          3"
51,"petal_length  ",4.7,"          2"
39,"petal_length  ",1.3,"          1"
53,"petal_length  ",4.9,"          2"
108,"sepal_width ",2.9,"          3"
51,"sepal_width ",3.2,"          2"
39,"sepal_width ",3,"          1"
53,"sepal_width ",3.1,"          2"
108,"sepal_length",7.3,"          3"
51,"sepal_length",7,"          2"
39,"sepal_length",4.4,"          1"
53,"sepal_length",6.9,"          2"
26,"petal_width   ",0.2,"          1"
9,"petal_width   ",0.2,"          1"
37,"petal_width   ",0.2,"          1"
114,"petal_width   ",2,"          3"
26,"petal_length  ",1.6,"          1"
9,"petal_length  ",1.4,"          1"
37,"petal_length  ",1.3,"          1"
114,"petal_length  ",5,"          3"
26,"sepal_width ",3,"          1"
9,"sepal_width ",2.9,"          1"
37,"sepal_width ",3.5,"          1"
114,"sepal_width ",2.5,"          3"
26,"sepal_length",5,"          1"
9,"sepal_length",4.4,"          1"
37,"sepal_length",5.5,"          1"
114,"sepal_length",5.7,"          3"
148,"petal_width   ",2,"          3"
49,"petal_width   ",0.2,"          1"
77,"petal_width   ",1.4,"          2"
91,"petal_width   ",1.2,"          2"
148,"petal_length  ",5.2,"          3"
49,"petal_length  ",1.5,"          1"
77,"petal_length  ",4.8,"          2"
91,"petal_length  ",4.4,"          2"
148,"sepal_width ",3,"          3"
49,"sepal_width ",3.7,"          1"
77,"sepal_width ",2.8,"          2"
91,"sepal_width ",2.6,"          2"
148,"sepal_length",6.5,"          3"
49,"sepal_length",5.3,"          1"
77,"sepal_length",6.8,"          2"
91,"sepal_length",5.5,"          2"
24,"petal_width   ",0.5,"          1"
28,"petal_width   ",0.2,"          1"
54,"petal_width   ",1.3,"          2"
129,"petal_width   ",2.1,"          3"
24,"petal_length  ",1.7,"          1"
28,"petal_length  ",1.5,"          1"
54,"petal_length  ",4,"          2"
129,"petal_length  ",5.6,"          3"
24,"sepal_width ",3.3,"          1"
28,"sepal_width ",3.5,"          1"
54,"sepal_width ",2.3,"          2"
129,"sepal_width ",2.8,"          3"
24,"sepal_length",5.1,"          1"
28,"sepal_length",5.2,"          1"
54,"sepal_length",5.5,"          2"
129,"sepal_length",6.4,"          3"
3,"petal_width   ",0.2,"          1"
89,"petal_width   ",1.3,"          2"
94,"petal_width   ",1,"          2"
47,"petal_width   ",0.2,"          1"
3,"petal_length  ",1.3,"          1"
89,"petal_length  ",4.1,"          2"
94,"petal_length  ",3.3,"          2"
47,"petal_length  ",1.6,"          1"
3,"sepal_width ",3.2,"          1"
89,"sepal_width ",3,"          2"
94,"sepal_width ",2.3,"          2"
47,"sepal_width ",3.8,"          1"
3,"sepal_length",4.7,"          1"
89,"sepal_length",5.6,"          2"
94,"sepal_length",5,"          2"
47,"sepal_length",5.1,"          1"
43,"petal_width   ",0.2,"          1"
68,"petal_width   ",1,"          2"
12,"petal_width   ",0.2,"          1"
146,"petal_width   ",2.3,"          3"
43,"petal_length  ",1.3,"          1"
68,"petal_length  ",4.1,"          2"
12,"petal_length  ",1.6,"          1"
146,"petal_length  ",5.2,"          3"
43,"sepal_width ",3.2,"          1"
68,"sepal_width ",2.7,"          2"
12,"sepal_width ",3.4,"          1"
146,"sepal_width ",3,"          3"
43,"sepal_length",4.4,"          1"
68,"sepal_length",5.8,"          2"
12,"sepal_length",4.8,"          1"
146,"sepal_length",6.7,"          3"
1,"petal_width   ",0.2,"          1"
87,"petal_width   ",1.5,"          2"
52,"petal_width   ",1.5,"          2"
144,"petal_width   ",2.3,"          3"
1,"petal_length  ",1.4,"          1"
87,"petal_length  ",4.7,"          2"
52,"petal_length  ",4.5,"          2"
144,"petal_length  ",5.9,"          3"
1,"sepal_width ",3.5,"          1"
87,"sepal_width ",3.1,"          2"
52,"sepal_width ",3.2,"          2"
144,"sepal_width ",3.2,"          3"
1,"sepal_length",5.1,"          1"
87,"sepal_length",6.7,"          2"
52,"sepal_length",6.4,"          2"
144,"sepal_length",6.8,"          3"
41,"petal_length  ",1.3,"          1"
66,"petal_length  ",4.4,"          2"
92,"petal_length  ",4.6,"          2"
102,"petal_length  ",5.1,"          3"
41,"sepal_width ",3.5,"          1"
66,"sepal_width ",3.1,"          2"
92,"sepal_width ",3,"          2"
102,"sepal_width ",2.7,"          3"
41,"sepal_length",5,"          1"
66,"sepal_length",6.7,"          2"
92,"sepal_length",6.1,"          2"
102,"sepal_length",5.8,"          3"
41,"petal_width   ",0.3,"          1"
66,"petal_width   ",1.4,"          2"
92,"petal_width   ",1.4,"          2"
102,"petal_width   ",1.9,"          3"
18,"petal_width   ",0.3,"          1"
106,"petal_width   ",2.1,"          3"
132,"petal_width   ",2,"          3"
117,"petal_width   ",1.8,"          3"
18,"petal_length  ",1.4,"          1"
106,"petal_length  ",6.6,"          3"
132,"petal_length  ",6.4,"          3"
117,"petal_length  ",5.5,"          3"
18,"sepal_width ",3.5,"          1"
106,"sepal_width ",3,"          3"
132,"sepal_width ",3.8,"          3"
117,"sepal_width ",3,"          3"
18,"sepal_length",5.1,"          1"
106,"sepal_length",7.6,"          3"
132,"sepal_length",7.9,"          3"
117,"sepal_length",6.5,"          3"
79,"petal_width   ",1.5,"          2"
64,"petal_width   ",1.4,"          2"
109,"petal_width   ",1.8,"          3"
14,"petal_width   ",0.1,"          1"
79,"petal_length  ",4.5,"          2"
64,"petal_length  ",4.7,"          2"
109,"petal_length  ",5.8,"          3"
14,"petal_length  ",1.1,"          1"
79,"sepal_width ",2.9,"          2"
64,"sepal_width ",2.9,"          2"
109,"sepal_width ",2.5,"          3"
14,"sepal_width ",3,"          1"
79,"sepal_length",6,"          2"
64,"sepal_length",6.1,"          2"
109,"sepal_length",6.7,"          3"
14,"sepal_length",4.3,"          1"
58,"petal_width   ",1,"          2"
104,"petal_width   ",1.8,"          3"
27,"petal_width   ",0.4,"          1"
31,"petal_width   ",0.2,"          1"
58,"petal_length  ",3.3,"          2"
104,"petal_length  ",5.6,"          3"
27,"petal_length  ",1.6,"          1"
31,"petal_length  ",1.6,"          1"
58,"sepal_width ",2.4,"          2"
104,"sepal_width ",2.9,"          3"
27,"sepal_width ",3.4,"          1"
31,"sepal_width ",3.1,"          1"
58,"sepal_length",4.9,"          2"
104,"sepal_length",6.3,"          3"
27,"sepal_length",5,"          1"
31,"sepal_length",4.8,"          1"
98,"petal_width   ",1.3,"          2"
83,"petal_width   ",1.2,"          2"
149,"petal_width   ",2.3,"          3"
29,"petal_width   ",0.2,"          1"
98,"petal_length  ",4.3,"          2"
83,"petal_length  ",3.9,"          2"
149,"petal_length  ",5.4,"          3"
29,"petal_length  ",1.4,"          1"
98,"sepal_width ",2.9,"          2"
83,"sepal_width ",2.7,"          2"
149,"sepal_width ",3.4,"          3"
29,"sepal_width ",3.4,"          1"
98,"sepal_length",6.2,"          2"
83,"sepal_length",5.8,"          2"
149,"sepal_length",6.2,"          3"
29,"sepal_length",5.2,"          1"
56,"petal_width   ",1.3,"          2"
123,"petal_width   ",2,"          3"
67,"petal_width   ",1.5,"          2"
69,"petal_width   ",1.5,"          2"
56,"petal_length  ",4.5,"          2"
123,"petal_length  ",6.7,"          3"
67,"petal_length  ",4.5,"          2"
69,"petal_length  ",4.5,"          2"
56,"sepal_width ",2.8,"          2"
123,"sepal_width ",2.8,"          3"
67,"sepal_width ",3,"          2"
69,"sepal_width ",2.2,"          2"
56,"sepal_length",5.7,"          2"
123,"sepal_length",7.7,"          3"
67,"sepal_length",5.6,"          2"
69,"sepal_length",6.2,"          2"
96,"petal_width   ",1.2,"          2"
81,"petal_width   ",1.1,"          2"
107,"petal_width   ",1.7,"          3"
6,"petal_width   ",0.4,"          1"
96,"petal_length  ",4.2,"          2"
81,"petal_length  ",3.8,"          2"
107,"petal_length  ",4.5,"          3"
6,"petal_length  ",1.7,"          1"
96,"sepal_width ",3,"          2"
81,"sepal_width ",2.4,"          2"
107,"sepal_width ",2.5,"          3"
6,"sepal_width ",3.9,"          1"
96,"sepal_length",5.7,"          2"
81,"sepal_length",5.5,"          2"
107,"sepal_length",4.9,"          3"
6,"sepal_length",5.4,"          1"
73,"petal_width   ",1.5,"          2"
142,"petal_width   ",2.3,"          3"
147,"petal_width   ",1.9,"          3"
46,"petal_width   ",0.3,"          1"
73,"petal_length  ",4.9,"          2"
142,"petal_length  ",5.1,"          3"
147,"petal_length  ",5,"          3"
46,"petal_length  ",1.4,"          1"
73,"sepal_width ",2.5,"          2"
142,"sepal_width ",3.1,"          3"
147,"sepal_width ",2.5,"          3"
46,"sepal_width ",3,"          1"
73,"sepal_length",6.3,"          2"
142,"sepal_length",6.9,"          3"
147,"sepal_length",6.3,"          3"
46,"sepal_length",4.8,"          1"
134,"petal_width   ",1.5,"          3"
121,"petal_width   ",2.3,"          3"
4,"petal_width   ",0.2,"          1"
86,"petal_width   ",1.6,"          2"
134,"petal_length  ",5.1,"          3"
121,"petal_length  ",5.7,"          3"
4,"petal_length  ",1.5,"          1"
86,"petal_length  ",4.5,"          2"
134,"sepal_width ",2.8,"          3"
121,"sepal_width ",3.2,"          3"
4,"sepal_width ",3.1,"          1"
86,"sepal_width ",3.4,"          2"
134,"sepal_length",6.3,"          3"
121,"sepal_length",6.9,"          3"
4,"sepal_length",4.6,"          1"
86,"sepal_length",6,"          2"
113,"petal_width   ",2.1,"          3"
119,"petal_width   ",2.3,"          3"
44,"petal_width   ",0.6,"          1"
23,"petal_width   ",0.2,"          1"
113,"petal_length  ",5.5,"          3"
119,"petal_length  ",6.9,"          3"
44,"petal_length  ",1.6,"          1"
23,"petal_length  ",1,"          1"
113,"sepal_width ",3,"          3"
119,"sepal_width ",2.6,"          3"
44,"sepal_width ",3.5,"          1"
23,"sepal_width ",3.6,"          1"
113,"sepal_length",6.8,"          3"
119,"sepal_length",7.7,"          3"
44,"sepal_length",5,"          1"
23,"sepal_length",4.6,"          1"
111,"petal_width   ",2,"          3"
16,"petal_width   ",0.4,"          1"
42,"petal_width   ",0.3,"          1"
84,"petal_width   ",1.6,"          2"
111,"petal_length  ",5.1,"          3"
16,"petal_length  ",1.5,"          1"
42,"petal_length  ",1.3,"          1"
84,"petal_length  ",5.1,"          2"
111,"sepal_width ",3.2,"          3"
16,"sepal_width ",4.4,"          1"
42,"sepal_width ",2.3,"          1"
84,"sepal_width ",2.7,"          2"
111,"sepal_length",6.5,"          3"
16,"sepal_length",5.7,"          1"
42,"sepal_length",4.5,"          1"
84,"sepal_length",6,"          2"
8,"petal_width   ",0.2,"          1"
138,"petal_width   ",1.8,"          3"
82,"petal_width   ",1,"          2"
124,"petal_width   ",1.8,"          3"
8,"petal_length  ",1.5,"          1"
138,"petal_length  ",5.5,"          3"
82,"petal_length  ",3.7,"          2"
124,"petal_length  ",4.9,"          3"
8,"sepal_width ",3.4,"          1"
138,"sepal_width ",3.1,"          3"
82,"sepal_width ",2.4,"          2"
124,"sepal_width ",2.7,"          3"
8,"sepal_length",5,"          1"
138,"sepal_length",6.4,"          3"
82,"sepal_length",5.5,"          2"
124,"sepal_length",6.3,"          3"
128,"petal_width   ",1.8,"          3"
136,"petal_width   ",2.3,"          3"
21,"petal_width   ",0.2,"          1"
128,"petal_length  ",4.9,"          3"
136,"petal_length  ",6.1,"          3"
21,"petal_length  ",1.7,"          1"
128,"sepal_width ",3,"          3"
136,"sepal_width ",3,"          3"
21,"sepal_width ",3.4,"          1"
128,"sepal_length",6.1,"          3"
136,"sepal_length",7.7,"          3"
21,"sepal_length",5.4,"          1"
126,"petal_width   ",1.8,"          3"
33,"petal_width   ",0.1,"          1"
126,"petal_length  ",6,"          3"
33,"petal_length  ",1.5,"          1"
126,"sepal_width ",3.2,"          3"
33,"sepal_width ",4.1,"          1"
126,"sepal_length",7.2,"          3"
33,"sepal_length",5.2,"          1"
2,"petal_width   ",0.2,"          1"
71,"petal_width   ",1.8,"          2"
2,"petal_length  ",1.4,"          1"
71,"petal_length  ",4.8,"          2"
2,"sepal_width ",3,"          1"
71,"sepal_width ",3.2,"          2"
2,"sepal_length",4.9,"          1"
71,"sepal_length",5.9,"          2"
48,"petal_width   ",0.2,"          1"
48,"petal_length  ",1.4,"          1"
48,"sepal_width ",3.2,"          1"
48,"sepal_length",4.6,"          1"
88,"petal_length  ",4.4,"          2"
88,"sepal_width ",2.3,"          2"
88,"sepal_length",6.3,"          2"
88,"petal_width   ",1.3,"          2"
63,"petal_width   ",1,"          2"
63,"petal_length  ",4,"          2"
63,"sepal_width ",2.2,"          2"
63,"sepal_length",6,"          2"
103,"petal_width   ",2.1,"          3"
103,"petal_length  ",5.9,"          3"
103,"sepal_width ",3,"          3"
103,"sepal_length",7.1,"          3"
143,"petal_width   ",1.9,"          3"
143,"petal_length  ",5.1,"          3"
143,"sepal_width ",2.7,"          3"
143,"sepal_length",5.8,"          3"
