"sn","response"
384,"eclectic"
180,"classic"
241,"classic"
506,"eclectic"
98,"eclectic"
363,"bungalow"
546,"bungalow"
56,"classic"
96,"classic"
361,"bungalow"
218,"classic"
75,"classic"
258,"eclectic"
523,"bungalow"
115,"eclectic"
359,"eclectic"
73,"classic"
134,"eclectic"
399,"eclectic"
521,"bungalow"
113,"eclectic"
378,"bungalow"
439,"eclectic"
235,"classic"
296,"classic"
418,"eclectic"
90,"classic"
151,"eclectic"
416,"eclectic"
8,"eclectic"
273,"eclectic"
130,"bungalow"
395,"eclectic"
456,"eclectic"
313,"eclectic"
170,"classic"
414,"classic"
128,"bungalow"
454,"eclectic"
168,"classic"
433,"eclectic"
290,"classic"
473,"classic"
126,"eclectic"
166,"eclectic"
431,"eclectic"
288,"eclectic"
145,"eclectic"
206,"eclectic"
2,"classic"
471,"eclectic"
328,"bungalow"
185,"classic"
450,"eclectic"
511,"eclectic"
265,"classic"
244,"classic"
305,"eclectic"
101,"eclectic"
427,"classic"
284,"classic"
141,"eclectic"
17,"classic"
282,"eclectic"
139,"classic"
404,"eclectic"
261,"classic"
322,"eclectic"
179,"eclectic"
444,"eclectic"
484,"eclectic"
320,"eclectic"
34,"eclectic"
299,"eclectic"
156,"eclectic"
482,"eclectic"
196,"classic"
32,"classic"
297,"classic"
11,"eclectic"
337,"bungalow"
194,"eclectic"
51,"eclectic"
316,"eclectic"
499,"eclectic"
356,"eclectic"
9,"eclectic"
49,"classic"
375,"bungalow"
171,"eclectic"
28,"classic"
89,"classic"
354,"eclectic"
211,"classic"
476,"eclectic"
68,"eclectic"
537,"eclectic"
394,"bungalow"
87,"eclectic"
352,"eclectic"
66,"eclectic"
392,"eclectic"
514,"eclectic"
106,"classic"
371,"eclectic"
64,"eclectic"
369,"bungalow"
430,"eclectic"
226,"eclectic"
83,"classic"
409,"eclectic"
266,"eclectic"
531,"bungalow"
123,"classic"
81,"classic"
407,"eclectic"
121,"eclectic"
386,"eclectic"
447,"bungalow"
243,"eclectic"
304,"eclectic"
426,"eclectic"
466,"eclectic"
119,"bungalow"
159,"eclectic"
424,"eclectic"
281,"eclectic"
138,"classic"
464,"classic"
321,"eclectic"
178,"eclectic"
422,"eclectic"
136,"eclectic"
197,"classic"
462,"classic"
33,"classic"
502,"eclectic"
298,"classic"
481,"eclectic"
174,"classic"
153,"classic"
214,"eclectic"
10,"eclectic"
479,"eclectic"
71,"classic"
336,"eclectic"
193,"classic"
458,"bungalow"
519,"bungalow"
376,"bungalow"
233,"classic"
477,"eclectic"
191,"eclectic"
48,"classic"
517,"eclectic"
231,"eclectic"
496,"eclectic"
88,"eclectic"
536,"eclectic"
189,"classic"
229,"eclectic"
494,"eclectic"
351,"eclectic"
208,"eclectic"
269,"eclectic"
65,"eclectic"
534,"eclectic"
391,"eclectic"
248,"classic"
513,"eclectic"
63,"eclectic"
532,"bungalow"
246,"classic"
103,"bungalow"
368,"bungalow"
225,"eclectic"
286,"eclectic"
143,"eclectic"
40,"eclectic"
223,"eclectic"
488,"classic"
80,"eclectic"
345,"eclectic"
406,"eclectic"
528,"bungalow"
120,"bungalow"
446,"bungalow"
343,"eclectic"
200,"eclectic"
57,"classic"
118,"eclectic"
383,"bungalow"
240,"classic"
505,"eclectic"
158,"eclectic"
423,"eclectic"
55,"classic"
503,"eclectic"
95,"bungalow"
360,"bungalow"
217,"bungalow"
278,"eclectic"
543,"eclectic"
135,"eclectic"
400,"eclectic"
461,"classic"
175,"classic"
501,"eclectic"
72,"eclectic"
398,"eclectic"
112,"classic"
173,"classic"
438,"eclectic"
295,"classic"
213,"classic"
478,"eclectic"
518,"eclectic"
110,"eclectic"
150,"classic"
415,"eclectic"
7,"eclectic"
272,"eclectic"
190,"eclectic"
455,"eclectic"
516,"eclectic"
230,"eclectic"
270,"eclectic"
127,"bungalow"
453,"eclectic"
310,"eclectic"
167,"eclectic"
228,"classic"
493,"eclectic"
268,"eclectic"
533,"eclectic"
165,"eclectic"
22,"eclectic"
205,"eclectic"
470,"eclectic"
62,"classic"
327,"bungalow"
245,"classic"
510,"eclectic"
285,"classic"
325,"eclectic"
182,"classic"
39,"eclectic"
508,"eclectic"
365,"eclectic"
222,"eclectic"
283,"eclectic"
37,"eclectic"
220,"eclectic"
485,"eclectic"
77,"classic"
342,"eclectic"
525,"bungalow"
382,"bungalow"
35,"eclectic"
300,"eclectic"
54,"eclectic"
380,"eclectic"
94,"bungalow"
420,"eclectic"
12,"classic"
277,"eclectic"
338,"bungalow"
52,"eclectic"
92,"eclectic"
275,"eclectic"
397,"eclectic"
50,"eclectic"
315,"eclectic"
437,"bungalow"
252,"eclectic"
109,"eclectic"
435,"eclectic"
27,"classic"
292,"classic"
149,"eclectic"
475,"eclectic"
67,"eclectic"
332,"bungalow"
393,"eclectic"
107,"classic"
147,"eclectic"
4,"eclectic"
330,"bungalow"
187,"classic"
452,"eclectic"
44,"eclectic"
105,"eclectic"
370,"eclectic"
492,"eclectic"
410,"eclectic"
42,"eclectic"
307,"eclectic"
164,"classic"
490,"classic"
82,"classic"
347,"eclectic"
204,"eclectic"
