ID,row_i,MAGNITUDE
1,116,1.16e+02
1,117,1.17e+02
1,118,1.18e+02
1,119,1.19e+02
1,120,1.2e+02
1,121,1.21e+02
1,122,1.22e+02
1,123,1.23e+02
1,124,1.24e+02
1,125,1.25e+02
1,126,1.26e+02
1,127,1.27e+02
1,128,1.28e+02
1,129,1.29e+02
1,130,1.3e+02
1,131,1.31e+02
1,132,1.32e+02
1,133,1.33e+02
1,134,1.34e+02
1,135,1.35e+02
1,136,1.36e+02
1,137,1.37e+02
1,138,1.38e+02
1,139,1.39e+02
1,140,1.4e+02
1,141,1.41e+02
1,142,1.42e+02
1,143,1.43e+02
1,144,1.44e+02
1,145,1.45e+02
1,146,1.46e+02
1,147,1.47e+02
1,148,1.48e+02
1,149,1.49e+02
1,150,1.5e+02
1,151,1.51e+02
1,152,1.52e+02
1,153,1.53e+02
1,154,1.54e+02
1,155,1.55e+02
1,156,1.56e+02
1,157,1.57e+02
1,158,1.58e+02
1,159,1.59e+02
1,160,1.6e+02
1,161,1.61e+02
1,162,1.62e+02
1,163,1.63e+02
1,164,1.64e+02
1,165,1.65e+02
1,166,1.66e+02
1,167,1.67e+02
1,168,1.68e+02
1,169,1.69e+02
1,170,1.7e+02
1,171,1.71e+02
1,172,1.72e+02
1,173,1.73e+02
1,174,1.74e+02
1,175,1.75e+02
1,176,1.76e+02
1,177,1.77e+02
1,178,1.78e+02
1,179,1.79e+02
1,180,1.8e+02
1,181,1.81e+02
1,182,1.82e+02
1,183,1.83e+02
1,184,1.84e+02
1,185,1.85e+02
1,186,1.86e+02
1,187,1.87e+02
1,188,1.88e+02
1,189,1.89e+02
1,190,1.9e+02
1,191,1.91e+02
1,192,1.92e+02
1,193,1.93e+02
1,194,1.94e+02
1,195,1.95e+02
1,196,1.96e+02
1,197,1.97e+02
1,198,1.98e+02
1,199,1.99e+02
1,200,2e+02
1,201,2.01e+02
1,202,2.02e+02
1,203,2.03e+02
1,204,2.04e+02
1,205,2.05e+02
1,206,2.06e+02
1,207,2.07e+02
1,208,2.08e+02
1,209,2.09e+02
1,210,2.1e+02
1,211,2.11e+02
1,212,2.12e+02
1,213,2.13e+02
1,214,2.14e+02
1,215,2.15e+02
1,216,2.16e+02
1,217,2.17e+02
1,218,2.18e+02
1,219,2.19e+02
1,220,2.2e+02
1,221,2.21e+02
1,222,2.22e+02
1,223,2.23e+02
1,224,2.24e+02
1,225,2.25e+02
1,226,2.26e+02
1,227,2.27e+02
1,228,2.28e+02
1,229,2.29e+02
1,230,2.3e+02
1,231,2.31e+02
1,232,2.32e+02
1,233,2.33e+02
1,234,2.34e+02
1,235,2.35e+02
1,236,2.36e+02
1,237,2.37e+02
1,238,2.38e+02
1,239,2.39e+02
1,240,2.4e+02
1,241,2.41e+02
1,242,2.42e+02
1,243,2.43e+02
1,244,2.44e+02
1,245,2.45e+02
1,246,2.46e+02
1,247,2.47e+02
1,248,2.48e+02
1,249,2.49e+02
1,250,2.5e+02
1,251,2.51e+02
1,252,2.52e+02
1,253,2.53e+02
1,254,2.54e+02
1,255,2.55e+02
1,256,2.56e+02
1,257,2.57e+02
1,258,2.58e+02
1,259,2.59e+02
1,260,2.6e+02
1,261,2.61e+02
1,262,2.62e+02
1,263,2.63e+02
1,264,2.64e+02
1,265,2.65e+02
1,266,2.66e+02
1,267,2.67e+02
1,268,2.68e+02
1,269,2.69e+02
1,270,2.7e+02
1,271,2.71e+02
1,272,2.72e+02
1,273,2.73e+02
1,274,2.74e+02
1,275,2.75e+02
1,276,2.76e+02
1,277,2.77e+02
1,278,2.78e+02
1,279,2.79e+02
1,280,2.8e+02
1,281,2.81e+02
1,282,2.82e+02
1,283,2.83e+02
1,284,2.84e+02
1,285,2.85e+02
1,286,2.86e+02
1,287,2.87e+02
1,288,2.88e+02
1,289,2.89e+02
1,290,2.9e+02
1,291,2.91e+02
1,292,2.92e+02
1,293,2.93e+02
1,294,2.94e+02
1,295,2.95e+02
1,296,2.96e+02
1,297,2.97e+02
1,298,2.98e+02
1,299,2.99e+02
1,300,3e+02
1,301,3.01e+02
1,302,3.02e+02
1,303,3.03e+02
1,304,3.04e+02
1,305,3.05e+02
1,306,3.06e+02
1,307,3.07e+02
1,308,3.08e+02
1,309,3.09e+02
1,310,3.1e+02
1,311,3.11e+02
1,312,3.12e+02
1,313,3.13e+02
1,314,3.14e+02
1,315,3.15e+02
1,316,3.16e+02
1,317,3.17e+02
1,318,3.18e+02
1,319,3.19e+02
1,320,3.2e+02
1,321,3.21e+02
1,322,3.22e+02
1,323,3.23e+02
1,324,3.24e+02
1,325,3.25e+02
1,326,3.26e+02
1,327,3.27e+02
1,328,3.28e+02
1,329,3.29e+02
1,330,3.3e+02
1,331,3.31e+02
1,332,3.32e+02
1,333,3.33e+02
1,334,3.34e+02
1,335,3.35e+02
1,336,3.36e+02
1,337,3.37e+02
1,338,3.38e+02
1,339,3.39e+02
1,340,3.4e+02
1,341,3.41e+02
1,342,3.42e+02
1,343,3.43e+02
1,344,3.44e+02
1,345,3.45e+02
1,346,3.46e+02
1,347,3.47e+02
1,348,3.48e+02
1,349,3.49e+02
1,350,3.5e+02
1,351,3.51e+02
1,352,3.52e+02
1,353,3.53e+02
1,354,3.54e+02
1,355,3.55e+02
1,356,3.56e+02
1,357,3.57e+02
1,358,3.58e+02
1,359,3.59e+02
1,360,3.6e+02
1,361,3.61e+02
1,362,3.62e+02
1,363,3.63e+02
1,364,3.64e+02
1,365,3.65e+02
1,366,3.66e+02
1,367,3.67e+02
1,368,3.68e+02
1,369,3.69e+02
1,370,3.7e+02
1,371,3.71e+02
1,372,3.72e+02
1,373,3.73e+02
1,374,3.74e+02
1,375,3.75e+02
1,376,3.76e+02
1,377,3.77e+02
1,378,3.78e+02
1,379,3.79e+02
1,380,3.8e+02
1,381,3.81e+02
1,382,3.82e+02
1,383,3.83e+02
1,384,3.84e+02
1,385,3.85e+02
1,386,3.86e+02
1,387,3.87e+02
1,388,3.88e+02
1,389,3.89e+02
1,390,3.9e+02
1,391,3.91e+02
1,392,3.92e+02
1,393,3.93e+02
1,394,3.94e+02
1,395,3.95e+02
1,396,3.96e+02
1,397,3.97e+02
1,398,3.98e+02
1,399,3.99e+02
1,400,4e+02
1,401,4.01e+02
1,402,4.02e+02
1,403,4.03e+02
1,404,4.04e+02
1,405,4.05e+02
1,406,4.06e+02
1,407,4.07e+02
1,408,4.08e+02
1,409,4.09e+02
1,410,4.1e+02
1,411,4.11e+02
1,412,4.12e+02
1,413,4.13e+02
1,414,4.14e+02
1,415,4.15e+02
1,416,4.16e+02
1,417,4.17e+02
1,418,4.18e+02
1,419,4.19e+02
1,420,4.2e+02
1,421,4.21e+02
1,422,4.22e+02
1,423,4.23e+02
1,424,4.24e+02
1,425,4.25e+02
1,426,4.26e+02
1,427,4.27e+02
1,428,4.28e+02
1,429,4.29e+02
1,430,4.3e+02
1,431,4.31e+02
1,432,4.32e+02
1,433,4.33e+02
1,434,4.34e+02
1,435,4.35e+02
1,436,4.36e+02
1,437,4.37e+02
1,438,4.38e+02
1,439,4.39e+02
1,440,4.4e+02
1,441,4.41e+02
1,442,4.42e+02
1,443,4.43e+02
1,444,4.44e+02
1,445,4.45e+02
1,446,4.46e+02
1,447,4.47e+02
1,448,4.48e+02
1,449,4.49e+02
1,450,4.5e+02
1,451,4.51e+02
1,452,4.52e+02
1,453,4.53e+02
1,454,4.54e+02
1,455,4.55e+02
1,456,4.56e+02
1,457,4.57e+02
1,458,4.58e+02
1,459,4.59e+02
1,460,4.6e+02
1,461,4.61e+02
1,462,4.62e+02
1,463,4.63e+02
1,464,4.64e+02
1,465,4.65e+02
1,466,4.66e+02
1,467,4.67e+02
1,468,4.68e+02
1,469,4.69e+02
1,470,4.7e+02
1,471,4.71e+02
1,472,4.72e+02
1,473,4.73e+02
1,474,4.74e+02
1,475,4.75e+02
1,476,4.76e+02
1,477,4.77e+02
1,478,4.78e+02
1,479,4.79e+02
1,480,4.8e+02
1,481,4.81e+02
1,482,4.82e+02
1,483,4.83e+02
1,484,4.84e+02
1,485,4.85e+02
1,486,4.86e+02
1,487,4.87e+02
1,488,4.88e+02
1,489,4.89e+02
1,490,4.9e+02
1,491,4.91e+02
1,492,4.92e+02
1,493,4.93e+02
1,494,4.94e+02
1,495,4.95e+02
1,496,4.96e+02
1,497,4.97e+02
1,498,4.98e+02
1,499,4.99e+02
1,500,5e+02
1,501,5.01e+02
1,502,5.02e+02
1,503,5.03e+02
1,504,5.04e+02
1,505,5.05e+02
1,506,5.06e+02
1,507,5.07e+02
1,508,5.08e+02
1,509,5.09e+02
1,510,5.1e+02
1,511,5.11e+02
1,512,5.12e+02
