id,name,shape
NV,Nevada,"POLYGON((294.82662 295.8307,304.92119 233.03087,310.06553 201.58241,310.64791 198.47640,307.83308 197.99108,296.86495 195.95275,269.39608 190.51722,266.67832 189.93484,263.96055 189.35246,250.27465 186.34351,225.71768 180.51972,222.99991 179.84028,222.12634 183.52867,208.92576 239.53409,220.37921 256.03483,232.22091 272.43849,253.18654 302.52806,268.23133 323.68782,275.99638 334.07357,278.52002 337.47078,278.52002 337.17959,280.07303 333.87945,280.17013 318.44641,284.44091 314.85508,287.83812 317.86403,290.07057 317.96113,294.34135 299.13088,294.34135 298.93675,294.82666 295.83073,294.82662 295.8307))"
NM,New Mexico,"POLYGON((472.45213 324.75551,472.54923 322.23187,472.64633 319.70823,472.74343 317.18459,469.63741 317.08749,448.18646 316.11686,426.63845 314.75797,377.71864 310.48720,374.70968 310.19601,374.32143 313.69028,367.04169 388.81713,366.36225 395.90274,363.64448 424.53636,364.03274 424.63346,377.42745 425.89529,378.68927 419.10087,381.11585 417.15960,408.29352 419.58618,408.48765 419.58618,406.06107 414.83009,418.38808 415.70366,449.15709 417.45079,468.37559 418.32436,471.67574 327.27916,472.35518 327.37626,472.45228 324.75555,472.45213 324.75551))"
OR,Oregon,"POLYGON((162.2384 162.75717,177.67144 167.41620,219.21445 178.86964,222.99991 179.84028,225.71768 180.51972,250.27465 186.34351,263.96055 189.35246,266.67832 189.93484,267.06657 187.89652,276.28757 149.65365,273.66686 143.44161,273.95805 141.01503,284.05262 127.81444,288.80871 115.87568,285.50856 112.28434,285.41146 110.44015,285.41146 110.34305,283.56726 109.95480,256.29252 103.74276,254.83658 104.42220,249.49810 103.54863,238.72410 104.71339,232.12381 103.83982,225.13526 103.74272,224.55288 101.99558,209.79929 100.63670,204.55788 97.82187,203.87844 95.97767,204.46082 88.697936,200.96654 84.912475,200.67536 85.009535,199.99591 85.494850,195.14276 82.971209,192.23086 83.844777,190.28960 82.874146,188.25128 91.221575,186.89239 93.551089,180.87448 108.207620,179.12734 116.263860,178.05965 116.360960,172.42999 129.755670,168.64453 135.482390,167.28564 136.453020,163.79137 143.247440,163.11193 150.430110,160.97654 156.836280,162.23836 162.660060,162.23836 162.757160,162.2384 162.75717),(197.76346 83.068335,197.47227 82.194767,197.37517 82.874209,197.76342 83.068335,197.76346 83.068335))"
UT,Utah,"POLYGON((352.38505 204.97962,327.34277 201.19416,313.36568 198.96171,310.64791 198.47640,310.06553 201.58241,304.92119 233.03087,294.82662 295.83070,294.34131 298.93672,296.86495 299.32498,321.90723 303.30456,339.47566 305.82821,372.18593 309.90486,374.70957 310.19605,374.90370 307.67241,375.68020 300.00442,377.52440 282.33893,382.76581 231.76905,383.05700 229.24540,381.11574 229.05128,356.36464 226.04232,352.57918 225.55701,355.00576 206.62970,355.19988 205.36788,352.38505 204.97962))"
WY,Wyoming,"POLYGON((461.38694 192.16729,462.16344 177.02545,463.13407 156.64219,463.23117 154.11855,461.96935 154.02145,437.02413 152.56550,423.04704 151.40074,396.54881 148.87710,363.35322 144.80045,361.99434 154.31264,361.89724 154.89501,361.50899 158.09810,359.76185 170.61924,356.46170 195.85565,355.58813 202.16475,355.19988 205.36784,355.00576 206.62966,352.57918 225.55697,356.36464 226.04228,381.11574 229.05124,383.05700 229.24536,385.38651 229.53655,409.36110 231.86607,428.57960 233.41908,457.40735 235.26328,459.34861 235.36038,459.44571 232.83674,459.93103 222.64511,460.80460 204.88256,461.19285 197.31164,461.28995 194.78800,461.38705 192.16729,461.38694 192.16729))"
AR,Arkansas,"POLYGON((690.4559 328.05566,679.97308 329.60867,684.24386 322.81425,682.39966 319.02879,645.41861 322.62013,614.16429 325.14377,609.60232 325.43496,610.18470 328.15272,613.97016 347.75947,614.06726 352.12731,615.13496 378.52848,615.23206 382.89632,615.52325 382.99342,616.97920 384.54643,622.80298 384.35230,623.38536 392.89385,623.57949 395.32043,626.58845 395.02924,635.80944 394.34980,672.40224 390.95259,672.59636 390.95259,672.49926 388.81720,673.46989 388.13776,671.72276 384.83762,675.41116 369.30752,673.95521 367.56038,679.48781 361.44540,679.09955 356.20400,683.17620 349.40958,683.17620 349.31248,682.98208 349.11836,686.47635 345.91527,685.50572 342.03275,688.22349 337.76197,687.64111 333.78238,690.55300 328.15272,690.55300 328.05562,690.45590 328.05562,690.4559 328.05566))"
IA,Iowa,"POLYGON((661.53109 197.69989,656.19262 194.88506,653.28072 190.90547,652.31009 185.17875,653.08660 182.55804,650.27177 179.16083,650.27177 179.16083,645.51567 179.64615,597.76062 183.62574,578.63918 184.69343,573.78603 184.98462,571.74770 185.08172,573.39778 195.85573,572.03889 201.00008,574.17428 204.20316,574.17428 204.88260,574.85372 204.97970,577.95974 214.10364,580.96870 218.85973,581.16283 224.29527,584.46297 228.85723,583.88059 230.79849,586.88955 243.02845,586.88955 243.31964,586.88955 243.31964,606.78749 242.73726,628.04431 240.89306,648.91288 238.27235,653.66898 242.44607,653.86310 242.64019,654.73667 242.25194,654.05723 238.46648,657.64856 236.23403,659.10451 226.33359,657.64856 225.65415,658.52213 220.60687,662.88997 219.73330,667.74313 216.23903,669.87852 210.12405,669.97562 207.01803,666.09310 203.32963,664.92834 201.00012,661.23994 198.67060,661.43407 198.18529,661.53117 197.69997,661.53109 197.69989))"
KS,Kansas,"POLYGON((608.92288 312.71969,606.49630 271.66199,602.12846 269.13835,601.74021 267.19708,598.24593 264.09106,601.64314 259.91735,600.28426 257.49077,597.76062 257.58787,595.43110 255.93779,594.46047 255.16129,591.16033 255.35541,555.34404 256.71430,538.94037 257.10255,506.32716 257.10255,493.22364 256.90842,489.53524 256.81132,489.53524 258.65552,489.43814 264.38224,488.37044 315.72863,488.37044 317.66990,492.54416 317.76700,515.06280 318.05819,567.76808 317.28168,605.33150 315.53455,609.01990 315.24336,608.92280 312.71972,608.92288 312.71969))"
MO,Missouri,"POLYGON((653.66898 242.44599,648.91288 238.27227,628.04431 240.89298,606.78749 242.73718,586.88955 243.31956,586.88955 243.31956,586.79245 243.90194,589.21902 248.56097,591.45148 250.11397,594.07218 254.77300,594.46043 255.16126,595.43106 255.93776,597.76058 257.58784,600.28422 257.49074,601.64310 259.91732,598.24589 264.09103,601.74017 267.19705,602.12842 269.13832,606.49626 271.66196,608.92284 312.71966,609.01994 315.24330,609.21407 317.76694,609.31117 320.29058,609.50530 322.91128,609.60240 325.43493,614.16437 325.14374,645.41869 322.62010,682.39974 319.02876,684.24394 322.81422,679.97316 329.60864,690.45598 328.05563,690.55308 328.05563,690.55308 327.27913,690.74721 322.81422,692.68847 320.38764,692.10609 317.66988,692.00899 317.57278,691.91189 317.47568,692.30014 316.21386,692.88252 316.40799,693.17371 317.18449,693.07661 317.47568,693.07661 317.57278,693.07661 318.34929,693.46487 318.44639,694.24137 317.47576,694.24137 317.37866,694.33847 317.08747,696.86211 315.53446,697.25037 315.34033,698.12394 307.38116,697.92981 306.99290,697.63862 306.89580,690.74714 301.26614,691.81483 299.22781,689.87357 293.69522,686.37930 290.97745,679.77901 288.06555,675.60529 284.66835,676.09061 277.67980,677.35243 271.17657,670.36388 271.56482,668.22849 269.33237,667.25786 264.86747,656.19267 255.54941,653.08665 246.91079,653.86315 242.64001,653.86315 242.64001,653.66903 242.44589,653.66898 242.44599))"
NE,Nebraska,"POLYGON((572.33008 204.68843,569.32113 201.67948,558.74125 198.57346,555.34404 198.47636,550.19969 199.93230,544.08471 196.04978,524.96328 196.24390,497.10616 195.95271,464.20177 194.88502,461.28987 194.78792,461.19277 197.31156,460.80452 204.88248,459.93095 222.64503,459.44563 232.83666,459.34853 235.36030,461.67805 235.45740,485.36145 236.33097,490.02048 236.52510,489.63222 255.54947,489.53512 256.81129,493.22352 256.90839,506.32704 257.10252,538.94025 257.10252,555.34392 256.71427,591.16021 255.35538,594.46035 255.16126,594.07210 254.77300,591.45140 250.11397,589.21894 248.56097,586.79237 243.90194,586.88947 243.31956,586.88947 243.02837,583.88051 230.79841,584.46289 228.85715,581.16275 224.29519,580.96862 218.85965,577.95966 214.10356,574.85364 204.97962,574.17420 204.88252,572.33000 204.68839,572.33008 204.68843))"
OK,Oklahoma,"POLYGON((609.50526 322.91131,609.31113 320.29061,609.21403 317.76697,609.01990 315.24333,605.33150 315.53452,567.76808 317.28165,515.06280 318.05816,492.54416 317.76697,488.37044 317.66987,486.81743 317.66987,480.70246 317.47574,478.76119 317.37864,474.68454 317.28154,472.74328 317.18444,472.64618 319.70808,472.54908 322.23172,472.45198 324.75536,472.35488 327.37607,472.93726 327.37607,496.42653 327.95845,521.27469 328.24964,521.56588 361.44522,523.31302 367.26901,527.19554 370.95741,531.36926 371.15154,532.24282 369.40440,537.96955 374.64581,545.44341 375.42231,546.80229 376.97532,549.52006 375.71350,556.31448 378.91659,556.31448 380.76078,558.83812 380.66368,561.45882 378.43123,566.31198 381.53725,570.87395 383.18732,573.97996 378.91655,583.88040 383.57557,587.56880 380.56662,590.57776 379.40186,593.00434 379.98424,602.12827 377.36354,606.98143 379.40186,611.34927 382.21669,615.13473 382.89613,615.23183 382.89613,615.13473 378.52829,614.06703 352.12712,613.96993 347.75928,610.18447 328.15253,609.60209 325.43477,609.50499 322.91112,609.50526 322.91131))"
SD,South Dakota,"POLYGON((566.89455 135.57949,550.49088 136.06481,510.98619 136.35600,468.18135 135.19124,464.39589 134.99711,464.29879 137.22957,463.91054 146.06231,463.61935 152.75967,463.52225 154.11855,463.23106 154.11855,463.13396 156.64219,462.16333 177.02545,461.38683 192.16729,461.28973 194.78800,464.20163 194.88510,497.10602 195.95279,524.96314 196.24398,544.08457 196.04986,550.19955 199.93238,555.34390 198.47644,558.74111 198.57354,569.32099 201.67956,572.32994 204.68851,574.17414 204.88264,574.17414 204.20320,572.03875 201.00012,573.39764 195.85577,571.74756 185.08176,573.78589 184.98466,573.59176 180.51976,568.73861 146.35354,566.21497 142.08276,570.09749 135.67660,570.19459 135.38541,566.89445 135.57953,566.89455 135.57949))"
LA,Louisiana,"POLYGON((688.99995 469.2825,687.73813 469.57369,687.15575 470.15607,688.99995 469.28250),(693.07660 469.28250,692.39716 468.99131,692.20304 469.28250,693.07660 469.28250),(695.40612 468.50599,694.72668 468.50599,694.33842 468.99131,695.40612 468.50599),(694.24136 467.82655,694.04723 467.53536,693.95013 467.82655,694.24132 467.82655,694.24136 467.82655),(702.00637 462.68221,701.71518 462.87633,702.20050 462.87633,702.00637 462.68221),(715.59521 456.95548,716.17759 456.17898,715.49814 457.05255,715.59524 456.95545,715.59521 456.95548),(717.53650 454.43181,717.34237 454.52891,717.34237 454.62601,717.53650 454.43188,717.53650 454.43181),(667.64606 462.97344,669.10200 461.12924,665.12241 460.06154,663.37528 461.51749,667.64606 462.97344),(707.92725 454.52895,707.53900 454.14069,707.44190 454.33482,707.92722 454.52895,707.92725 454.52895),(708.99491 452.78181,708.02428 452.49062,708.31547 453.46125,708.99491 452.78181),(716.95409 451.13174,716.95409 450.84055,716.95409 450.93765,716.95409 451.13178,716.95409 451.13174),(718.89535 449.86996,718.79825 449.77286,718.89535 449.96699,718.89535 449.86989,718.89535 449.86996),(718.11885 449.67576,717.92472 449.57866,717.82762 449.86985,718.11881 449.67572,718.11885 449.67576),(711.32439 449.38453,712.19796 449.09334,712.19796 448.80215,711.32439 449.38453),(711.80971 448.89921,712.29502 448.41390,712.19792 448.31680,711.80967 448.89917,711.80971 448.89921),(708.41246 445.30784,708.21833 445.50197,708.31543 445.50197,708.41253 445.30784,708.41246 445.30784),(672.59623 390.95249,672.40211 390.95249,635.80931 394.34970,626.58832 395.02914,623.57936 395.32033,623.67646 397.64985,625.61772 416.38303,628.82081 420.84793,628.91791 423.46864,632.02393 428.90417,634.54757 436.86335,633.67400 441.32825,632.99456 452.39345,631.53862 455.98478,631.73274 455.98478,632.02393 458.50842,630.37386 460.83794,642.40968 459.47905,651.82481 462.09976,658.52216 462.97333,661.91937 460.54675,660.07517 458.12017,666.28721 456.17891,666.09309 458.31430,669.29617 457.53779,671.91687 461.61444,674.14932 460.83794,679.97311 464.81753,676.38178 466.07935,684.63214 468.50592,687.73816 468.50592,689.58236 466.27347,693.56195 464.13808,696.37678 468.21474,698.31804 464.52634,697.73566 458.70255,702.97707 460.74088,703.55945 462.48801,709.77149 463.26452,712.87751 465.78816,712.48926 467.82648,716.85710 463.74983,715.20702 461.61444,707.92729 459.77024,705.20952 458.21723,705.11242 455.30534,708.12138 455.69359,710.45089 450.93750,707.44193 446.76379,705.79186 450.74337,702.00640 450.06393,704.62710 445.79315,702.87997 445.30784,698.60919 448.31680,692.49421 448.70505,690.74708 447.34616,693.56191 442.39595,696.86205 442.29885,702.49172 444.14305,706.56837 444.53130,706.56837 444.53130,704.33592 441.71647,700.06514 433.36905,701.22990 428.71002,667.74312 432.39841,669.00494 431.13659,667.64606 427.64232,669.68438 424.63336,670.84914 417.06244,678.22594 404.44424,674.63460 400.07640,674.82873 396.87331,672.59627 391.63190,672.59627 390.95246,672.59623 390.95249))"
