"id","price","speed","hd","ram","screen","computer_category"
1998,2295,66,340,8,15,"mega"
6219,2785,66,1600,24,15,"extreme"
3201,1744,66,107,2,14,"special"
1794,2090,33,214,4,15,"super"
1325,2798,66,340,8,15,"hyper"
6015,2623,50,1200,24,15,"extreme"
652,2399,50,320,8,14,"mega"
4139,2254,33,528,16,14,"mega"
4812,2249,66,270,8,14,"mega"
448,1590,33,107,2,15,"special"
1121,2990,50,540,16,15,"hyper"
4608,1408,33,340,4,14,"special"
2263,1688,25,212,4,14,"special"
3935,1590,33,214,4,15,"special"
5546,1699,66,420,8,14,"ultra"
2059,2214,25,120,4,14,"super"
3670,1929,25,120,4,17,"super"
2793,3129,66,527,8,14,"hyper"
3466,1844,50,214,4,14,"super"
5077,2058,66,545,8,17,"ultra"
1590,3144,66,528,16,14,"hyper"
3262,2819,50,340,8,15,"hyper"
917,1994,33,107,2,14,"super"
4873,3094,33,1000,24,15,"extreme"
4404,1395,25,340,8,14,"special"
713,1690,33,107,2,15,"special"
1386,2439,50,340,8,17,"mega"
2324,1299,33,212,4,14,"special"
1855,2590,66,426,8,15,"mega"
1447,2190,50,214,4,15,"super"
1651,999,33,80,2,14,"special"
5342,1998,66,730,8,15,"ultra"
3731,2385,100,540,8,15,"mega"
4934,1595,66,214,4,14,"special"
5138,2354,33,720,16,15,"ultrasuper"
244,2495,50,245,8,14,"mega"
4669,2845,33,1000,24,15,"extreme"
1243,1945,33,340,8,15,"super"
2589,1890,50,214,4,15,"super"
4465,1995,66,425,8,14,"ultra"
2120,2969,33,340,4,14,"hyper"
5199,1799,66,420,8,14,"ultra"
5607,2124,75,545,8,17,"ultra"
1916,1670,25,212,4,14,"special"
40,2425,50,210,8,14,"mega"
5668,2328,100,270,4,14,"mega"
3058,2845,66,424,8,17,"hyper"
305,2590,50,245,8,14,"mega"
6076,1804,100,850,8,14,"ultra"
3119,1818,33,212,4,14,"super"
509,2690,50,340,8,14,"mega"
2650,1894,50,340,4,15,"super"
4261,3093,33,1000,24,14,"extreme"
3588,1625,33,240,4,14,"special"
5403,2723,100,720,16,15,"hyper"
101,1995,33,250,4,14,"super"
1712,2815,50,340,8,17,"hyper"
3384,1890,75,107,2,15,"super"
5872,1808,50,545,4,17,"ultra"
570,2290,25,340,8,14,"mega"
2181,2335,66,540,8,15,"mega"
3853,2485,66,1080,8,15,"ultrasuper"
3323,2490,75,426,8,15,"mega"
5933,1499,66,420,8,14,"special"
1039,3495,50,452,8,14,"uber"
1304,1895,33,212,8,15,"super"
774,2690,33,452,16,15,"mega"
835,1769,33,210,4,15,"super"
2446,1490,25,107,2,15,"special"
1773,2694,25,528,16,14,"hyper"
3792,2499,66,340,4,14,"mega"
4322,3140,66,1000,24,14,"extreme"
5260,1999,66,730,8,15,"ultra"
3649,3299,66,1000,16,15,"extreme"
6137,2390,66,1000,16,17,"ultrasuper"
4791,1899,66,420,8,14,"ultra"
2711,1495,25,340,8,14,"special"
5525,1749,66,425,8,15,"ultra"
4057,2543,100,426,8,14,"mega"
2242,1749,33,212,4,14,"special"
631,1790,50,107,2,14,"super"
1834,2705,66,340,8,17,"mega"
1508,2090,33,214,4,15,"super"
5056,1858,66,545,4,17,"ultra"
4118,2049,33,270,4,14,"super"
5790,2159,66,540,8,17,"ultra"
1977,2138,33,212,4,14,"super"
2507,1669,66,245,4,14,"special"
4587,1669,66,425,8,14,"ultra"
6259,2490,100,850,16,17,"ultrasuper"
5464,2195,66,528,8,15,"mega"
2976,2125,66,425,8,15,"super"
2303,2744,33,528,16,14,"hyper"
3710,2294,33,426,8,14,"mega"
2915,2970,66,420,16,15,"hyper"
427,2890,33,452,16,15,"hyper"
223,2199,50,213,8,14,"super"
4179,1855,66,425,8,15,"ultra"
366,1599,25,170,4,14,"special"
896,2394,50,214,4,14,"mega"
3037,2199,66,340,8,14,"super"
19,2095,33,250,4,15,"super"
5729,1454,66,340,4,14,"special"
5321,2844,33,1000,24,15,"extreme"
488,2599,50,405,4,15,"mega"
6055,2495,66,1200,24,15,"ultrasuper"
3180,1794,50,107,2,14,"super"
3241,1469,33,340,4,14,"special"
1895,2295,50,424,8,15,"mega"
3975,1795,33,426,8,14,"ultra"
6198,2223,66,850,16,15,"ultrasuper"
692,2345,50,250,8,15,"mega"
3302,1695,50,214,4,14,"special"
4444,2049,33,270,4,14,"super"
1100,2444,66,214,4,14,"mega"
1161,2390,33,426,8,14,"mega"
4709,2445,50,720,16,15,"ultrasuper"
753,1890,25,214,4,14,"super"
3914,2245,66,540,8,15,"mega"
2099,2134,25,245,4,14,"super"
80,1629,25,80,8,14,"special"
4240,3004,33,1000,24,14,"extreme"
1365,3849,66,450,16,15,"uber"
4913,1389,33,212,4,15,"special"
4036,2929,66,527,16,15,"hyper"
2160,2595,33,424,8,17,"mega"
4383,2594,100,528,8,14,"mega"
2364,2390,50,214,4,14,"mega"
5443,2290,50,720,16,15,"ultrasuper"
2629,2095,33,426,8,14,"super"
2772,1559,50,245,4,15,"special"
2833,3239,50,340,8,17,"hyper"
345,2345,33,250,8,15,"mega"
6116,2590,75,1200,24,15,"ultrasuper"
4648,1995,66,214,4,14,"super"
284,1795,33,170,4,15,"super"
4301,1989,33,270,4,14,"super"
1018,1790,33,107,2,15,"super"
957,1944,25,214,4,14,"super"
3098,2849,66,527,16,15,"hyper"
2221,1849,66,245,4,15,"super"
1487,1890,50,107,2,14,"super"
5851,1404,66,340,4,14,"special"
549,1825,50,170,4,14,"super"
5708,1695,66,730,8,15,"ultra"
4505,1395,33,214,4,14,"special"
1222,1790,25,214,4,15,"super"
3567,1890,25,528,8,14,"ultra"
3159,1290,25,107,2,15,"special"
2425,2090,25,426,8,15,"super"
3363,2590,50,528,16,14,"mega"
3832,2555,66,540,8,15,"mega"
1079,2995,66,424,16,15,"hyper"
4566,2443,33,720,16,15,"ultrasuper"
814,3094,50,452,16,14,"hyper"
1752,3190,66,424,16,15,"hyper"
2486,2644,25,528,16,14,"mega"
3424,3244,100,528,16,14,"hyper"
1283,2499,50,340,8,15,"mega"
2690,1799,33,245,4,15,"super"
406,2190,33,214,4,15,"super"
3893,2643,66,528,16,14,"mega"
6177,2444,100,1000,16,15,"ultrasuper"
141,2225,33,250,8,14,"super"
5300,2075,66,1080,8,15,"ultrasuper"
1344,2248,33,245,8,14,"super"
3628,2244,33,426,8,14,"mega"
610,1890,66,107,2,14,"super"
2751,1969,33,120,4,15,"super"
4831,1790,66,214,4,14,"super"
4097,2590,66,528,16,15,"mega"
5504,1599,66,545,4,15,"ultra"
671,2575,66,250,8,15,"mega"
1609,1944,33,107,2,14,"super"
1548,1594,25,107,2,14,"special"
2955,1844,66,107,2,14,"super"
4627,1195,25,214,4,14,"special"
2078,1995,33,424,8,14,"ultra"
2017,1749,66,245,4,14,"special"
5973,2304,100,1000,16,15,"ultrasuper"
5565,2224,100,850,8,17,"ultrasuper"
3016,2044,50,214,4,14,"super"
4362,2099,66,420,8,14,"super"
875,2299,66,120,4,14,"mega"
3485,2115,66,340,8,15,"super"
5830,1675,66,540,8,15,"ultra"
1813,2190,50,107,2,14,"super"
6238,2845,100,1600,24,15,"extreme"
936,2565,33,340,8,17,"mega"
263,2535,33,170,8,15,"mega"
2282,3994,66,424,32,15,"uber"
3689,3229,66,527,8,14,"hyper"
2812,1290,25,107,2,14,"special"
4015,2145,33,540,8,15,"ultra"
202,2785,33,250,8,17,"hyper"
1140,1594,25,107,4,14,"special"
5157,1239,33,212,4,14,"special"
1935,2405,66,425,8,15,"mega"
6034,2390,50,1000,16,17,"ultrasuper"
4158,2095,100,426,4,14,"super"
3077,2699,66,470,8,15,"hyper"
2404,2723,33,340,4,14,"hyper"
467,2995,66,340,8,15,"hyper"
5096,2195,33,720,16,15,"ultrasuper"
5891,1954,66,545,8,17,"ultra"
5422,2254,50,720,16,15,"ultrasuper"
3954,2594,33,528,16,14,"mega"
2547,2405,33,424,8,14,"mega"
3342,1299,33,340,4,14,"special"
4280,3193,66,1000,24,14,"extreme"
1405,2390,33,340,8,14,"mega"
5361,1268,33,428,4,15,"special"
793,1829,33,170,4,14,"super"
4749,2399,66,527,16,15,"mega"
4423,1249,25,100,4,14,"special"
3281,2294,75,214,4,14,"mega"
1262,2395,50,426,8,14,"mega"
2200,1699,50,245,4,15,"special"
4219,3299,66,1000,16,15,"extreme"
732,1520,25,170,4,14,"special"
5218,1554,50,214,4,14,"special"
2669,2425,50,424,8,14,"mega"
1670,2744,33,528,16,14,"hyper"
1201,1499,33,170,4,14,"special"
120,2799,33,230,4,14,"hyper"
2465,1778,25,212,4,14,"super"
2139,1499,25,120,4,14,"special"
5626,1735,50,1000,8,14,"ultra"
6156,1390,66,528,4,15,"special"
854,2099,33,120,4,14,"super"
2873,2090,66,214,4,14,"super"
6095,1354,66,528,4,14,"special"
3607,2690,100,426,8,15,"mega"
2730,1794,33,212,4,14,"super"
3811,1699,50,340,8,15,"special"
3546,2090,33,426,8,14,"super"
5483,3054,100,1000,24,15,"extreme"
650,1595,33,170,4,15,"special"
1731,2674,33,245,8,14,"mega"
997,2090,25,426,8,15,"super"
5748,1754,66,528,8,14,"ultra"
4606,2890,66,720,16,15,"hyper"
4076,2195,33,528,16,14,"mega"
1466,2444,33,426,8,14,"mega"
3199,1899,33,340,8,14,"super"
5075,2740,66,720,16,17,"hyper"
4545,2040,33,528,8,14,"ultra"
5687,1445,66,540,8,15,"special"
3668,1744,50,107,2,14,"special"
4871,1299,33,340,4,14,"special"
1996,2014,25,212,4,14,"super"
3138,2219,33,340,4,14,"mega"
1119,2995,66,540,16,14,"hyper"
5340,2594,66,720,16,15,"ultrasuper"
5014,2904,50,1000,24,15,"extreme"
589,1825,33,170,4,15,"super"
2526,2099,66,120,4,14,"super"
2791,2944,50,528,16,14,"hyper"
4810,1799,66,212,8,14,"super"
1058,1890,33,214,4,14,"super"
6013,1345,66,528,8,14,"special"
3260,1689,25,212,4,14,"special"
2261,2295,50,424,8,15,"mega"
5952,2840,66,1000,24,17,"extreme"
446,2599,33,245,16,15,"mega"
1649,1785,33,340,4,15,"ultra"
5279,1490,33,214,4,14,"special"
3403,2259,50,340,4,14,"mega"
711,2495,25,452,16,14,"mega"
5136,2258,66,730,8,17,"ultrasuper"
181,2195,50,170,4,14,"super"
3872,1704,33,214,4,14,"special"
2118,2290,33,214,4,14,"mega"
3056,2479,66,212,4,15,"mega"
6217,2344,66,850,16,15,"ultrasuper"
1792,3595,66,452,8,14,"uber"
5605,2124,100,545,8,17,"ultra"
303,1895,33,170,4,14,"super"
1588,2699,66,245,8,15,"mega"
4137,2440,33,528,16,14,"mega"
6074,2340,100,1200,16,15,"ultrasuper"
3321,1399,33,270,4,14,"special"
3464,1794,33,340,4,14,"ultra"
2057,1535,33,340,4,14,"special"
3525,1744,33,214,4,14,"special"
1241,2394,33,107,4,14,"mega"
4402,1618,33,340,4,17,"special"
5544,1754,66,528,8,14,"ultra"
4932,3240,33,1000,24,17,"extreme"
5666,1865,75,540,8,17,"ultra"
1853,2024,25,120,4,14,"super"
2995,2644,33,528,16,14,"mega"
2852,1799,33,170,4,14,"super"
99,2595,25,340,16,14,"mega"
2322,1799,33,230,4,14,"super"
915,1865,33,250,4,14,"super"
3117,1890,75,107,2,14,"super"
568,1390,25,107,2,15,"special"
242,1895,25,130,4,14,"super"
3729,1195,25,214,4,14,"special"
1037,1799,33,170,4,14,"super"
4055,2290,33,528,16,15,"mega"
4667,1475,33,200,4,14,"special"
4198,1199,33,340,4,14,"special"
4524,1745,50,340,4,14,"ultra"
5462,1368,66,428,4,15,"special"
507,2490,33,340,8,15,"mega"
3994,2899,66,527,16,15,"hyper"
1975,1699,25,212,4,14,"special"
2240,1794,33,212,4,14,"super"
5870,2058,66,545,8,17,"ultra"
1445,3199,66,450,8,15,"hyper"
3382,1995,50,212,8,14,"super"
2709,1944,33,214,4,14,"super"
4259,1379,50,340,4,14,"special"
4463,2344,66,528,8,14,"mega"
1302,1974,25,120,4,14,"super"
5727,2208,75,545,8,17,"mega"
4728,1695,66,214,4,14,"special"
1914,1599,25,120,4,14,"special"
6196,1495,66,528,8,14,"special"
160,3399,66,230,4,15,"hyper"
2179,2985,66,540,8,17,"hyper"
2383,2490,33,426,8,14,"mega"
1567,2595,33,528,16,14,"mega"
3647,2095,66,425,8,15,"super"
4993,3140,33,1000,24,17,"extreme"
5401,2399,66,730,16,15,"ultrasuper"
5523,1499,50,428,4,15,"special"
2505,1595,33,107,2,14,"special"
2444,2144,25,426,8,14,"super"
2648,1955,66,420,4,14,"ultra"
3443,1890,25,426,8,15,"ultra"
2974,1444,33,107,2,14,"special"
2913,2259,25,212,4,17,"super"
6135,2340,100,1200,16,15,"ultrasuper"
4381,2198,66,540,8,15,"mega"
894,1395,25,170,4,15,"special"
364,3075,50,250,8,17,"hyper"
3586,2175,33,340,8,17,"super"
1832,2099,33,120,4,14,"super"
3912,2779,66,340,4,14,"hyper"
833,2095,33,214,4,14,"super"
1506,2544,33,426,8,14,"mega"
5788,1495,66,730,8,15,"ultra"
690,3045,66,540,8,14,"hyper"
5258,1940,66,528,8,14,"ultra"
3851,2040,33,426,8,15,"super"
3708,1395,33,214,4,14,"special"
1159,2595,33,340,8,17,"mega"
3178,3399,100,1000,16,15,"extreme"
4320,1088,33,250,2,15,"special"
1424,1999,33,170,4,14,"super"
4646,3928,100,728,8,15,"uber"
629,1899,33,250,4,14,"super"
4585,2308,66,730,8,15,"ultrasuper"
1893,1644,33,107,2,14,"special"
2566,1399,66,270,4,14,"special"
1098,2144,66,107,2,14,"super"
5054,1490,33,214,4,14,"special"
5849,2623,50,1000,24,15,"ultrasuper"
6053,1544,66,528,4,14,"special"
2036,1895,33,340,8,15,"super"
5992,1859,66,540,8,17,"ultra"
751,1749,33,170,4,14,"special"
955,3144,50,452,16,14,"hyper"
4850,2090,33,1000,8,14,"ultrasuper"
3239,2944,75,528,16,14,"hyper"
4238,1798,33,340,4,17,"ultra"
4911,1845,33,528,8,14,"ultra"
5319,2804,66,1000,24,15,"extreme"
6257,2654,100,1200,24,15,"extreme"
2158,1495,33,212,4,14,"special"
5380,2595,66,528,8,15,"mega"
221,2635,33,250,8,17,"mega"
1628,2644,66,426,8,14,"mega"
6114,1548,66,540,8,14,"special"
2831,1655,50,340,4,15,"special"
5115,1944,33,528,8,14,"ultra"
2097,5399,66,1200,32,17,"uber"
2423,3190,50,528,16,14,"hyper"
3300,2144,75,214,4,14,"super"
3035,3229,66,527,8,14,"hyper"
17,1595,33,85,2,14,"special"
343,2995,66,340,8,15,"hyper"
3096,2819,50,340,8,15,"hyper"
486,2595,50,340,8,14,"mega"
4442,1590,33,214,4,15,"special"
4299,2045,66,730,8,15,"ultra"
3565,2290,100,214,4,14,"mega"
3504,2444,25,528,16,14,"mega"
282,1995,33,250,4,14,"super"
3157,3799,66,527,8,17,"uber"
1485,2799,66,345,16,15,"hyper"
3769,2044,33,426,8,14,"super"
5645,1745,75,540,8,15,"ultra"
4564,3293,50,1000,24,15,"extreme"
3361,2499,66,528,8,15,"mega"
1689,2875,33,1370,4,15,"extreme"
4034,1943,33,426,8,14,"ultra"
2015,2744,25,528,16,14,"hyper"
1750,1899,33,120,4,14,"super"
4707,1890,33,528,8,14,"ultra"
4503,2995,33,1000,24,15,"extreme"
1342,2744,25,528,16,14,"hyper"
5237,1640,66,214,4,15,"special"
5176,2298,66,1000,8,14,"ultrasuper"
1954,1495,33,107,2,14,"special"
4829,3094,33,1000,24,15,"extreme"
5502,1899,66,540,8,15,"ultra"
2627,2369,66,340,8,17,"mega"
4768,3104,66,1000,24,15,"extreme"
2280,2590,33,426,8,14,"mega"
5971,2744,50,1200,24,15,"extreme"
78,3220,66,340,8,15,"hyper"
2219,2495,66,426,8,14,"mega"
2749,1395,33,214,4,14,"special"
3891,3040,33,1000,24,15,"extreme"
547,2095,33,214,4,14,"super"
2688,3019,66,340,8,15,"hyper"
200,3220,66,340,8,15,"hyper"
5767,2604,50,1000,24,15,"ultrasuper"
5441,2773,66,1000,24,15,"extreme"
139,2720,33,250,8,15,"hyper"
1607,1789,33,120,4,14,"super"
6236,3290,75,1600,32,17,"extreme"
2892,1995,50,212,8,14,"super"
404,2995,66,452,16,14,"hyper"
4421,1894,33,214,4,14,"super"
3687,2124,33,240,4,14,"super"
812,1944,33,107,2,14,"super"
873,1945,33,340,8,15,"super"
3748,1740,33,214,4,14,"special"
4156,2199,66,420,8,14,"mega"
6175,2490,100,1000,16,17,"ultrasuper"
4360,1993,33,528,8,14,"ultra"
4686,4348,100,728,8,17,"uber"
465,1790,50,107,2,15,"super"
3626,2127,33,540,8,14,"ultra"
1811,1964,25,120,4,14,"super"
5155,2690,33,1000,24,15,"extreme"
3952,2899,100,420,8,17,"hyper"
1077,1544,50,130,4,14,"special"
4625,2693,50,528,8,14,"hyper"
2606,2695,33,528,16,14,"hyper"
5828,2890,50,1000,24,17,"extreme"
4095,2899,66,527,16,15,"hyper"
2076,3190,50,528,16,14,"hyper"
57,2045,66,130,4,14,"super"
730,1749,33,230,4,14,"special"
5033,1399,33,424,4,14,"special"
2545,1444,25,107,2,14,"special"
4013,1759,33,170,4,14,"super"
1199,2490,50,426,8,15,"mega"
2484,1944,25,214,4,14,"super"
3014,2199,50,425,8,15,"mega"
791,2195,50,214,4,14,"super"
4217,2299,66,540,8,15,"mega"
5298,1899,33,212,8,14,"super"
4890,1599,66,340,8,15,"special"
118,2325,66,250,8,14,"mega"
6093,1699,100,540,8,14,"ultra"
3218,1475,33,340,4,14,"special"
5359,1944,33,528,8,14,"ultra"
6154,1923,100,850,8,15,"ultra"
2871,2490,33,528,16,15,"mega"
669,2499,50,170,4,14,"mega"
2810,1944,66,107,2,14,"super"
5012,2454,66,720,16,15,"ultrasuper"
4747,1999,66,527,8,14,"ultra"
1138,1499,33,130,4,14,"special"
261,2995,66,340,8,15,"hyper"
2463,2799,50,230,8,15,"hyper"
3136,2904,66,340,8,17,"hyper"
5563,2673,50,1000,24,15,"extreme"
3279,2195,25,528,16,14,"mega"
383,2795,33,340,16,14,"hyper"
1056,2845,66,250,8,14,"hyper"
6032,2273,66,1000,16,15,"ultrasuper"
3544,3019,66,340,8,15,"hyper"
5277,1699,66,420,8,14,"ultra"
1525,3385,66,1370,8,14,"extreme"
934,1799,33,250,4,14,"super"
1464,3890,66,500,16,14,"uber"
648,2495,66,340,8,14,"mega"
1321,1469,33,170,4,14,"special"
1403,2190,50,214,4,14,"super"
4482,1288,33,340,4,15,"special"
4604,1854,33,528,8,14,"ultra"
1790,3199,66,340,16,15,"hyper"
5624,1659,66,340,4,17,"special"
4951,1929,66,212,4,17,"super"
2524,1893,25,212,4,14,"super"
2728,2390,50,426,8,15,"mega"
3075,1299,33,212,4,14,"special"
5216,2898,100,730,16,15,"hyper"
4869,2340,33,720,16,15,"ultrasuper"
1586,2294,33,426,8,14,"mega"
995,2744,33,540,16,14,"hyper"
2667,2590,66,426,8,14,"mega"
2789,1999,66,245,4,15,"super"
2055,3015,66,424,8,17,"hyper"
5889,1904,100,528,8,14,"ultra"
5685,1345,50,340,4,14,"special"
5603,1999,100,420,8,14,"ultra"
5542,1899,100,540,8,15,"ultra"
3340,3239,66,424,8,15,"hyper"
587,2890,33,452,16,14,"hyper"
3054,1990,25,426,8,14,"ultra"
6011,1598,66,540,8,14,"ultra"
3809,1689,33,212,4,14,"special"
5950,1699,100,540,8,14,"ultra"
505,3149,66,230,8,14,"hyper"
3462,1849,33,212,4,14,"super"
1260,2990,50,528,16,14,"hyper"
3401,3397,66,450,16,15,"uber"
974,2090,33,214,4,14,"super"
3727,2844,66,528,16,14,"hyper"
1729,1995,66,340,4,14,"super"
3870,2688,33,212,4,17,"mega"
5868,1808,50,545,4,17,"ultra"
4196,2875,66,1080,16,15,"extreme"
4074,3984,66,340,8,17,"uber"
4808,2995,33,1000,24,15,"extreme"
1239,2348,33,245,8,14,"mega"
5134,1590,50,214,4,14,"special"
1994,3365,66,450,16,15,"hyper"
2259,1799,33,120,4,14,"super"
5195,1295,50,214,4,14,"special"
36,2675,66,210,4,15,"mega"
2932,3044,66,528,16,14,"hyper"
5073,1779,33,424,4,17,"ultra"
2646,2995,66,256,8,15,"hyper"
3992,1744,33,214,4,14,"special"
852,2294,25,340,8,14,"mega"
444,1699,33,170,4,14,"special"
1973,2285,33,528,8,14,"mega"
1912,1908,33,120,4,14,"super"
5746,1195,50,340,4,14,"special"
5807,1699,66,540,8,15,"ultra"
5460,2019,66,1000,8,15,"ultrasuper"
2381,2999,66,340,8,15,"hyper"
3666,2449,100,420,8,14,"mega"
3258,2319,33,340,4,14,"mega"
2911,2690,50,528,16,14,"hyper"
97,1999,33,170,4,14,"super"
4135,1890,33,426,8,15,"ultra"
709,1795,25,214,4,14,"super"
3380,2425,66,530,16,15,"mega"
6133,1840,100,850,8,15,"ultra"
3931,2044,66,214,4,14,"super"
1178,3244,66,540,16,14,"hyper"
831,2999,66,540,8,15,"hyper"
566,2190,33,214,4,14,"super"
4400,3294,66,1000,24,14,"extreme"
4665,1499,33,210,4,14,"special"
2238,1995,50,214,4,14,"super"
4053,2643,66,528,16,14,"mega"
1851,2605,66,545,8,15,"mega"
5399,2373,66,720,16,15,"ultrasuper"
5725,2345,100,850,16,15,"ultrasuper"
2442,2868,66,340,4,14,"hyper"
2320,1299,25,170,4,14,"special"
2850,2099,25,170,4,14,"super"
158,2195,33,170,8,15,"super"
362,2095,33,130,4,14,"super"
5338,2745,66,1000,24,15,"extreme"
770,2799,66,450,8,15,"hyper"
3645,1944,25,426,8,14,"ultra"
4318,1695,66,340,8,14,"special"
2585,1290,25,107,2,15,"special"
3584,2929,50,340,4,17,"hyper"
1096,1490,25,107,2,14,"special"
4787,2040,33,528,8,14,"ultra"
6072,1945,100,540,8,15,"ultra"
1035,2594,66,107,4,14,"mega"
423,1895,25,214,4,14,"super"
4583,2593,33,528,8,14,"mega"
1443,2990,50,528,16,15,"hyper"
1504,2095,33,340,8,15,"super"
5317,1999,100,420,8,14,"ultra"
5052,3140,66,1000,24,15,"extreme"
3788,2799,66,527,16,15,"hyper"
1769,2890,33,528,16,14,"hyper"
5786,1445,66,340,8,14,"special"
2972,2444,25,528,16,14,"mega"
1708,2490,50,340,8,15,"mega"
2707,1390,33,107,2,14,"special"
3237,1690,66,107,2,15,"special"
1361,1399,33,130,4,14,"special"
4522,3440,66,1000,24,15,"extreme"
3176,2929,50,340,4,17,"hyper"
688,2845,50,540,8,14,"hyper"
1830,2644,50,426,8,14,"mega"
4991,2004,50,528,8,14,"ultra"
627,2595,66,340,8,15,"mega"
4644,1249,25,100,4,14,"special"
4848,2534,66,730,8,17,"ultrasuper"
3849,1495,33,214,4,14,"special"
5521,1790,50,528,8,15,"ultra"
2564,1794,25,214,4,14,"super"
2768,2495,66,426,8,14,"mega"
1300,2544,50,426,8,14,"mega"
5990,1745,100,850,8,14,"ultra"
6051,1540,100,528,4,15,"special"
3033,1495,33,340,4,14,"special"
6194,3290,75,1600,32,17,"extreme"
3441,2609,33,212,4,17,"mega"
3502,1399,33,210,4,14,"special"
5378,1545,66,540,8,15,"special"
4114,2890,33,1000,24,15,"extreme"
3910,2768,50,212,4,15,"hyper"
1422,1744,33,107,2,14,"special"
280,1795,66,85,2,14,"super"
1565,2498,50,340,8,15,"mega"
6255,1690,100,528,8,15,"ultra"
2829,2799,50,320,8,15,"hyper"
3767,1399,33,210,4,14,"special"
2034,2375,66,340,4,15,"mega"
3706,2595,100,426,8,14,"mega"
4236,2440,33,528,16,15,"mega"
5174,1299,50,340,4,14,"special"
4379,2740,100,1000,8,14,"extreme"
4175,2854,100,528,16,14,"hyper"
1687,1799,33,170,4,14,"super"
1952,2744,33,528,16,14,"hyper"
2299,2190,33,426,8,15,"mega"
1626,2095,50,214,4,14,"super"
5643,2545,50,1000,24,15,"ultrasuper"
2421,2590,25,528,16,15,"mega"
219,2795,33,340,16,14,"hyper"
5113,1890,33,528,8,15,"ultra"
3094,2569,50,340,8,14,"mega"
5439,2338,100,545,8,17,"mega"
1157,2244,25,426,8,14,"mega"
2360,1999,33,340,8,14,"super"
1014,2190,50,214,4,14,"super"
3359,1639,33,120,4,14,"special"
3971,2344,100,214,4,14,"mega"
5847,2715,100,850,16,17,"extreme"
4970,2804,33,1000,24,15,"extreme"
2217,1679,33,120,4,14,"special"
4440,2795,66,1080,16,15,"extreme"
6112,2304,100,1000,16,15,"ultrasuper"
5908,2208,100,545,8,17,"mega"
2686,3544,66,340,16,17,"uber"
1891,2055,33,340,8,15,"super"
4032,2099,66,420,8,14,"super"
3828,2385,33,1080,8,15,"ultrasuper"
137,2255,50,250,8,14,"mega"
4705,2690,33,720,16,17,"hyper"
1483,2995,66,528,16,14,"hyper"
5235,1605,66,540,8,15,"ultra"
606,1490,33,107,2,15,"special"
2625,2669,25,170,4,17,"mega"
4501,1499,33,340,4,15,"special"
6173,1490,100,528,4,15,"special"
402,1595,33,170,4,14,"special"
76,2844,33,245,8,14,"hyper"
4766,1945,50,528,8,14,"ultra"
4093,3190,66,1000,24,14,"extreme"
871,1990,50,107,2,14,"super"
2890,2899,66,212,4,17,"hyper"
5704,1445,66,540,8,15,"special"
5500,1890,100,340,4,15,"super"
4827,1708,66,540,4,14,"ultra"
341,2390,66,130,4,14,"mega"
3624,3089,66,424,8,14,"hyper"
3420,2344,66,426,8,14,"mega"
2278,2590,25,528,16,15,"mega"
810,1579,25,120,4,14,"special"
1075,2190,50,214,4,15,"super"
