ID,x,t,y,c
a,9.4e+01,8e+02,7.405e+02,-3.621350849310886e-09
a,9.4e+01,8e+02,7.41e+02,-2.2740720873106114e-09
a,9.4e+01,8e+02,7.415e+02,6.214422617109863e-10
a,9.4e+01,8e+02,7.42e+02,5.6933396855435605e-09
a,9.4e+01,8e+02,7.425e+02,1.3616058234304672e-08
a,9.4e+01,8e+02,7.43e+02,2.5012561524768475e-08
a,9.4e+01,8e+02,7.435e+02,4.029617275345705e-08
a,9.4e+01,8e+02,7.44e+02,5.94400717259209e-08
a,9.4e+01,8e+02,7.445e+02,8.16681891884944e-08
a,9.4e+01,8e+02,7.45e+02,1.0507186814374849e-07
a,9.4e+01,8e+02,7.455e+02,1.261734635657606e-07
a,9.4e+01,8e+02,7.46e+02,1.3948180987105888e-07
a,9.4e+01,8e+02,7.465e+02,1.3711517297050707e-07
a,9.4e+01,8e+02,7.47e+02,1.0860358329376313e-07
a,9.4e+01,8e+02,7.475e+02,4.1021128733785855e-08
a,9.4e+01,8e+02,7.48e+02,-8.036568044113959e-08
a,9.4e+01,8e+02,7.485e+02,-2.7072326334097265e-07
a,9.4e+01,8e+02,7.49e+02,-5.433382505857426e-07
a,9.4e+01,8e+02,7.495e+02,-9.061893575312958e-07
a,9.4e+01,8e+02,7.5e+02,-1.357311819787354e-06
a,9.4e+01,8e+02,7.505e+02,-1.879012826344901e-06
a,9.4e+01,8e+02,7.51e+02,-2.4312229086297933e-06
a,9.4e+01,8e+02,7.515e+02,-2.9445745857797618e-06
a,9.4e+01,8e+02,7.52e+02,-3.3141778424119255e-06
a,9.4e+01,8e+02,7.525e+02,-3.395487873797099e-06
a,9.4e+01,8e+02,7.53e+02,-3.0040887049154015e-06
a,9.4e+01,8e+02,7.535e+02,-1.9215774755227918e-06
a,9.4e+01,8e+02,7.54e+02,9.00654962803198e-08
a,9.4e+01,8e+02,7.545e+02,3.2633113944854513e-06
a,9.4e+01,8e+02,7.55e+02,7.78729211917214e-06
a,9.4e+01,8e+02,7.555e+02,1.3756562056512365e-05
a,9.4e+01,8e+02,7.56e+02,2.1107228930282672e-05
a,9.4e+01,8e+02,7.565e+02,2.954358836988706e-05
a,9.4e+01,8e+02,7.57e+02,3.8461359533832986e-05
a,9.4e+01,8e+02,7.575e+02,4.687707363120638e-05
a,9.4e+01,8e+02,7.58e+02,5.337681350007509e-05
a,9.4e+01,8e+02,7.585e+02,5.610087460517433e-05
a,9.4e+01,8e+02,7.59e+02,5.2783383691950444e-05
a,9.4e+01,8e+02,7.595e+02,4.08666983978803e-05
a,9.4e+01,8e+02,7.6e+02,1.7708666003179795e-05
a,9.4e+01,8e+02,7.605e+02,-1.9104294939668095e-05
a,9.4e+01,8e+02,7.61e+02,-7.133449616069312e-05
a,9.4e+01,8e+02,7.615e+02,-1.395704640671178e-04
a,9.4e+01,8e+02,7.62e+02,-2.226322903981986e-04
a,9.4e+01,8e+02,7.625e+02,-3.169538903848759e-04
a,9.4e+01,8e+02,7.63e+02,-4.1601439624778554e-04
a,9.4e+01,8e+02,7.635e+02,-5.099133775204632e-04
a,9.4e+01,8e+02,7.64e+02,-5.852028926167471e-04
a,9.4e+01,8e+02,7.645e+02,-6.250994074383577e-04
a,9.4e+01,8e+02,7.65e+02,-6.101958740935645e-04
a,9.4e+01,8e+02,7.655e+02,-5.197744098387275e-04
a,9.4e+01,8e+02,7.66e+02,-3.337795524329163e-04
a,9.4e+01,8e+02,7.665e+02,-3.5449121486372014e-05
a,9.4e+01,8e+02,7.67e+02,3.854851280008613e-04
a,9.4e+01,8e+02,7.675e+02,9.292178182085883e-04
a,9.4e+01,8e+02,7.68e+02,1.582215486719193e-03
a,9.4e+01,8e+02,7.685e+02,2.3139041977610192e-03
a,9.4e+01,8e+02,7.69e+02,3.07421267845358e-03
a,9.4e+01,8e+02,7.695e+02,3.792547323979416e-03
a,9.4e+01,8e+02,7.7e+02,4.3787858122840235e-03
a,9.4e+01,8e+02,7.705e+02,4.726816377695286e-03
a,9.4e+01,8e+02,7.71e+02,4.721006357892026e-03
a,9.4e+01,8e+02,7.715e+02,4.245749735624293e-03
a,9.4e+01,8e+02,7.72e+02,3.197922181908151e-03
a,9.4e+01,8e+02,7.725e+02,1.5016789327620057e-03
a,9.4e+01,8e+02,7.73e+02,-8.754053587060379e-04
a,9.4e+01,8e+02,7.735e+02,-3.906292457617789e-03
a,9.4e+01,8e+02,7.74e+02,-7.490353279030403e-03
a,9.4e+01,8e+02,7.745e+02,-1.144324772257148e-02
a,9.4e+01,8e+02,7.75e+02,-1.549299364620581e-02
a,9.4e+01,8e+02,7.755e+02,-1.928426552244982e-02
a,9.4e+01,8e+02,7.76e+02,-2.2392547661443277e-02
a,9.4e+01,8e+02,7.765e+02,-2.4349060471270282e-02
a,9.4e+01,8e+02,7.77e+02,-2.4676396567599686e-02
a,9.4e+01,8e+02,7.775e+02,-2.2933599684902956e-02
a,9.4e+01,8e+02,7.78e+02,-1.876808559767161e-02
a,9.4e+01,8e+02,7.785e+02,-1.1970469231582626e-02
a,9.4e+01,8e+02,7.79e+02,-2.527182366913151e-03
a,9.4e+01,8e+02,7.795e+02,9.335087429860613e-03
a,9.4e+01,8e+02,7.8e+02,2.3119467136621885e-02
a,9.4e+01,8e+02,7.805e+02,3.8049535852428096e-02
a,9.4e+01,8e+02,7.81e+02,5.30855885444958e-02
a,9.4e+01,8e+02,7.815e+02,6.696983502152333e-02
a,9.4e+01,8e+02,7.82e+02,7.830140265204986e-02
a,9.4e+01,8e+02,7.825e+02,8.563903258763925e-02
a,9.4e+01,8e+02,7.83e+02,8.762608473846531e-02
a,9.4e+01,8e+02,7.835e+02,8.312921501446069e-02
a,9.4e+01,8e+02,7.84e+02,7.137922820976618e-02
a,9.4e+01,8e+02,7.845e+02,5.2100524285932245e-02
a,9.4e+01,8e+02,7.85e+02,2.5614598074332782e-02
a,9.4e+01,8e+02,7.855e+02,-7.096500237507725e-03
a,9.4e+01,8e+02,7.86e+02,-4.437882720789959e-02
a,9.4e+01,8e+02,7.865e+02,-8.395584228150306e-02
a,9.4e+01,8e+02,7.87e+02,-1.2304189183454174e-01
a,9.4e+01,8e+02,7.875e+02,-1.5851744938180215e-01
a,9.4e+01,8e+02,7.88e+02,-1.8715718620932598e-01
a,9.4e+01,8e+02,7.885e+02,-2.0589558540948785e-01
a,9.4e+01,8e+02,7.89e+02,-2.121092861752026e-01
a,9.4e+01,8e+02,7.895e+02,-2.0389134367191564e-01
a,9.4e+01,8e+02,7.9e+02,-1.802907080654845e-01
a,9.4e+01,8e+02,7.905e+02,-1.4149088676585822e-01
a,9.4e+01,8e+02,7.91e+02,-8.890514019507194e-02
a,9.4e+01,8e+02,7.915e+02,-2.5171573835561106e-02
a,9.4e+01,8e+02,7.92e+02,4.596026960428334e-02
a,9.4e+01,8e+02,7.925e+02,1.1984992098131574e-01
a,9.4e+01,8e+02,7.93e+02,1.9128175875302328e-01
a,9.4e+01,8e+02,7.935e+02,2.548541579000832e-01
a,9.4e+01,8e+02,7.94e+02,3.0541154910064755e-01
a,9.4e+01,8e+02,7.945e+02,3.3848281332956776e-01
a,9.4e+01,8e+02,7.95e+02,3.5068658504111155e-01
a,9.4e+01,8e+02,7.955e+02,3.4006493252422804e-01
a,9.4e+01,8e+02,7.96e+02,3.063116411819794e-01
a,9.4e+01,8e+02,7.965e+02,2.508696508223677e-01
a,9.4e+01,8e+02,7.97e+02,1.7688340256351956e-01
a,9.4e+01,8e+02,7.975e+02,8.900490862832316e-02
a,9.4e+01,8e+02,7.98e+02,-6.933994419878857e-03
a,9.4e+01,8e+02,7.985e+02,-1.0435788216937046e-01
a,9.4e+01,8e+02,7.99e+02,-1.9645638694667397e-01
a,9.4e+01,8e+02,7.995e+02,-2.767216688370097e-01
a,9.4e+01,8e+02,8e+02,-3.3946771266752734e-01
a,9.4e+01,8e+02,8.005e+02,-3.8028552581540204e-01
a,9.4e+01,8e+02,8.01e+02,-3.963938289035435e-01
a,9.4e+01,8e+02,8.015e+02,-3.8685427307121617e-01
a,9.4e+01,8e+02,8.02e+02,-3.526326533111227e-01
a,9.4e+01,8e+02,8.025e+02,-2.965017733278654e-01
a,9.4e+01,8e+02,8.03e+02,-2.2279613007487328e-01
a,9.4e+01,8e+02,8.035e+02,-1.3704197691766207e-01
a,9.4e+01,8e+02,8.04e+02,-4.549727543922593e-02
a,9.4e+01,8e+02,8.045e+02,4.53564897731033e-02
a,9.4e+01,8e+02,8.05e+02,1.2932534976205365e-01
a,9.4e+01,8e+02,8.055e+02,2.0097253111802915e-01
a,9.4e+01,8e+02,8.06e+02,2.560077866541326e-01
a,9.4e+01,8e+02,8.065e+02,2.91566108549682e-01
a,9.4e+01,8e+02,8.07e+02,3.063567924533259e-01
a,9.4e+01,8e+02,8.075e+02,3.0067636649087653e-01
a,9.4e+01,8e+02,8.08e+02,2.762914642154691e-01
a,9.4e+01,8e+02,8.085e+02,2.3620907323609946e-01
a,9.4e+01,8e+02,8.09e+02,1.8436068418300006e-01
a,9.4e+01,8e+02,8.095e+02,1.2523293631129065e-01
a,9.4e+01,8e+02,8.1e+02,6.347999544747827e-02
a,9.4e+01,8e+02,8.105e+02,3.552069479516663e-03
a,9.4e+01,8e+02,8.11e+02,-5.06295175220142e-02
a,9.4e+01,8e+02,8.115e+02,-9.592679558173016e-02
a,9.4e+01,8e+02,8.12e+02,-1.3015350492613087e-01
a,9.4e+01,8e+02,8.125e+02,-1.521506963779904e-01
a,9.4e+01,8e+02,8.13e+02,-1.6177179105401698e-01
a,9.4e+01,8e+02,8.135e+02,-1.5978716642111132e-01
a,9.4e+01,8e+02,8.14e+02,-1.4772451442663243e-01
a,9.4e+01,8e+02,8.145e+02,-1.276652833221811e-01
a,9.4e+01,8e+02,8.15e+02,-1.0201928270981311e-01
a,9.4e+01,8e+02,8.155e+02,-7.329906507615636e-02
a,9.4e+01,8e+02,8.16e+02,-4.391327807919534e-02
a,9.4e+01,8e+02,8.165e+02,-1.5994257423090963e-02
a,9.4e+01,8e+02,8.17e+02,8.729750742004999e-03
a,9.4e+01,8e+02,8.175e+02,2.9012603967316062e-02
a,9.4e+01,8e+02,8.18e+02,4.4118457895577126e-02
a,9.4e+01,8e+02,8.185e+02,5.380451777025347e-02
a,9.4e+01,8e+02,8.19e+02,5.8266168241175406e-02
a,9.4e+01,8e+02,8.195e+02,5.805455662654416e-02
a,9.4e+01,8e+02,8.2e+02,5.3977712510248015e-02
a,9.4e+01,8e+02,8.205e+02,4.699612414204836e-02
a,9.4e+01,8e+02,8.21e+02,3.812254199460497e-02
a,9.4e+01,8e+02,8.215e+02,2.8333897079891642e-02
a,9.4e+01,8e+02,8.22e+02,1.8500897198653894e-02
a,9.4e+01,8e+02,8.225e+02,9.338389714355832e-03
a,9.4e+01,8e+02,8.23e+02,1.3772165719595968e-03
a,9.4e+01,8e+02,8.235e+02,-5.043754200822489e-03
a,9.4e+01,8e+02,8.24e+02,-9.768312375687148e-03
a,9.4e+01,8e+02,8.245e+02,-1.2800233442373922e-02
a,9.4e+01,8e+02,8.25e+02,-1.4271668989052565e-02
a,9.4e+01,8e+02,8.255e+02,-1.4407009000871619e-02
a,9.4e+01,8e+02,8.26e+02,-1.3486207539083386e-02
a,9.4e+01,8e+02,8.265e+02,-1.1810850920489962e-02
a,9.4e+01,8e+02,8.27e+02,-9.6753641780538e-03
a,9.4e+01,8e+02,8.275e+02,-7.344814949462035e-03
a,9.4e+01,8e+02,8.28e+02,-5.039884922750276e-03
a,9.4e+01,8e+02,8.285e+02,-2.928814391765309e-03
a,9.4e+01,8e+02,8.29e+02,-1.1255347204453725e-03
a,9.4e+01,8e+02,8.295e+02,3.071912632965461e-04
a,9.4e+01,8e+02,8.3e+02,1.3510017157896909e-03
a,9.4e+01,8e+02,8.305e+02,2.0229497202967663e-03
a,9.4e+01,8e+02,8.31e+02,2.3655964166749773e-03
a,9.4e+01,8e+02,8.315e+02,2.4372720413454465e-03
a,9.4e+01,8e+02,8.32e+02,2.303328544239244e-03
a,9.4e+01,8e+02,8.325e+02,2.028924724015192e-03
a,9.4e+01,8e+02,8.33e+02,1.6736161083455267e-03
a,9.4e+01,8e+02,8.335e+02,1.2877902317119541e-03
a,9.4e+01,8e+02,8.34e+02,9.10807613677799e-04
a,9.4e+01,8e+02,8.345e+02,5.705852441680233e-04
a,9.4e+01,8e+02,8.35e+02,2.842912744469263e-04
a,9.4e+01,8e+02,8.355e+02,5.980014969379393e-05
a,9.4e+01,8e+02,8.36e+02,-1.0242346210285845e-04
a,9.4e+01,8e+02,8.365e+02,-2.0729741926504413e-04
a,9.4e+01,8e+02,8.37e+02,-2.6317521257915484e-04
a,9.4e+01,8e+02,8.375e+02,-2.801358378620649e-04
a,9.4e+01,8e+02,8.38e+02,-2.6860222422820024e-04
a,9.4e+01,8e+02,8.385e+02,-2.3832379204142504e-04
a,9.4e+01,8e+02,8.39e+02,-1.9771429132586955e-04
a,9.4e+01,8e+02,8.395e+02,-1.5350471722184328e-04
a,9.4e+01,8e+02,8.4e+02,-1.1065240067279663e-04
a,9.4e+01,8e+02,8.405e+02,-7.243972057598509e-05
a,9.4e+01,8e+02,8.41e+02,-4.0696966076373275e-05
a,9.4e+01,8e+02,8.415e+02,-1.609111749018928e-05
a,9.4e+01,8e+02,8.42e+02,1.5667826575632433e-06
a,9.4e+01,8e+02,8.425e+02,1.3030598825183752e-05
a,9.4e+01,8e+02,8.43e+02,1.936715077382114e-05
a,9.4e+01,8e+02,8.435e+02,2.175528150738617e-05
a,9.4e+01,8e+02,8.44e+02,2.1339171983964088e-05
a,9.4e+01,8e+02,8.445e+02,1.9132768856968203e-05
a,9.4e+01,8e+02,8.45e+02,1.5968122135781425e-05
a,9.4e+01,8e+02,8.455e+02,1.2478366972146711e-05
a,9.4e+01,8e+02,8.46e+02,9.105617301832354e-06
a,9.4e+01,8e+02,8.465e+02,6.12471548770999e-06
a,9.4e+01,8e+02,8.47e+02,3.6751677959385033e-06
a,9.4e+01,8e+02,8.475e+02,1.7953177812365503e-06
a,9.4e+01,8e+02,8.48e+02,4.5457836063465306e-07
a,9.4e+01,8e+02,8.485e+02,-4.188432882524654e-07
a,9.4e+01,8e+02,8.49e+02,-9.159553863243499e-07
a,9.4e+01,8e+02,8.495e+02,-1.1309401544538132e-06
a,9.4e+01,8e+02,8.5e+02,-1.150586770792897e-06
a,9.4e+01,8e+02,8.505e+02,-1.0483228993801543e-06
a,9.4e+01,8e+02,8.51e+02,-8.818001111368491e-07
a,9.4e+01,8e+02,8.515e+02,-6.929898608596676e-07
a,9.4e+01,8e+02,8.52e+02,-5.098587712404971e-07
a,9.4e+01,8e+02,8.525e+02,-3.4886368768918237e-07
a,9.4e+01,8e+02,8.53e+02,-2.1769843314979246e-07
a,9.4e+01,8e+02,8.535e+02,-1.1790738498133321e-07
a,9.4e+01,8e+02,8.54e+02,-4.7138767769136096e-08
a,9.4e+01,8e+02,8.545e+02,-9.34745470197637e-10
a,9.4e+01,8e+02,8.55e+02,2.595543782548698e-08
a,9.4e+01,8e+02,8.555e+02,3.869584486486522e-08
a,9.4e+01,8e+02,8.56e+02,4.184361413421049e-08
a,9.4e+01,8e+02,8.565e+02,3.910320094263647e-08
a,9.4e+01,8e+02,8.57e+02,3.327302797694937e-08
a,9.4e+01,8e+02,8.575e+02,2.63134220393242e-08
a,9.4e+01,8e+02,8.58e+02,1.9479388302247795e-08
a,9.4e+01,8e+02,8.585e+02,1.347705926629811e-08
a,9.4e+01,8e+02,8.59e+02,8.616560340326588e-09
a,9.4e+01,8e+02,8.595e+02,4.94549870754092e-09
a,9.4e+01,8e+02,8.6e+02,2.355946985058056e-09
a,9.4e+01,8e+02,8.605e+02,6.637685652693501e-10
a,9.4e+01,8e+02,8.61e+02,-3.371988553072829e-10
a,9.4e+01,8e+02,8.615e+02,-8.417177635576076e-10
a,9.4e+01,8e+02,8.62e+02,-1.0155193510632137e-09
a,9.4e+01,8e+02,8.625e+02,-9.88748810115806e-10
a,9.4e+01,8e+02,8.63e+02,-8.564721631616599e-10
a,9.4e+01,8e+02,8.635e+02,-6.831129164531367e-10
a,9.4e+01,8e+02,8.64e+02,-5.085694071346478e-10
a,9.4e+01,8e+02,8.645e+02,-3.545390119019359e-10
a,9.4e+01,8e+02,8.65e+02,-2.3019479444028833e-10
a,9.4e+01,8e+02,8.655e+02,-1.368147518072936e-10
a,9.4e+01,8e+02,8.66e+02,-7.126877914449066e-11
a,9.4e+01,8e+02,8.665e+02,-2.8451056969617345e-11
a,9.4e+01,8e+02,8.67e+02,-2.8365356824602316e-12
a,9.4e+01,8e+02,8.675e+02,1.0631556312320252e-11
a,9.4e+01,8e+02,8.68e+02,1.6126540822527666e-11
a,9.4e+01,8e+02,8.685e+02,1.6829201832985714e-11
a,9.4e+01,8e+02,8.69e+02,1.4996171354493857e-11
a,9.4e+01,8e+02,8.695e+02,1.2114015581713246e-11
a,9.4e+01,8e+02,8.7e+02,9.07892544020379e-12
a,9.4e+01,8e+02,8.705e+02,6.366706651461744e-12
a,9.4e+01,8e+02,8.71e+02,4.17561637271015e-12
a,9.4e+01,8e+02,8.715e+02,2.536382267267935e-12
a,9.4e+01,8e+02,8.72e+02,1.3907346854890744e-12
a,9.4e+01,8e+02,8.725e+02,6.432992355799695e-13
a,9.4e+01,8e+02,8.73e+02,1.9290183840000092e-13
a,9.4e+01,8e+02,8.735e+02,-5.083822177057625e-14
a,9.4e+01,8e+02,8.74e+02,-1.6063068355987685e-13
a,9.4e+01,8e+02,8.745e+02,-1.9048351248879143e-13
a,9.4e+01,8e+02,8.75e+02,-1.7775517132090416e-13
a,9.4e+01,8e+02,8.755e+02,-1.4646877293115558e-13
a,9.4e+01,8e+02,8.76e+02,-1.1079690985772532e-13
a,9.4e+01,8e+02,8.765e+02,-7.814651831304121e-14
a,9.4e+01,8e+02,8.77e+02,-5.161486505923687e-14
a,9.4e+01,8e+02,8.775e+02,-3.1791179097449596e-14
a,9.4e+01,8e+02,8.78e+02,-1.7983594857764364e-14
a,9.4e+01,8e+02,8.785e+02,-8.992050865826771e-15
a,9.4e+01,8e+02,8.79e+02,-3.5508987229375216e-15
a,9.4e+01,8e+02,8.795e+02,-5.488192917987752e-16
a,9.4e+01,8e+02,8.8e+02,8.897316884140189e-16
a,9.4e+01,8e+02,8.805e+02,1.400885045173401e-15
a,9.4e+01,8e+02,8.81e+02,1.415098231291487e-15
a,9.4e+01,8e+02,8.815e+02,1.20351232951744e-15
a,9.4e+01,8e+02,8.82e+02,9.233203030864486e-16
a,9.4e+01,8e+02,8.825e+02,6.558766620442006e-16
a,9.4e+01,8e+02,8.83e+02,4.356938714382936e-16
a,9.4e+01,8e+02,8.835e+02,2.7083322754447407e-16
a,9.4e+01,8e+02,8.84e+02,1.5623100787471425e-16
a,9.4e+01,8e+02,8.845e+02,8.174977749460751e-17
a,9.4e+01,8e+02,8.85e+02,3.65874464988042e-17
a,9.4e+01,8e+02,8.855e+02,1.1353339025628087e-17
a,9.4e+01,8e+02,8.86e+02,-1.2304161235528089e-18
a,9.4e+01,8e+02,8.865e+02,-6.353393964460181e-18
a,9.4e+01,8e+02,8.87e+02,-7.460869078603105e-18
a,9.4e+01,8e+02,8.875e+02,-6.684605779828491e-18
a,9.4e+01,8e+02,8.88e+02,-5.2428688612069454e-18
a,9.4e+01,8e+02,8.885e+02,-3.7624222452898876e-18
a,9.4e+01,8e+02,8.89e+02,-2.514233126094577e-18
a,9.4e+01,8e+02,8.895e+02,-1.5732271400989267e-18
a,9.4e+01,8e+02,8.9e+02,-9.189944502082715e-19
a,9.4e+01,8e+02,8.905e+02,-4.944753335440323e-19
a,9.4e+01,8e+02,8.91e+02,-2.3692086437091733e-19
a,9.4e+01,8e+02,8.915e+02,-9.187995274133892e-20
a,9.4e+01,8e+02,8.92e+02,-1.7648160730421368e-20
a,9.4e+01,8e+02,8.925e+02,1.5053583062310583e-20
a,9.4e+01,8e+02,8.93e+02,2.5344428192442817e-20
a,9.4e+01,8e+02,8.935e+02,2.4871653729626993e-20
a,9.4e+01,8e+02,8.94e+02,2.0210990369741357e-20
a,9.4e+01,8e+02,8.945e+02,1.473229917816534e-20
a,9.4e+01,8e+02,8.95e+02,9.920564526025422e-21
a,9.4e+01,8e+02,8.955e+02,6.24279581981362e-21
a,9.4e+01,8e+02,8.96e+02,3.6775072079929374e-21
a,9.4e+01,8e+02,8.965e+02,2.0138454408240986e-21
a,9.4e+01,8e+02,8.97e+02,1.0046826747986903e-21
a,9.4e+01,8e+02,8.975e+02,4.337881983677842e-22
a,9.4e+01,8e+02,8.98e+02,1.3666264677945457e-22
a,9.4e+01,8e+02,8.985e+02,-7.674102742924799e-25
a,9.4e+01,8e+02,8.99e+02,-5.194282397124114e-23
a,9.4e+01,8e+02,8.995e+02,-6.099522684991374e-23
a,9.4e+01,8e+02,9e+02,-5.2575940571516433e-23
a,9.5e+01,7.9e+02,7e+02,-9.857612395934698e-19
a,9.5e+01,7.9e+02,7.005e+02,-1.6090385421748362e-18
a,9.5e+01,7.9e+02,7.01e+02,-2.4592599508313698e-18
a,9.5e+01,7.9e+02,7.015e+02,-3.50918800407211e-18
a,9.5e+01,7.9e+02,7.02e+02,-4.613164891724807e-18
a,9.5e+01,7.9e+02,7.025e+02,-5.402794739864562e-18
a,9.5e+01,7.9e+02,7.03e+02,-5.129077612741466e-18
a,9.5e+01,7.9e+02,7.035e+02,-2.4406081596125337e-18
a,9.5e+01,7.9e+02,7.04e+02,4.902081775562333e-18
a,9.5e+01,7.9e+02,7.045e+02,2.0352293934769528e-17
a,9.5e+01,7.9e+02,7.05e+02,4.8874618014416234e-17
a,9.5e+01,7.9e+02,7.055e+02,9.707004288692692e-17
a,9.5e+01,7.9e+02,7.06e+02,1.7286724126382959e-16
a,9.5e+01,7.9e+02,7.065e+02,2.843497360917253e-16
a,9.5e+01,7.9e+02,7.07e+02,4.37065406223014e-16
a,9.5e+01,7.9e+02,7.075e+02,6.288988574659427e-16
a,9.5e+01,7.9e+02,7.08e+02,8.41318283568358e-16
a,9.5e+01,7.9e+02,7.085e+02,1.025622835733982e-15
a,9.5e+01,7.9e+02,7.09e+02,1.0828711685526092e-15
a,9.5e+01,7.9e+02,7.095e+02,8.367223300973384e-16
a,9.5e+01,7.9e+02,7.1e+02,-1.522974461090191e-19
a,9.5e+01,7.9e+02,7.105e+02,-1.862599517333682e-15
