"id","A1","A2","A7","A10","A13","A14","A0_b","A0_a","A3_y","A3_u","A4_p","A4_g","A5_k","A5_cc","A5_d","A5_c","A5_aa","A5_m","A5_q","A5_w","A5_e","A5_ff","A5_j","A5_x","A5_i","A6_v","A6_h","A6_bb","A6_z","A6_ff","A6_j","A8_t","A8_f","A9_t","A9_f","A11_t","A11_f","A12_g","A12_s","outcome"
440, 0.7002937307508283, -0.8195333327803987, -0.678880773635982, 1.4781303505421353, -0.05523535674584867, -0.22410663789208218, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
241, 1.0606156516074554, 3.1843473471692363, 4.800232179082542, 1.7031744177527026, -1.23216305496248, -0.06863372282956921, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
517, -0.5760509480328639, -0.7874418799000859, 0.040252801408324164, 0.5779540816998661, -0.008158248817183408, -0.18083202786199185, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0
490, -1.312403647331148, -0.7326976367513166, -0.19945839027311124, 0.35291001448929876, 0.8392296938987912, -0.13571594506466364, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1
358, -0.0763129161090949, 1.8629345815092906, -0.6446363176814912, -0.7723103215635377, -1.23216305496248, -0.1888555877763855, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0
96, 0.5697138520752661, 2.2404810859835607, 0.41694181690772264, -0.7723103215635377, -0.7613919756758275, -0.22647424573567376, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0
368, -0.6742313079393019, -0.5911176975734653, -0.5309447239125819, -0.7723103215635377, -0.5260064360325013, -0.21766148320674958, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0
47, 0.24277325358682816, -0.03234887095154551, 0.975811338085012, -0.09717811993183585, 0.5979595157643818, -0.1870141150091476, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
134, -0.24812854594536116, 1.6741613292721556, 0.6908974645436488, -0.32222218714240314, -1.23216305496248, 0.43119459970642854, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
125, 3.7605755490344963, 0.16397531137507498, 2.882542645631058, -0.5472662543529705, -1.23216305496248, -0.22647424573567376, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1
561, 0.0709576237505619, 0.3527485636122101, 0.17723062522628724, 1.0280422161210008, 0.7097676470949618, -0.06863372282956921, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
552, 1.1342509215372838, -0.8667266458396825, -0.6679225477305449, -0.5472662543529705, 2.063234500044088, -0.22647424573567376, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1
128, 0.667894211981704, 0.06958868525650744, 0.006008345453833391, 0.5779540816998661, -1.23216305496248, -0.17820135248022345, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
590, -0.7724116678457397, -0.7251467066618312, -0.4967002679580911, -0.7723103215635377, -0.29062089638917493, -0.22647424573567376, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0
201, 0.5618594232827513, -0.40234444533633024, 0.5539196407256857, 0.8029981489104334, -0.34946728130000654, -0.05942635899337977, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
117, -0.4611799269423315, 1.4853880770350205, -0.2679473021820928, 1.92821848496327, -0.5260064360325013, -0.15189459866253935, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1
239, -0.9599361552670357, -0.8346351929593696, -0.5994336358215634, 1.7031744177527026, -0.7613919756758275, -0.21345240259592013, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
279, -0.395399085805018, -0.772340019721115, -0.6336780917760542, -0.5472662543529705, 0.36845861461213864, -0.16807325226041508, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
645, -1.21422328742471, -0.25321357606899353, -0.5871056316779467, -0.7723103215635377, -0.4083136662108381, -0.22621117819749692, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0
267, -1.2957129861470533, -0.7166519103111602, -0.6555945435869283, -0.7723103215635377, -0.05523535674584867, -0.22647424573567376, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0
124, -0.10085800608570436, -0.21357119309919517, -0.4501278078599837, -0.7723103215635377, 0.4155357225408039, -0.22647424573567376, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1
