"doc_id","token","category"
2,"vehicle","crash"
2,".","crash"
2,"deploy","crash"
2,"not","crash"
2,"f350","crash"
2,"did","crash"
2,"bags","crash"
2,"air","crash"
2,"side","crash"
2,"passenger's","crash"
2,"passenger's","crash"
2,"side/","crash"
2,"driver's","crash"
2,"vehicle","crash"
2,"hit","crash"
2,"steering","crash"
2,"totalling","crash"
2,"crash","crash"
2,"a","crash"
2,"in","crash"
2,"involved","crash"
2,"was","crash"
2,"vehicle","crash"
2,"when","crash"
2,"injuries","crash"
2,"back","crash"
2,"and","crash"
2,".","crash"
2,"neck","crash"
2,"received","crash"
2,"and","crash"
2,"knee","crash"
2,"his","crash"
2,"hurt","crash"
2,".","crash"
2,"wheel","crash"
